@RELATION Chinatown

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC

@DATA
22.408,2.414,10.097,6.388,0.732,0.2,1.342,1.495,3.116,0.48,0.425,20.721,22.726,26.018,16.71,52.632,16.435,18.917,6.56,12.097,14.177,15.462,7.571,21.94
21.929,8.245,1.262,1.359,1.985,2.081,0.347,1.155,5.389,0.42,0.389,12.288,2.126,9.281,4.929,15.644,28.7,11.033,11.165,22.2,6.519,32.599,35.065,82.366
6.477,15.118,1.085,2.184,1.782,0.428,0.152,5.532,5.022,0.55,6.072,3.894,8.729,20.473,8.214,22.791,8.534,3.464,17.052,11.369,10.067,8.501,34.157,34.755
16.059,9.114,1.314,31.069,0.975,0.763,0.643,1.788,6.849,4.785,8.905,5.299,4.805,29.614,30.78,24.801,8.386,26.923,19.679,48.962,19.788,26.085,33.992,8.615
29.827,6.077,9.728,8.439,3.586,1.014,1.0,2.816,3.233,1.702,4.694,3.189,26.77,13.395,19.022,14.218,20.787,1.075,23.053,1.827,72.435,57.696,12.455,37.123
19.642,2.251,21.03,3.361,2.903,1.379,0.529,7.453,3.326,6.899,8.274,16.937,3.696,8.416,27.251,16.235,0.388,25.428,20.144,0.53,37.537,6.317,32.152,17.233
13.516,1.702,4.251,0.064,5.068,1.261,0.409,3.015,4.342,0.894,2.266,7.244,15.623,11.782,36.96,6.268,21.323,20.232,3.126,37.383,59.128,16.971,16.663,25.094
7.257,6.992,2.259,6.795,0.502,1.693,0.193,0.138,6.419,3.082,5.47,1.815,17.449,0.647,23.987,10.14,23.174,15.961,5.633,12.762,49.531,22.882,34.538,43.039
1.767,9.288,1.347,3.112,8.994,0.863,0.455,0.398,1.624,9.571,0.346,10.636,4.9,27.414,36.258,17.168,26.661,0.972,32.237,63.332,14.663,44.471,4.386,7.801
22.529,3.551,4.554,7.067,1.126,0.203,0.169,1.365,3.702,4.517,4.119,7.447,8.647,2.784,20.369,46.094,20.356,20.491,13.621,24.245,10.021,54.393,20.449,13.907
27.494,14.238,10.175,1.594,1.064,0.913,0.106,4.47,4.031,7.433,7.872,1.538,23.559,11.897,20.494,31.425,2.409,8.316,26.986,33.289,11.25,14.408,17.477,20.127
3.558,6.34,6.114,4.108,2.634,1.336,0.376,1.39,2.925,0.667,4.437,2.826,4.337,8.783,30.527,4.118,23.43,20.23,18.727,4.622,30.76,26.442,0.072,32.152
40.418,16.629,3.321,18.357,5.173,0.882,0.468,0.416,2.458,2.763,9.467,19.399,3.423,0.814,1.793,18.14,11.337,7.118,4.695,2.845,3.045,44.568,12.267,64.806
6.943,21.667,2.104,2.942,3.727,0.94,0.322,3.437,10.786,5.287,9.509,16.644,9.486,5.826,15.626,41.769,10.623,59.788,1.264,3.393,5.137,27.818,69.879,17.022
32.451,0.458,8.807,1.831,2.231,1.476,0.41,3.862,0.856,2.793,5.313,13.594,14.88,6.301,25.142,22.335,31.061,0.065,37.44,44.632,20.747,13.666,20.904,20.914
22.077,5.021,2.117,0.531,2.3,1.596,0.817,4.327,0.01,1.714,4.837,3.016,10.511,19.15,15.884,15.111,15.008,20.517,13.595,3.374,18.994,34.992,26.157,1.536
37.652,10.245,3.16,9.372,2.727,1.047,1.8,1.116,7.236,3.28,1.301,16.972,4.939,4.6,1.634,12.954,9.751,0.016,18.42,14.411,11.111,35.97,38.571,54.013
26.917,4.369,2.282,18.416,3.712,1.734,0.421,1.68,3.588,2.251,5.84,18.898,5.254,19.462,27.719,12.253,4.213,9.996,4.311,27.225,14.715,30.821,34.759,49.375
15.278,3.928,2.669,1.473,0.687,2.392,1.219,2.194,3.242,4.173,1.696,8.581,11.91,33.366,4.994,19.302,45.922,21.18,6.736,18.806,40.833,28.487,16.088,27.6
28.174,6.525,1.946,3.276,2.932,1.118,0.739,0.013,4.962,1.262,7.29,5.491,4.921,36.372,27.227,2.548,16.826,23.535,43.639,36.655,50.735,5.778,22.226,10.111
