@RELATION Chinatown

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE target {1.0, 2.0}

@DATA
564.174,373.403,298.5,201.398,56.296,33.669,23.505,33.849,121.739,143.207,303.453,608.02,1236.5,1344.109,1213.519,1166.688,841.071,1120.025,1041.29,961.947,734.452,582.653,409.013,194.905,1.0
462.242,263.937,141.408,145.608,101.69,26.723,28.47,25.614,66.496,153.959,400.789,645.211,1219.337,1390.709,1249.425,1230.636,1127.598,1137.091,1306.156,1119.114,775.506,683.324,614.185,263.391,1.0
598.723,380.424,175.867,176.378,42.92,30.916,39.776,47.41,109.441,179.644,411.711,783.986,1351.251,1552.647,1413.374,1236.466,1128.149,1180.188,1221.738,1108.759,812.223,637.028,249.746,169.869,1.0
414.243,292.318,199.278,114.952,80.946,42.598,23.524,61.637,155.003,179.699,394.099,790.104,1284.475,1466.009,1458.241,1477.299,1372.235,1552.029,1677.781,1816.603,1583.635,1147.621,920.525,643.213,1.0
345.361,296.94,202.139,140.681,70.333,38.402,27.443,38.387,108.393,138.139,330.902,648.895,999.749,1000.927,1047.725,969.373,1059.178,845.099,1004.189,1021.503,923.127,617.431,595.559,444.747,1.0
423.945,342.19,199.066,147.32,70.659,14.054,29.642,34.118,109.216,135.65,281.175,590.967,1007.686,1269.384,1274.464,1051.911,1092.801,1038.947,1060.358,1150.675,874.925,758.067,466.34,366.851,1.0
604.007,323.587,212.998,149.848,70.13,39.28,42.006,86.204,155.004,187.42,341.571,696.549,1142.699,1389.697,1392.546,1276.535,1317.84,1328.254,1438.379,1480.283,1473.118,1365.437,1015.781,810.222,1.0
604.681,410.287,143.135,90.405,48.673,28.735,34.136,86.993,139.433,156.743,393.857,1021.97,1650.857,1768.099,1687.157,1687.312,1576.171,1565.087,1602.532,1752.385,1434.401,1446.745,1206.812,971.474,1.0
524.934,427.396,247.872,237.977,82.914,63.455,28.379,116.852,198.229,238.115,455.505,710.538,1333.998,1633.493,1507.814,1418.378,1470.763,1461.101,1619.619,1947.35,1853.119,1673.847,1376.018,1193.983,1.0
598.914,383.778,162.857,188.862,129.978,44.259,21.114,36.295,71.012,135.04,306.086,652.046,1117.025,1324.408,1212.531,1063.517,1056.927,1135.16,1565.768,1578.708,1516.634,1163.475,1064.966,773.427,1.0
97.132,71.849,-3.28,16.482,10.05,12.676,26.229,94.244,181.935,223.392,390.682,601.158,1298.892,1345.423,1478.82,1377.561,1317.632,1220.055,1222.478,1282.348,987.803,791.854,530.095,338.975,2.0
140.145,60.922,56.6,15.859,19.063,11.359,27.56,103.738,173.113,206.037,434.005,599.42,1155.279,1231.723,880.986,881.145,824.821,1244.024,1565.775,1614.713,1409.745,1009.081,810.025,697.73,2.0
92.972,42.353,108.62,13.954,11.643,18.806,18.099,75.247,184.807,225.089,286.654,567.914,1047.042,1106.058,871.239,783.866,816.904,1017.83,1233.297,1082.588,759.649,590.546,387.095,56.914,2.0
57.646,60.655,34.923,7.065,10.776,13.958,19.036,81.445,217.599,235.767,367.585,731.029,1219.775,1164.629,1002.427,896.056,937.275,1174.507,1275.202,1158.476,1079.598,747.163,392.919,234.206,2.0
102.81,103.327,61.695,32.612,46.876,13.371,35.631,80.816,184.343,222.595,436.229,747.306,1326.051,1369.182,972.11,953.342,1045.612,1250.146,1624.614,1780.361,1527.564,1199.112,1038.882,620.986,2.0
241.579,175.724,105.334,67.235,45.835,23.412,25.056,33.783,170.0,190.944,334.793,806.255,1342.236,1503.592,1379.755,1199.322,1158.318,1263.956,1398.332,1321.933,1075.97,775.89,528.132,270.143,2.0
65.95,55.882,44.623,22.992,9.851,13.644,25.212,129.279,229.653,272.295,401.53,668.132,1276.37,1361.299,1086.643,1137.929,913.38,1063.011,1146.659,1192.188,907.507,769.289,537.09,262.321,2.0
86.111,61.5,52.83,-3.814,16.292,8.555,22.17,69.895,177.393,185.575,322.413,422.243,1012.376,1142.854,967.743,868.367,871.919,1053.616,1200.127,1269.612,982.004,901.168,496.544,231.217,2.0
92.175,58.382,48.118,24.688,3.65,22.307,28.499,109.371,209.145,242.516,372.58,572.256,1186.482,1228.807,1165.696,1138.796,1092.238,1090.657,1100.705,1191.932,886.688,655.05,454.98,295.444,2.0
97.599,104.565,53.698,28.135,46.744,18.078,30.053,138.006,220.538,263.253,350.874,610.661,1073.647,1203.396,928.723,859.836,829.712,902.573,1009.14,906.789,858.53,506.394,262.463,159.758,2.0
