@RELATION ItalyPowerDemand

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC

@DATA
0.053,0.038,0.041,0.022,0.014,0.0,0.03,0.007,0.008,0.016,0.025,0.003,0.021,0.035,0.035,0.047,0.015,0.022,0.028,0.024,0.047,0.099,0.039,0.071
0.004,0.044,0.009,0.007,0.01,0.028,0.02,0.041,0.027,0.015,0.056,0.057,0.023,0.007,0.008,0.008,0.089,0.055,0.047,0.044,0.028,0.103,0.116,0.035
0.05,0.012,0.052,0.077,0.024,0.006,0.043,0.085,0.09,0.042,0.088,0.001,0.02,0.016,0.016,0.11,0.044,0.015,0.141,0.005,0.085,0.022,0.043,0.019
0.01,0.067,0.063,0.008,0.031,0.001,0.009,0.07,0.149,0.001,0.007,0.02,0.05,0.014,0.003,0.013,0.037,0.066,0.019,0.121,0.1,0.085,0.056,0.066
0.025,0.014,0.005,0.019,0.009,0.023,0.004,0.076,0.043,0.006,0.054,0.049,0.0,0.04,0.05,0.062,0.03,0.056,0.015,0.0,0.008,0.014,0.023,0.05
0.05,0.011,0.041,0.017,0.0,0.03,0.013,0.026,0.067,0.011,0.071,0.05,0.015,0.007,0.03,0.076,0.028,0.116,0.004,0.108,0.144,0.078,0.093,0.088
0.042,0.064,0.021,0.024,0.034,0.031,0.013,0.078,0.01,0.07,0.004,0.022,0.035,0.01,0.026,0.049,0.088,0.034,0.069,0.041,0.148,0.059,0.054,0.047
0.033,0.0,0.026,0.023,0.059,0.006,0.005,0.055,0.006,0.043,0.018,0.086,0.035,0.019,0.044,0.067,0.021,0.055,0.023,0.014,0.034,0.003,0.033,0.05
0.057,0.03,0.018,0.015,0.002,0.02,0.039,0.088,0.081,0.002,0.011,0.024,0.005,0.016,0.039,0.02,0.039,0.01,0.016,0.099,0.042,0.024,0.094,0.037
0.087,0.135,0.001,0.049,0.053,0.002,0.03,0.007,0.013,0.071,0.099,0.009,0.012,0.027,0.006,0.027,0.004,0.057,0.059,0.035,0.012,0.145,0.031,0.153
0.026,0.091,0.001,0.045,0.022,0.018,0.021,0.043,0.091,0.048,0.053,0.032,0.019,0.017,0.054,0.074,0.076,0.023,0.0,0.018,0.055,0.061,0.008,0.053
0.01,0.095,0.012,0.003,0.067,0.046,0.027,0.002,0.036,0.008,0.083,0.0,0.025,0.003,0.024,0.027,0.01,0.029,0.089,0.095,0.006,0.094,0.04,0.014
0.133,0.008,0.04,0.006,0.046,0.037,0.001,0.018,0.082,0.174,0.076,0.007,0.028,0.075,0.027,0.044,0.014,0.041,0.0,0.055,0.113,0.039,0.068,0.019
0.059,0.077,0.0,0.008,0.018,0.013,0.001,0.074,0.039,0.023,0.006,0.027,0.02,0.044,0.05,0.013,0.03,0.019,0.018,0.132,0.078,0.034,0.041,0.068
0.015,0.038,0.036,0.021,0.007,0.016,0.006,0.029,0.003,0.101,0.018,0.03,0.011,0.042,0.058,0.055,0.05,0.055,0.059,0.058,0.033,0.056,0.032,0.092
0.156,0.005,0.013,0.035,0.01,0.006,0.035,0.108,0.03,0.08,0.008,0.013,0.039,0.053,0.011,0.001,0.004,0.025,0.018,0.026,0.09,0.042,0.08,0.061
0.087,0.011,0.001,0.012,0.009,0.01,0.002,0.079,0.067,0.006,0.024,0.022,0.051,0.026,0.038,0.023,0.059,0.06,0.019,0.049,0.016,0.019,0.058,0.028
0.1,0.025,0.034,0.035,0.011,0.047,0.013,0.057,0.055,0.084,0.038,0.048,0.019,0.003,0.06,0.008,0.03,0.054,0.05,0.015,0.107,0.049,0.07,0.021
0.026,0.005,0.026,0.011,0.006,0.011,0.007,0.031,0.107,0.03,0.038,0.03,0.03,0.012,0.037,0.069,0.043,0.099,0.084,0.03,0.067,0.128,0.076,0.009
0.078,0.007,0.03,0.064,0.055,0.031,0.064,0.027,0.087,0.003,0.016,0.051,0.02,0.037,0.058,0.013,0.057,0.091,0.017,0.011,0.027,0.057,0.056,0.073
0.04,0.077,0.027,0.056,0.041,0.044,0.051,0.038,0.034,0.08,0.007,0.073,0.007,0.014,0.086,0.049,0.036,0.053,0.154,0.001,0.003,0.037,0.085,0.065
