@RELATION ItalyPowerDemand

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE target {1.0, 2.0}

@DATA
-0.818,-1.155,-1.316,-1.611,-1.478,-1.372,-1.102,0.045,0.938,1.1,1.222,0.961,0.612,0.047,-0.638,-0.261,-0.217,0.62,1.341,1.44,1.108,0.638,0.139,-0.311,1.0
-0.993,-1.367,-1.594,-1.609,-1.629,-1.351,-1.025,-0.351,0.712,1.193,1.142,1.03,0.807,0.459,0.478,0.569,0.507,0.217,0.247,1.162,1.062,0.698,0.002,-0.352,1.0
1.197,0.574,0.157,-0.047,-0.206,-0.273,-0.071,-1.388,-1.341,-0.762,0.101,-0.086,-0.02,-0.458,-0.548,-0.576,-0.708,-0.73,-0.98,-0.457,0.446,2.355,2.274,1.594,2.0
-0.805,-1.266,-1.492,-1.52,-1.525,-1.417,-1.633,-0.418,0.34,1.059,1.353,1.191,0.994,0.646,0.74,0.892,0.775,0.659,0.642,0.584,0.049,0.104,0.124,-0.351,2.0
-0.982,-1.383,-1.539,-1.646,-1.615,-1.511,-0.999,0.007,0.627,1.032,0.827,0.749,0.656,0.342,0.337,0.59,0.607,1.293,1.25,1.074,0.544,0.433,-0.184,-0.657,1.0
0.314,-0.276,-0.784,-0.899,-1.138,-1.094,-1.171,-0.6,-0.967,-0.278,0.379,0.445,0.532,0.108,-0.263,-0.449,-0.568,-0.451,-0.496,0.424,2.242,2.074,1.67,1.225,1.0
0.063,-0.651,-1.046,-1.369,-1.33,-1.258,-1.755,-0.668,0.329,1.726,1.818,1.798,1.175,0.796,0.195,-0.017,-0.094,0.008,-0.031,0.07,-0.115,-0.212,0.696,0.187,2.0
-1.08,-1.375,-1.563,-1.586,-1.629,-1.439,-1.136,-0.259,0.643,0.989,1.022,0.873,0.773,0.419,0.535,0.733,0.827,0.783,1.229,0.989,0.533,0.304,-0.106,-0.495,1.0
-1.17,-1.515,-1.496,-1.585,-1.568,-1.46,-1.066,0.02,0.257,1.065,1.106,1.095,0.656,0.549,0.589,0.65,0.753,0.721,1.052,0.938,0.595,0.378,0.011,-0.465,1.0
-0.746,-0.93,-1.314,-1.462,-1.416,-1.294,-1.592,-0.878,0.399,1.157,1.302,1.264,0.982,0.811,0.887,0.948,1.019,0.79,0.267,0.518,-0.147,-0.051,0.048,-0.282,2.0
-0.536,-1.132,-1.239,-1.6,-1.61,-1.142,-0.826,-1.224,-0.122,1.134,1.335,1.483,1.198,0.87,0.498,0.654,0.333,0.458,0.129,-0.297,-0.732,0.996,0.851,0.521,2.0
-1.014,-1.29,-1.542,-1.608,-1.681,-1.399,-1.077,0.226,0.867,1.182,1.268,0.879,0.725,0.528,0.545,0.637,0.577,0.294,0.309,1.301,0.792,0.617,-0.046,-0.692,1.0
