@RELATION UMD

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC
@ATTRIBUTE att61_err NUMERIC
@ATTRIBUTE att62_err NUMERIC
@ATTRIBUTE att63_err NUMERIC
@ATTRIBUTE att64_err NUMERIC
@ATTRIBUTE att65_err NUMERIC
@ATTRIBUTE att66_err NUMERIC
@ATTRIBUTE att67_err NUMERIC
@ATTRIBUTE att68_err NUMERIC
@ATTRIBUTE att69_err NUMERIC
@ATTRIBUTE att70_err NUMERIC
@ATTRIBUTE att71_err NUMERIC
@ATTRIBUTE att72_err NUMERIC
@ATTRIBUTE att73_err NUMERIC
@ATTRIBUTE att74_err NUMERIC
@ATTRIBUTE att75_err NUMERIC
@ATTRIBUTE att76_err NUMERIC
@ATTRIBUTE att77_err NUMERIC
@ATTRIBUTE att78_err NUMERIC
@ATTRIBUTE att79_err NUMERIC
@ATTRIBUTE att80_err NUMERIC
@ATTRIBUTE att81_err NUMERIC
@ATTRIBUTE att82_err NUMERIC
@ATTRIBUTE att83_err NUMERIC
@ATTRIBUTE att84_err NUMERIC
@ATTRIBUTE att85_err NUMERIC
@ATTRIBUTE att86_err NUMERIC
@ATTRIBUTE att87_err NUMERIC
@ATTRIBUTE att88_err NUMERIC
@ATTRIBUTE att89_err NUMERIC
@ATTRIBUTE att90_err NUMERIC
@ATTRIBUTE att91_err NUMERIC
@ATTRIBUTE att92_err NUMERIC
@ATTRIBUTE att93_err NUMERIC
@ATTRIBUTE att94_err NUMERIC
@ATTRIBUTE att95_err NUMERIC
@ATTRIBUTE att96_err NUMERIC
@ATTRIBUTE att97_err NUMERIC
@ATTRIBUTE att98_err NUMERIC
@ATTRIBUTE att99_err NUMERIC
@ATTRIBUTE att100_err NUMERIC
@ATTRIBUTE att101_err NUMERIC
@ATTRIBUTE att102_err NUMERIC
@ATTRIBUTE att103_err NUMERIC
@ATTRIBUTE att104_err NUMERIC
@ATTRIBUTE att105_err NUMERIC
@ATTRIBUTE att106_err NUMERIC
@ATTRIBUTE att107_err NUMERIC
@ATTRIBUTE att108_err NUMERIC
@ATTRIBUTE att109_err NUMERIC
@ATTRIBUTE att110_err NUMERIC
@ATTRIBUTE att111_err NUMERIC
@ATTRIBUTE att112_err NUMERIC
@ATTRIBUTE att113_err NUMERIC
@ATTRIBUTE att114_err NUMERIC
@ATTRIBUTE att115_err NUMERIC
@ATTRIBUTE att116_err NUMERIC
@ATTRIBUTE att117_err NUMERIC
@ATTRIBUTE att118_err NUMERIC
@ATTRIBUTE att119_err NUMERIC
@ATTRIBUTE att120_err NUMERIC
@ATTRIBUTE att121_err NUMERIC
@ATTRIBUTE att122_err NUMERIC
@ATTRIBUTE att123_err NUMERIC
@ATTRIBUTE att124_err NUMERIC
@ATTRIBUTE att125_err NUMERIC
@ATTRIBUTE att126_err NUMERIC
@ATTRIBUTE att127_err NUMERIC
@ATTRIBUTE att128_err NUMERIC
@ATTRIBUTE att129_err NUMERIC
@ATTRIBUTE att130_err NUMERIC
@ATTRIBUTE att131_err NUMERIC
@ATTRIBUTE att132_err NUMERIC
@ATTRIBUTE att133_err NUMERIC
@ATTRIBUTE att134_err NUMERIC
@ATTRIBUTE att135_err NUMERIC
@ATTRIBUTE att136_err NUMERIC
@ATTRIBUTE att137_err NUMERIC
@ATTRIBUTE att138_err NUMERIC
@ATTRIBUTE att139_err NUMERIC
@ATTRIBUTE att140_err NUMERIC
@ATTRIBUTE att141_err NUMERIC
@ATTRIBUTE att142_err NUMERIC
@ATTRIBUTE att143_err NUMERIC
@ATTRIBUTE att144_err NUMERIC
@ATTRIBUTE att145_err NUMERIC
@ATTRIBUTE att146_err NUMERIC
@ATTRIBUTE att147_err NUMERIC
@ATTRIBUTE att148_err NUMERIC
@ATTRIBUTE att149_err NUMERIC
@ATTRIBUTE att150_err NUMERIC

@DATA
0.001,0.001,0.003,0.001,0.002,0.001,0.0,0.002,0.003,0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.004,0.007,0.017,0.001,0.011,0.019,0.052,0.037,0.067,0.004,0.035,0.013,0.011,0.021,0.002,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.003,0.002,0.004,0.017,0.002,0.011,0.006,0.0,0.01,0.04,0.023,0.06,0.028,0.064,0.084,0.132,0.198,0.038,0.112,0.043,0.026,0.093,0.101,0.004,0.042,0.073,0.245,0.045,0.185,0.015,0.196,0.086,0.02,0.091,0.132,0.105,0.078,0.103,0.135,0.025,0.01,0.117,0.069,0.001,0.137,0.043,0.026,0.027,0.108,0.018,0.113,0.012,0.043,0.026,0.12,0.031,0.009,0.003,0.145,0.048,0.088,0.021,0.06,0.014,0.169,0.073,0.118,0.013,0.026,0.077,0.018,0.08,0.064,0.008,0.049,0.045,0.015,0.013,0.001,0.0,0.013,0.006,0.047,0.005,0.018,0.048,0.078,0.068,0.008,0.042,0.016,0.053,0.023,0.001,0.005,0.004,0.001,0.0,0.001,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.001
0.0,0.0,0.002,0.002,0.001,0.0,0.001,0.003,0.001,0.001,0.002,0.0,0.001,0.001,0.003,0.0,0.0,0.02,0.003,0.011,0.046,0.07,0.01,0.121,0.021,0.029,0.056,0.02,0.006,0.001,0.004,0.0,0.003,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.002,0.002,0.006,0.007,0.002,0.007,0.027,0.013,0.045,0.024,0.036,0.0,0.068,0.019,0.079,0.083,0.125,0.19,0.013,0.037,0.082,0.034,0.05,0.191,0.066,0.094,0.007,0.049,0.099,0.033,0.086,0.109,0.046,0.127,0.05,0.173,0.053,0.015,0.064,0.08,0.012,0.214,0.025,0.003,0.021,0.223,0.182,0.003,0.192,0.189,0.04,0.106,0.174,0.091,0.014,0.006,0.126,0.039,0.067,0.057,0.142,0.018,0.03,0.039,0.011,0.093,0.026,0.057,0.02,0.005,0.146,0.068,0.019,0.008,0.016,0.005,0.009,0.001,0.025,0.017,0.001,0.006,0.021,0.041,0.033,0.054,0.028,0.036,0.076,0.028,0.017,0.013,0.005,0.001,0.003,0.002,0.0,0.002,0.001,0.0,0.002,0.003,0.001,0.0,0.0,0.0,0.0,0.003,0.001,0.001
0.001,0.0,0.0,0.001,0.0,0.001,0.001,0.001,0.002,0.002,0.001,0.0,0.002,0.001,0.003,0.003,0.012,0.002,0.032,0.024,0.07,0.049,0.007,0.076,0.055,0.09,0.084,0.051,0.031,0.013,0.016,0.003,0.007,0.003,0.001,0.001,0.002,0.001,0.0,0.001,0.002,0.005,0.006,0.003,0.008,0.001,0.004,0.05,0.021,0.034,0.078,0.044,0.042,0.021,0.057,0.028,0.038,0.103,0.028,0.261,0.028,0.011,0.151,0.004,0.047,0.148,0.222,0.028,0.075,0.011,0.001,0.189,0.084,0.145,0.038,0.143,0.006,0.084,0.096,0.061,0.129,0.038,0.154,0.003,0.074,0.066,0.015,0.048,0.038,0.161,0.113,0.064,0.077,0.043,0.04,0.014,0.02,0.06,0.172,0.107,0.119,0.105,0.042,0.094,0.052,0.068,0.011,0.038,0.015,0.027,0.072,0.044,0.017,0.035,0.028,0.025,0.008,0.017,0.008,0.021,0.021,0.053,0.025,0.023,0.015,0.039,0.056,0.08,0.007,0.022,0.003,0.009,0.001,0.0,0.0,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.003,0.0
0.001,0.002,0.0,0.001,0.001,0.002,0.002,0.002,0.002,0.001,0.002,0.001,0.001,0.003,0.004,0.005,0.008,0.006,0.017,0.01,0.062,0.036,0.119,0.06,0.087,0.055,0.006,0.015,0.022,0.004,0.015,0.004,0.001,0.001,0.001,0.002,0.001,0.0,0.0,0.003,0.001,0.001,0.016,0.008,0.006,0.019,0.022,0.028,0.012,0.008,0.075,0.063,0.086,0.07,0.044,0.047,0.051,0.105,0.014,0.099,0.094,0.023,0.108,0.002,0.208,0.038,0.017,0.062,0.069,0.052,0.101,0.156,0.122,0.018,0.028,0.035,0.104,0.067,0.253,0.122,0.145,0.002,0.21,0.242,0.028,0.288,0.098,0.13,0.064,0.007,0.003,0.055,0.078,0.027,0.029,0.16,0.104,0.035,0.188,0.019,0.116,0.019,0.012,0.019,0.002,0.06,0.034,0.02,0.064,0.051,0.064,0.045,0.012,0.064,0.024,0.014,0.011,0.013,0.006,0.015,0.003,0.001,0.013,0.009,0.009,0.011,0.003,0.029,0.06,0.013,0.005,0.016,0.008,0.001,0.003,0.002,0.0,0.0,0.002,0.003,0.002,0.001,0.001,0.001,0.0,0.001,0.0,0.001,0.0,0.002
0.001,0.001,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.001,0.0,0.002,0.001,0.003,0.003,0.001,0.001,0.002,0.023,0.05,0.08,0.039,0.031,0.017,0.02,0.018,0.01,0.042,0.019,0.015,0.0,0.002,0.003,0.001,0.0,0.001,0.003,0.0,0.001,0.001,0.004,0.002,0.011,0.003,0.002,0.034,0.02,0.015,0.002,0.008,0.01,0.007,0.094,0.095,0.063,0.219,0.136,0.181,0.124,0.182,0.122,0.012,0.085,0.003,0.066,0.11,0.182,0.095,0.115,0.076,0.243,0.087,0.045,0.053,0.122,0.078,0.12,0.03,0.02,0.116,0.063,0.134,0.169,0.042,0.002,0.032,0.037,0.024,0.061,0.094,0.124,0.011,0.031,0.098,0.038,0.027,0.027,0.096,0.113,0.117,0.069,0.006,0.035,0.115,0.004,0.049,0.104,0.005,0.029,0.11,0.022,0.025,0.039,0.021,0.003,0.02,0.011,0.003,0.011,0.038,0.015,0.027,0.051,0.021,0.091,0.045,0.04,0.054,0.008,0.007,0.009,0.023,0.01,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.0,0.003,0.0,0.003,0.0,0.001,0.0,0.001,0.0,0.0
0.001,0.001,0.002,0.001,0.001,0.003,0.001,0.0,0.001,0.001,0.003,0.0,0.002,0.002,0.004,0.001,0.005,0.027,0.078,0.062,0.013,0.064,0.035,0.004,0.073,0.005,0.01,0.028,0.011,0.019,0.011,0.003,0.004,0.001,0.001,0.0,0.0,0.001,0.001,0.001,0.001,0.006,0.006,0.012,0.014,0.003,0.025,0.002,0.055,0.014,0.013,0.011,0.04,0.012,0.047,0.056,0.123,0.072,0.022,0.112,0.074,0.139,0.031,0.055,0.076,0.095,0.096,0.076,0.004,0.026,0.037,0.055,0.059,0.095,0.021,0.026,0.128,0.124,0.015,0.031,0.035,0.002,0.088,0.089,0.084,0.136,0.201,0.017,0.001,0.089,0.12,0.045,0.069,0.008,0.051,0.072,0.095,0.015,0.12,0.146,0.061,0.06,0.024,0.015,0.156,0.028,0.074,0.005,0.029,0.07,0.042,0.013,0.009,0.007,0.035,0.034,0.006,0.004,0.0,0.022,0.005,0.029,0.039,0.0,0.072,0.02,0.044,0.023,0.012,0.011,0.0,0.021,0.003,0.006,0.002,0.001,0.002,0.002,0.0,0.001,0.001,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001
0.0,0.001,0.002,0.001,0.002,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.0,0.006,0.022,0.051,0.026,0.012,0.008,0.052,0.091,0.026,0.056,0.05,0.01,0.009,0.02,0.002,0.002,0.005,0.002,0.0,0.001,0.004,0.0,0.001,0.001,0.0,0.005,0.001,0.025,0.0,0.015,0.041,0.004,0.11,0.063,0.031,0.068,0.003,0.01,0.079,0.0,0.055,0.206,0.216,0.047,0.087,0.205,0.009,0.084,0.151,0.125,0.03,0.117,0.094,0.048,0.026,0.186,0.039,0.102,0.15,0.146,0.044,0.005,0.002,0.002,0.174,0.015,0.238,0.033,0.214,0.051,0.08,0.037,0.005,0.109,0.155,0.242,0.009,0.103,0.084,0.04,0.115,0.077,0.087,0.064,0.229,0.098,0.069,0.166,0.01,0.003,0.08,0.018,0.018,0.026,0.019,0.017,0.015,0.014,0.036,0.013,0.012,0.016,0.01,0.002,0.025,0.012,0.023,0.043,0.026,0.065,0.018,0.008,0.04,0.012,0.012,0.023,0.013,0.004,0.002,0.003,0.002,0.0,0.0,0.0,0.0,0.001,0.004,0.001,0.002,0.002,0.002,0.001,0.001,0.001
0.001,0.0,0.0,0.001,0.001,0.0,0.001,0.001,0.003,0.003,0.0,0.0,0.001,0.002,0.001,0.002,0.016,0.055,0.002,0.002,0.128,0.008,0.049,0.044,0.007,0.017,0.008,0.009,0.02,0.0,0.006,0.001,0.002,0.0,0.0,0.003,0.0,0.0,0.0,0.004,0.002,0.003,0.01,0.017,0.019,0.007,0.067,0.002,0.055,0.074,0.05,0.003,0.125,0.001,0.01,0.092,0.012,0.013,0.055,0.144,0.029,0.015,0.111,0.066,0.224,0.173,0.01,0.147,0.018,0.194,0.195,0.318,0.083,0.08,0.104,0.142,0.037,0.004,0.039,0.035,0.015,0.012,0.085,0.096,0.121,0.06,0.1,0.01,0.05,0.001,0.087,0.013,0.015,0.077,0.066,0.044,0.101,0.065,0.058,0.169,0.024,0.066,0.022,0.011,0.153,0.119,0.06,0.033,0.076,0.013,0.04,0.047,0.017,0.046,0.042,0.003,0.002,0.007,0.008,0.008,0.026,0.014,0.025,0.01,0.06,0.081,0.039,0.011,0.064,0.021,0.012,0.008,0.008,0.004,0.0,0.002,0.003,0.001,0.001,0.001,0.002,0.0,0.0,0.001,0.002,0.001,0.0,0.0,0.001,0.002
0.0,0.003,0.001,0.002,0.003,0.0,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.002,0.001,0.003,0.002,0.013,0.058,0.013,0.09,0.005,0.037,0.033,0.002,0.031,0.043,0.088,0.022,0.005,0.0,0.002,0.002,0.0,0.001,0.002,0.0,0.001,0.001,0.003,0.001,0.004,0.007,0.019,0.009,0.002,0.002,0.008,0.034,0.044,0.046,0.049,0.04,0.032,0.104,0.088,0.022,0.117,0.021,0.204,0.072,0.057,0.027,0.168,0.153,0.1,0.187,0.078,0.051,0.07,0.003,0.105,0.089,0.068,0.084,0.043,0.039,0.022,0.039,0.099,0.001,0.065,0.015,0.005,0.087,0.124,0.019,0.039,0.129,0.129,0.081,0.145,0.019,0.076,0.111,0.01,0.086,0.048,0.056,0.089,0.064,0.062,0.092,0.022,0.027,0.023,0.011,0.0,0.046,0.008,0.058,0.037,0.026,0.035,0.054,0.005,0.017,0.004,0.039,0.022,0.021,0.031,0.0,0.071,0.007,0.062,0.082,0.003,0.082,0.033,0.001,0.011,0.023,0.002,0.002,0.0,0.0,0.005,0.003,0.0,0.001,0.003,0.001,0.001,0.003,0.0,0.0,0.001,0.002,0.002
0.002,0.001,0.001,0.0,0.001,0.001,0.001,0.002,0.001,0.0,0.0,0.002,0.001,0.0,0.001,0.005,0.005,0.003,0.015,0.006,0.006,0.009,0.007,0.053,0.0,0.003,0.01,0.035,0.029,0.016,0.004,0.005,0.001,0.001,0.002,0.001,0.002,0.001,0.0,0.0,0.0,0.014,0.003,0.005,0.022,0.045,0.012,0.01,0.016,0.03,0.014,0.005,0.02,0.023,0.074,0.077,0.147,0.2,0.105,0.199,0.141,0.026,0.031,0.178,0.119,0.013,0.075,0.015,0.057,0.028,0.104,0.042,0.001,0.058,0.064,0.048,0.163,0.085,0.02,0.056,0.079,0.131,0.026,0.265,0.075,0.083,0.153,0.043,0.052,0.011,0.152,0.126,0.033,0.095,0.17,0.151,0.137,0.129,0.108,0.022,0.078,0.009,0.01,0.058,0.042,0.04,0.055,0.035,0.025,0.085,0.013,0.029,0.039,0.011,0.005,0.009,0.001,0.016,0.004,0.023,0.0,0.025,0.065,0.0,0.051,0.049,0.004,0.006,0.006,0.018,0.001,0.003,0.003,0.0,0.001,0.002,0.002,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.002,0.002,0.0,0.001,0.001,0.002
