@RELATION Chinatown

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC

@DATA
70.822,19.809,18.178,16.202,0.541,2.71,0.383,0.665,5.364,9.893,14.262,32.983,40.008,30.504,17.805,1.896,56.409,5.68,22.941,1.261,24.841,3.531,83.758,33.86
15.667,12.262,10.784,11.194,10.025,7.57,0.583,5.88,1.363,9.636,5.44,10.791,15.386,13.843,29.229,33.191,31.474,25.868,21.709,8.04,49.163,19.283,2.451,34.84
4.939,47.907,6.493,6.517,12.483,5.393,0.556,4.886,20.736,2.82,8.059,33.724,14.617,44.384,1.324,23.524,40.872,35.506,56.47,36.721,27.041,21.155,16.751,47.479
14.81,25.762,26.712,22.709,6.413,0.405,2.349,0.566,9.266,17.497,10.393,21.83,14.061,72.695,146.267,89.713,22.476,9.132,33.286,139.42,47.92,38.225,101.98,77.124
20.714,14.983,20.927,23.22,10.866,2.766,1.052,3.339,13.302,0.09,0.025,0.769,35.154,12.214,64.931,56.824,15.607,68.265,23.411,22.46,35.502,32.419,138.059,61.276
51.846,14.755,15.518,4.322,0.933,0.19,1.02,2.139,4.333,8.018,16.995,18.77,9.596,3.892,42.152,14.315,79.999,3.569,13.182,8.78,84.684,61.334,17.448,6.918
47.919,7.382,9.657,20.713,4.025,1.813,1.403,6.758,4.524,3.916,6.281,8.596,3.741,78.733,1.037,43.323,35.081,28.28,52.665,21.644,103.536,50.938,60.169,108.348
62.104,16.123,9.981,5.068,2.214,0.282,2.223,12.607,19.553,0.997,30.02,26.161,9.072,47.634,6.946,18.863,5.866,18.551,18.676,10.893,7.307,108.69,120.688,72.496
57.513,25.858,16.095,16.236,11.681,0.212,1.296,5.024,2.272,0.047,3.44,12.821,8.903,2.329,11.89,87.975,43.299,23.541,36.18,13.647,75.567,46.844,14.338,55.338
49.173,10.054,0.305,12.212,1.383,2.407,1.547,8.116,0.778,1.987,7.822,22.383,8.058,35.62,48.341,35.239,70.411,100.569,16.792,37.727,24.861,91.587,10.051,78.013
15.073,10.698,6.125,0.67,8.606,2.294,1.877,2.216,16.35,4.775,9.299,25.654,20.807,12.847,69.179,34.071,37.257,66.764,34.098,54.581,44.449,24.101,44.419,26.969
22.927,14.811,25.442,0.568,17.755,2.743,1.015,0.33,33.034,9.889,18.613,6.04,19.372,5.355,68.438,10.028,6.992,17.048,10.331,64.743,24.207,48.405,106.779,106.659
36.621,4.709,11.371,9.665,18.686,0.668,0.191,0.963,0.766,6.592,0.347,15.023,4.582,102.157,61.459,31.082,17.162,16.62,22.103,66.255,34.234,65.897,35.785,13.277
55.485,3.851,3.667,6.068,7.778,2.596,0.792,6.215,13.967,1.722,5.85,41.225,55.64,17.979,16.98,32.464,72.752,1.547,29.399,81.965,23.685,133.131,22.409,0.253
13.506,6.257,10.224,3.844,2.497,1.161,0.238,4.924,2.235,4.191,0.667,15.715,10.477,11.761,32.43,4.779,18.236,43.754,20.606,4.039,7.755,18.258,22.349,46.614
1.957,48.078,4.028,26.905,10.648,2.409,1.255,8.901,8.971,7.347,23.642,29.385,32.759,6.223,26.293,5.497,68.226,0.055,12.0,84.068,124.367,46.896,44.662,55.619
103.214,49.755,4.891,1.592,2.221,0.026,0.822,11.035,11.014,0.844,13.499,5.471,22.351,48.66,54.815,8.627,1.44,51.327,37.874,15.029,57.119,31.706,42.183,62.837
48.487,8.459,13.591,14.012,11.075,1.219,0.848,10.771,13.937,16.207,1.887,8.134,8.084,5.375,12.606,13.914,26.434,3.721,51.005,25.042,108.183,12.351,28.794,11.639
26.899,63.192,8.823,24.72,3.761,0.45,1.753,3.313,14.477,15.182,1.287,24.86,10.512,24.037,16.884,61.786,8.987,53.089,56.526,20.848,84.163,57.688,16.889,87.558
0.516,17.496,10.994,2.614,16.109,0.679,0.073,0.875,14.712,0.628,15.753,11.975,40.488,2.131,13.837,67.674,14.168,10.405,3.958,65.911,55.083,30.742,42.599,3.59
