@RELATION CBF

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE att25 NUMERIC
@ATTRIBUTE att26 NUMERIC
@ATTRIBUTE att27 NUMERIC
@ATTRIBUTE att28 NUMERIC
@ATTRIBUTE att29 NUMERIC
@ATTRIBUTE att30 NUMERIC
@ATTRIBUTE att31 NUMERIC
@ATTRIBUTE att32 NUMERIC
@ATTRIBUTE att33 NUMERIC
@ATTRIBUTE att34 NUMERIC
@ATTRIBUTE att35 NUMERIC
@ATTRIBUTE att36 NUMERIC
@ATTRIBUTE att37 NUMERIC
@ATTRIBUTE att38 NUMERIC
@ATTRIBUTE att39 NUMERIC
@ATTRIBUTE att40 NUMERIC
@ATTRIBUTE att41 NUMERIC
@ATTRIBUTE att42 NUMERIC
@ATTRIBUTE att43 NUMERIC
@ATTRIBUTE att44 NUMERIC
@ATTRIBUTE att45 NUMERIC
@ATTRIBUTE att46 NUMERIC
@ATTRIBUTE att47 NUMERIC
@ATTRIBUTE att48 NUMERIC
@ATTRIBUTE att49 NUMERIC
@ATTRIBUTE att50 NUMERIC
@ATTRIBUTE att51 NUMERIC
@ATTRIBUTE att52 NUMERIC
@ATTRIBUTE att53 NUMERIC
@ATTRIBUTE att54 NUMERIC
@ATTRIBUTE att55 NUMERIC
@ATTRIBUTE att56 NUMERIC
@ATTRIBUTE att57 NUMERIC
@ATTRIBUTE att58 NUMERIC
@ATTRIBUTE att59 NUMERIC
@ATTRIBUTE att60 NUMERIC
@ATTRIBUTE att61 NUMERIC
@ATTRIBUTE att62 NUMERIC
@ATTRIBUTE att63 NUMERIC
@ATTRIBUTE att64 NUMERIC
@ATTRIBUTE att65 NUMERIC
@ATTRIBUTE att66 NUMERIC
@ATTRIBUTE att67 NUMERIC
@ATTRIBUTE att68 NUMERIC
@ATTRIBUTE att69 NUMERIC
@ATTRIBUTE att70 NUMERIC
@ATTRIBUTE att71 NUMERIC
@ATTRIBUTE att72 NUMERIC
@ATTRIBUTE att73 NUMERIC
@ATTRIBUTE att74 NUMERIC
@ATTRIBUTE att75 NUMERIC
@ATTRIBUTE att76 NUMERIC
@ATTRIBUTE att77 NUMERIC
@ATTRIBUTE att78 NUMERIC
@ATTRIBUTE att79 NUMERIC
@ATTRIBUTE att80 NUMERIC
@ATTRIBUTE att81 NUMERIC
@ATTRIBUTE att82 NUMERIC
@ATTRIBUTE att83 NUMERIC
@ATTRIBUTE att84 NUMERIC
@ATTRIBUTE att85 NUMERIC
@ATTRIBUTE att86 NUMERIC
@ATTRIBUTE att87 NUMERIC
@ATTRIBUTE att88 NUMERIC
@ATTRIBUTE att89 NUMERIC
@ATTRIBUTE att90 NUMERIC
@ATTRIBUTE att91 NUMERIC
@ATTRIBUTE att92 NUMERIC
@ATTRIBUTE att93 NUMERIC
@ATTRIBUTE att94 NUMERIC
@ATTRIBUTE att95 NUMERIC
@ATTRIBUTE att96 NUMERIC
@ATTRIBUTE att97 NUMERIC
@ATTRIBUTE att98 NUMERIC
@ATTRIBUTE att99 NUMERIC
@ATTRIBUTE att100 NUMERIC
@ATTRIBUTE att101 NUMERIC
@ATTRIBUTE att102 NUMERIC
@ATTRIBUTE att103 NUMERIC
@ATTRIBUTE att104 NUMERIC
@ATTRIBUTE att105 NUMERIC
@ATTRIBUTE att106 NUMERIC
@ATTRIBUTE att107 NUMERIC
@ATTRIBUTE att108 NUMERIC
@ATTRIBUTE att109 NUMERIC
@ATTRIBUTE att110 NUMERIC
@ATTRIBUTE att111 NUMERIC
@ATTRIBUTE att112 NUMERIC
@ATTRIBUTE att113 NUMERIC
@ATTRIBUTE att114 NUMERIC
@ATTRIBUTE att115 NUMERIC
@ATTRIBUTE att116 NUMERIC
@ATTRIBUTE att117 NUMERIC
@ATTRIBUTE att118 NUMERIC
@ATTRIBUTE att119 NUMERIC
@ATTRIBUTE att120 NUMERIC
@ATTRIBUTE att121 NUMERIC
@ATTRIBUTE att122 NUMERIC
@ATTRIBUTE att123 NUMERIC
@ATTRIBUTE att124 NUMERIC
@ATTRIBUTE att125 NUMERIC
@ATTRIBUTE att126 NUMERIC
@ATTRIBUTE att127 NUMERIC
@ATTRIBUTE att128 NUMERIC
@ATTRIBUTE target {1.0, 3.0, 2.0}

@DATA
-0.117,-0.648,-1.072,-0.799,-0.624,-0.825,-0.319,-1.462,-1.226,-1.003,-0.898,-1.029,-1.318,-1.239,-0.975,-0.375,-0.697,-0.931,-0.693,-0.826,-1.151,-0.296,-1.135,-0.809,-1.544,-1.034,-1.357,1.732,0.784,1.218,1.041,1.326,1.355,0.274,0.841,1.062,1.242,1.358,1.201,1.284,0.213,1.072,1.1,0.544,0.294,0.963,0.517,0.845,0.913,0.473,0.722,1.182,1.383,1.148,1.065,0.731,0.135,1.488,1.046,1.18,1.188,0.718,1.498,1.111,1.414,0.813,2.458,1.391,1.147,1.562,1.442,0.811,0.522,0.677,1.449,1.249,0.93,0.643,-0.104,0.893,0.919,1.38,0.974,1.178,1.086,-1.473,-0.526,-0.842,-0.729,-0.06,-0.657,-0.855,-0.144,-0.615,-0.589,-0.67,-0.702,-0.832,-1.203,-1.013,-0.391,-0.458,-0.657,-0.42,-1.298,-0.974,-1.17,-0.879,-0.781,-0.953,-0.636,-0.359,-1.048,-1.117,-1.208,-0.656,-1.328,-0.6,-1.316,-1.304,-1.04,-0.932,-1.27,-0.584,-0.836,-0.79,-0.923,-1.217,1.0
-0.813,-0.707,-1.474,-1.367,-1.057,-1.74,-1.838,-0.828,-1.002,-0.818,-1.375,-1.099,-0.884,-1.655,-0.945,-1.536,1.39,1.084,1.616,0.563,0.955,0.785,0.868,1.373,1.074,1.02,0.729,-1.193,0.862,0.65,0.738,-0.129,1.23,1.584,0.903,-0.515,1.371,0.529,1.02,0.274,1.109,1.263,0.192,0.994,0.783,0.448,-0.176,0.225,1.305,0.626,0.953,0.756,0.951,1.357,0.873,0.634,0.556,0.795,0.7,0.235,0.502,0.333,1.379,0.588,1.382,0.33,0.893,0.63,-0.056,1.043,0.585,0.613,0.498,0.006,0.244,0.918,0.554,0.667,0.938,0.667,0.721,0.733,0.908,0.624,0.868,0.049,0.845,0.374,1.491,1.03,0.099,0.343,1.132,1.229,-0.956,-1.082,-1.255,-1.308,-1.494,-0.535,-0.852,-1.121,-0.604,-1.597,-0.879,-1.382,-1.203,0.137,-1.595,-0.984,-0.501,-1.155,-0.791,-1.38,-2.115,-1.783,-1.069,-2.028,-1.104,-1.337,-1.381,-1.452,-0.831,-1.235,-1.127,-0.582,-1.236,-1.477,1.0
-0.486,-0.552,-0.131,-0.578,-0.459,-0.244,-0.268,-0.856,-0.36,-0.801,-0.564,-0.937,-1.431,-0.528,-0.561,-1.13,-0.622,-0.605,-0.725,-0.951,-0.785,-0.475,-1.945,-0.162,-0.782,1.448,0.707,1.522,1.269,0.749,2.11,1.734,1.854,1.342,1.772,1.457,1.512,1.688,1.311,1.333,1.76,0.701,1.465,1.082,1.453,1.259,1.749,1.229,1.121,1.022,1.102,0.856,1.524,1.907,1.483,0.808,0.778,1.673,0.94,1.208,1.082,0.742,0.691,0.965,1.758,2.007,1.278,1.708,-0.157,-0.367,-1.01,-0.564,-0.804,-0.595,-0.531,-0.629,-1.376,-1.034,-0.732,-0.906,-0.038,-0.555,-0.291,-0.746,-1.058,-0.658,-0.45,-0.525,-0.864,-0.546,-0.122,-0.997,-0.477,-1.138,-1.315,-1.31,-0.815,-1.387,-0.694,-1.14,-0.355,-0.226,-0.54,-0.584,-0.411,-0.932,-1.144,-0.572,-0.207,-0.266,-0.494,-1.832,-0.265,-1.333,0.063,-0.688,-0.993,-1.684,-1.316,-0.142,-0.158,-0.692,-0.876,-0.785,-0.857,-0.139,-1.266,-0.903,1.0
-0.212,-0.517,-0.724,-0.414,-0.802,-0.99,-1.581,-0.209,-0.846,0.01,-0.825,-1.162,-0.764,-0.568,0.562,-1.242,-0.651,-0.743,-1.069,-0.646,-0.765,0.001,2.876,2.748,2.434,1.893,1.947,2.795,2.03,2.085,2.248,2.152,1.838,1.438,0.956,1.872,2.35,1.308,1.395,0.674,1.136,2.094,0.743,1.413,1.023,0.657,0.652,1.311,0.639,0.608,0.559,0.629,-0.037,0.715,0.651,-0.126,0.291,0.295,-0.52,-0.216,-0.956,0.055,-0.101,0.078,0.15,-0.944,-0.142,-0.963,-0.659,-0.76,-0.619,-0.079,-0.869,-1.135,-0.334,-0.307,-0.157,-0.617,-0.632,0.067,-0.551,-0.86,-0.922,-0.146,0.235,0.16,-0.506,0.022,-0.151,-0.15,-1.077,-0.419,-0.402,0.2,-1.06,-0.276,0.019,-0.925,-0.45,-0.27,-0.34,-0.942,-0.258,-1.774,-0.039,-0.97,-1.713,-0.126,-0.2,-0.139,-0.271,0.579,-0.914,-0.589,-0.543,-0.806,-0.951,0.107,-0.997,-0.672,0.147,-0.473,0.06,-0.356,-0.568,-0.474,-0.763,-0.383,3.0
-1.094,-1.443,-1.828,-0.774,0.007,-1.474,-0.682,-0.34,-1.449,-0.308,-0.998,-1.351,-0.573,-1.627,-0.533,-1.05,-1.136,-0.368,-0.983,-0.449,-1.178,-0.226,-1.493,-1.336,-0.74,-1.238,-0.718,-1.347,-1.029,-0.753,-0.173,0.58,-0.608,-0.83,-0.311,-0.761,0.33,-0.907,-1.557,-0.51,-0.704,0.084,-1.118,-0.891,-0.625,-0.467,-0.246,-0.134,-0.128,0.553,0.129,0.247,-0.318,-1.216,0.416,0.525,0.385,0.418,0.319,0.345,0.112,-0.648,-0.042,0.621,-0.223,0.311,-0.095,-0.11,0.739,0.47,0.913,0.704,0.391,1.297,0.52,-0.323,0.607,-0.192,0.792,1.026,0.081,0.887,0.995,0.104,0.269,0.918,1.175,0.624,0.553,0.755,1.409,0.596,1.664,0.644,1.621,1.326,0.907,0.612,1.242,2.093,1.8,1.745,1.516,1.711,1.588,1.786,1.794,1.134,1.304,1.498,1.246,1.455,1.347,1.534,1.524,1.577,1.988,-1.608,-1.23,-1.083,-1.484,-1.127,-1.233,-0.81,-0.937,-1.135,-1.831,-0.919,2.0
-0.573,-0.898,-0.049,0.062,-0.551,-1.151,-1.303,-0.083,-0.797,-0.514,-0.652,-0.978,-0.989,-0.339,-0.351,0.42,-0.172,-0.449,-1.39,1.007,0.109,-0.336,-0.256,-1.052,-0.05,-0.157,-1.104,-0.045,-0.593,0.25,-0.61,0.496,-0.047,-0.156,1.467,0.308,0.154,0.734,0.923,0.441,0.644,0.534,1.174,1.459,1.559,0.481,1.214,1.164,1.879,1.051,1.0,1.027,1.677,0.736,0.84,2.005,2.307,1.794,1.936,1.897,1.789,2.985,2.581,3.382,2.595,2.157,-0.682,-0.899,0.001,0.34,-0.152,-1.296,0.061,0.253,-1.917,-0.525,-0.289,-0.908,0.476,-0.826,-0.465,-0.435,-1.217,-1.232,-0.997,-0.923,-0.501,-0.159,0.396,-0.882,-1.61,-0.359,-0.454,-1.561,0.018,-1.345,-0.668,0.17,-1.413,-1.561,-0.781,0.475,-1.034,0.047,-0.116,-1.158,-1.033,0.11,-0.875,-0.453,-0.223,-0.108,-0.981,0.006,-0.359,-0.588,0.109,-0.386,-0.996,0.842,-0.228,-0.473,-0.613,-0.997,-0.194,-0.205,-0.377,-0.054,2.0
-0.926,-1.636,-1.578,-1.522,-0.92,-1.112,-0.662,-0.95,-1.228,-0.879,-1.261,-1.739,-1.544,0.08,-1.876,-1.441,-1.193,-1.111,-1.207,0.008,0.839,0.832,1.17,0.577,0.665,1.33,1.004,0.341,0.753,0.615,0.748,0.785,1.156,0.779,1.155,1.468,0.866,0.277,1.048,1.133,0.69,0.681,1.057,0.861,1.358,1.454,1.306,1.297,0.703,0.655,0.927,0.262,0.322,1.61,1.024,1.198,0.717,0.915,0.416,0.591,1.264,0.837,0.626,0.717,0.496,0.801,0.704,1.386,0.972,0.574,0.747,0.801,0.172,1.13,1.508,0.535,0.794,1.289,0.484,0.387,0.775,1.492,0.7,1.022,0.256,0.691,0.695,1.308,1.061,1.949,-1.353,-1.328,-1.682,-0.663,-0.805,-1.183,-0.879,-1.059,-1.268,-0.763,-0.632,-0.874,-0.471,-0.819,-1.809,-0.718,-1.743,-0.914,-0.917,-1.177,-0.287,-0.065,-0.844,-0.872,-0.925,-0.83,-0.748,-0.697,-1.275,-0.97,-1.439,-1.203,-0.901,-0.871,-1.142,-0.808,-0.887,-0.815,1.0
-0.288,-0.222,-0.714,-0.534,-0.495,-0.372,-1.037,-1.0,-0.596,-1.057,-1.384,-0.517,-0.732,-0.703,-0.761,1.973,1.661,1.865,2.994,1.252,1.707,1.606,1.439,2.363,2.671,2.881,1.74,0.661,1.401,0.68,1.293,1.082,1.596,2.342,1.113,1.37,0.653,0.231,2.172,0.453,0.95,1.444,0.612,0.616,0.437,0.162,0.284,-0.529,0.15,0.972,0.41,0.269,0.855,-0.058,0.364,-0.763,0.714,1.017,-0.036,-0.853,-0.268,-0.678,-0.4,-0.656,-0.513,0.577,-0.404,-0.29,0.189,-0.752,-0.619,0.435,-1.321,-0.443,-0.569,-0.221,-0.99,-0.818,-0.808,0.198,0.034,-0.987,-0.449,-0.011,-0.598,-2.071,-0.608,-0.314,-0.674,0.43,-0.619,-0.851,-0.607,-0.447,-0.331,-0.638,-0.886,-0.212,-0.171,-1.182,-0.097,-0.069,-0.123,-0.557,-0.963,-1.244,-1.089,-0.572,-0.378,-1.598,-1.19,-0.365,0.216,-0.495,-0.953,-0.8,-0.771,-1.104,-1.292,-0.421,-0.132,-0.57,-0.521,-0.974,0.368,-1.851,-0.965,-0.64,3.0
-1.204,-0.095,-1.26,-0.967,-0.421,-0.392,-0.825,-0.366,-0.815,-1.004,-0.953,-0.403,-1.154,-0.779,-0.854,-0.517,-1.458,-0.983,-1.387,-0.548,-1.297,-0.262,0.007,-0.29,-0.91,-1.042,-0.999,-1.32,-0.801,-0.721,0.042,-0.132,0.341,0.026,0.387,0.239,-0.728,-0.066,-0.225,0.627,0.315,-0.212,0.183,-0.157,-0.612,-0.289,-0.043,0.2,0.805,0.794,0.393,0.539,0.061,0.488,1.316,-0.117,1.712,-0.173,1.673,0.499,0.37,0.898,1.054,1.561,0.085,0.787,1.577,0.829,1.231,0.831,0.487,1.642,1.361,1.36,1.657,1.735,1.022,0.908,1.741,1.427,2.285,1.436,1.584,1.45,1.649,2.264,1.957,1.37,1.32,2.39,1.872,1.459,1.805,-0.375,-0.452,-1.188,-0.55,-0.765,-0.661,-1.124,-1.122,0.017,-1.079,-0.612,-0.905,-0.954,0.586,-0.857,-0.919,-1.017,-0.83,-0.824,-0.439,-0.212,-0.999,-0.823,-1.044,-0.06,-1.766,-0.697,-0.97,-0.34,-0.598,-0.864,-0.932,-0.703,-1.963,-0.487,2.0
-1.093,-0.893,-0.726,-0.35,-1.444,-1.265,-1.192,-1.243,-1.199,-1.173,-1.407,-0.45,-1.418,-0.627,-1.025,-1.123,-1.049,-0.621,-0.443,-1.084,1.0,0.404,0.596,0.553,0.668,1.072,1.072,0.562,0.638,0.83,1.166,0.77,0.731,0.987,1.27,0.919,1.147,0.804,0.551,1.795,0.597,0.596,0.816,1.155,0.801,1.201,0.244,1.056,0.798,1.124,0.085,-0.11,1.181,0.165,1.366,1.201,0.73,-0.128,0.904,0.761,1.8,0.47,1.228,1.434,0.589,0.777,0.979,1.046,0.436,1.196,0.717,0.849,0.327,0.468,0.857,0.67,1.311,1.425,0.363,0.444,0.908,0.834,0.286,1.142,0.732,1.42,0.775,0.787,-1.037,-1.168,-0.842,-1.296,-0.913,-0.84,-0.681,-1.078,-0.717,-0.837,-0.768,-0.46,-1.054,-0.689,-1.389,-1.052,-0.97,-0.755,-0.899,-0.646,-0.358,-1.251,-1.052,-1.596,-1.357,-1.57,-1.159,-1.14,-0.776,-1.155,-0.799,-1.212,-0.608,-1.278,-1.596,-0.923,-0.955,-0.864,-1.176,-0.986,1.0
