@RELATION SmoothSubspace

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE target {1.0, 2.0, 3.0}

@DATA
0.495,0.586,0.654,0.485,0.684,0.826,0.805,0.332,0.356,0.43,0.08,0.046,0.409,0.512,0.059,1.0
0.473,0.568,0.765,0.571,0.629,0.325,0.408,0.107,0.847,0.936,0.973,0.268,0.867,0.551,0.568,1.0
0.419,0.612,0.781,0.539,0.571,0.377,0.167,0.189,0.611,-0.023,0.616,0.363,-0.304,0.677,0.026,1.0
0.609,0.688,0.809,0.414,0.57,0.501,0.846,0.162,0.21,0.3,0.699,0.547,0.751,0.623,0.234,1.0
0.504,0.599,0.76,0.386,0.573,0.749,0.785,0.598,0.213,0.635,0.427,0.059,0.65,0.086,0.68,1.0
0.557,0.579,0.676,0.46,0.616,0.444,0.148,0.542,0.576,-0.23,0.426,0.562,0.801,0.843,0.811,1.0
0.467,0.696,0.591,0.537,0.601,0.75,0.049,0.072,0.417,0.431,0.986,0.994,0.983,0.714,0.741,1.0
0.457,0.635,0.737,0.464,0.603,0.552,0.765,0.403,0.108,0.125,0.676,0.706,0.74,0.524,0.488,1.0
0.534,0.824,0.686,0.494,0.618,0.367,0.736,0.167,0.822,0.621,0.336,0.13,0.471,0.455,0.37,1.0
0.523,0.639,0.589,0.494,0.615,0.417,0.209,0.312,0.329,0.538,0.65,0.571,0.219,0.822,0.918,1.0
0.485,0.602,0.696,0.348,0.685,0.818,0.723,0.539,0.463,0.924,0.653,0.727,0.274,0.157,0.639,1.0
0.426,0.569,0.839,0.532,0.634,0.751,0.281,0.871,0.029,0.336,0.172,0.519,0.478,0.343,0.877,1.0
0.582,0.639,0.679,0.538,0.698,0.914,0.828,0.183,0.455,0.756,0.716,0.185,0.155,0.736,0.714,1.0
0.595,0.583,0.748,0.514,0.629,0.643,0.826,0.307,0.483,0.61,0.347,0.609,0.769,0.935,0.687,1.0
0.502,0.655,0.775,0.439,0.468,0.52,-0.043,0.352,0.853,0.387,0.109,0.112,0.316,0.881,0.702,1.0
0.425,0.475,0.712,0.587,0.618,0.109,0.581,0.708,0.631,0.523,0.179,0.775,0.585,0.12,0.868,1.0
0.403,0.664,0.741,0.617,0.526,0.77,0.14,0.651,0.725,0.608,0.902,1.039,0.75,0.442,0.158,1.0
0.415,0.57,0.771,0.404,0.538,0.478,0.137,0.583,0.728,-0.119,0.362,0.711,0.964,0.107,0.662,1.0
0.56,0.655,0.865,0.301,0.5,0.36,0.059,0.041,0.559,0.453,1.139,1.019,0.261,0.071,0.703,1.0
0.485,0.601,0.652,0.479,0.566,0.225,0.926,0.623,0.249,0.721,0.534,0.561,0.03,0.427,0.527,1.0
0.453,0.849,0.693,0.722,0.67,0.195,0.96,0.024,0.194,0.695,0.769,0.628,0.563,0.326,0.793,1.0
0.407,0.644,0.824,0.458,0.629,0.111,0.794,0.861,0.331,1.092,0.344,0.286,0.424,0.604,0.119,1.0
0.558,0.619,0.81,0.52,0.65,0.412,1.11,0.323,0.387,0.387,0.577,0.638,0.441,0.507,0.556,1.0
0.693,0.758,0.699,0.431,0.88,0.135,0.599,0.046,0.777,0.741,0.246,0.381,0.055,0.331,0.524,1.0
0.473,0.579,0.74,0.539,0.573,0.519,0.813,0.317,0.893,0.97,0.799,0.645,0.777,0.876,0.108,1.0
0.51,0.7,0.704,0.48,0.757,0.406,0.834,0.543,0.56,0.796,0.421,0.643,0.54,0.483,0.833,1.0
0.464,0.665,0.627,0.498,0.917,0.076,0.922,0.969,0.631,0.904,0.629,0.855,0.057,0.627,0.36,1.0
0.514,0.591,0.976,0.553,0.608,0.783,0.161,0.403,0.104,0.39,1.157,0.793,0.223,0.22,-0.065,1.0
0.625,0.718,0.734,0.457,0.545,0.709,0.705,0.892,0.475,0.126,0.603,0.406,0.712,0.238,0.249,1.0
0.605,0.566,0.792,0.48,0.647,0.114,0.219,0.398,0.225,0.722,1.35,0.811,0.866,0.385,0.413,1.0
0.564,0.625,0.605,0.588,0.654,0.426,0.484,0.076,0.283,0.53,1.103,0.837,0.54,0.564,0.902,1.0
0.661,0.515,0.765,0.621,0.683,0.79,0.176,-0.085,0.823,0.303,0.795,0.465,0.435,0.104,0.239,1.0
0.526,0.574,0.637,0.514,0.673,0.397,0.501,0.091,0.358,0.46,0.04,0.59,0.223,0.376,0.412,1.0
0.541,0.522,0.853,0.512,0.8,0.816,0.756,0.646,0.197,0.756,0.228,0.275,0.975,0.97,0.994,1.0
0.559,0.563,0.905,0.452,0.654,0.943,0.741,0.294,0.132,0.348,0.368,0.63,0.883,0.495,0.485,1.0
0.436,0.602,0.772,0.472,0.771,0.733,-0.001,1.036,0.187,0.795,0.926,0.356,0.995,0.395,0.831,1.0
0.704,0.543,0.735,0.516,0.661,0.029,0.882,0.148,0.524,0.865,0.973,0.931,0.087,0.893,0.741,1.0
0.624,0.602,0.788,0.49,0.641,0.194,0.017,0.748,0.613,0.58,0.296,-0.011,0.926,0.682,0.954,1.0
0.356,0.654,0.829,0.509,0.24,0.411,0.033,0.336,0.201,0.807,0.463,0.929,0.113,0.425,0.281,1.0
0.545,0.68,0.705,0.354,0.704,0.166,0.456,0.906,0.839,0.206,0.076,0.204,0.644,-0.013,0.589,1.0
0.387,0.575,0.691,0.474,0.557,0.487,0.186,0.41,0.105,0.751,0.494,0.058,0.011,0.638,0.135,1.0
0.494,0.524,0.726,0.267,0.593,0.441,0.292,0.31,0.788,0.697,0.672,0.068,0.882,0.346,0.534,1.0
0.721,0.492,0.822,0.559,0.806,0.203,0.526,0.441,0.481,0.568,0.153,0.183,0.124,0.42,0.691,1.0
0.42,0.8,0.782,0.531,0.54,0.626,0.618,0.805,0.748,0.195,0.301,0.264,0.587,0.29,0.7,1.0
0.502,0.703,0.769,0.457,0.729,0.861,0.002,0.52,0.448,0.665,0.749,0.638,0.73,0.891,0.079,1.0
0.494,0.623,0.719,0.482,0.599,0.711,0.682,0.285,0.216,0.35,0.099,0.845,0.158,0.259,0.473,1.0
0.436,0.644,0.895,0.486,0.629,0.207,0.895,0.542,0.625,0.426,0.383,0.787,0.122,0.392,0.612,1.0
0.57,0.619,0.775,0.519,0.693,-0.033,0.553,0.083,0.485,0.209,0.799,0.747,0.452,0.414,0.856,1.0
0.571,0.587,0.734,0.559,0.541,0.03,0.249,0.448,0.969,0.669,0.823,0.419,0.791,0.857,0.106,1.0
0.451,0.725,0.681,0.379,0.495,0.242,0.367,0.886,0.118,0.767,0.027,0.617,0.231,0.702,0.392,1.0
0.173,0.933,0.339,0.009,0.333,0.268,0.199,0.368,0.278,0.404,0.748,0.417,0.862,0.327,-0.09,2.0
0.026,0.356,0.644,0.826,0.323,0.148,0.246,0.385,0.283,0.357,0.491,-0.0,0.659,0.952,0.924,2.0
0.389,0.91,0.463,0.394,0.808,0.144,0.376,0.407,0.357,0.272,0.43,0.893,0.54,0.302,0.752,2.0
0.158,0.281,0.538,0.737,0.544,0.369,0.384,0.457,0.341,0.345,0.624,0.013,0.098,0.977,0.925,2.0
0.66,0.205,0.393,0.83,0.349,0.068,0.257,0.423,0.232,0.401,0.717,0.769,0.884,0.576,0.394,2.0
