@RELATION ItalyPowerDemand

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE target {1.0, 2.0}

@DATA
-1.356,-1.014,-1.033,-1.703,-1.532,-1.371,-1.166,0.043,0.983,1.171,0.956,0.963,0.607,0.208,-0.593,-0.219,-0.269,0.653,1.196,1.318,1.375,0.917,-0.024,-0.52,1.0
-0.992,-1.071,-1.662,-1.627,-1.617,-1.23,-1.057,-0.331,0.687,1.15,1.226,0.938,0.874,0.45,0.432,0.597,-0.031,-0.237,0.197,1.478,1.132,0.733,0.259,-0.206,1.0
0.589,0.598,-0.033,0.148,-0.337,-0.271,0.006,-1.342,-2.468,-0.864,0.567,-0.086,-0.16,-0.448,-0.519,0.252,-0.54,-0.671,-0.301,-0.437,0.298,2.386,2.366,1.566,2.0
-0.766,-1.805,-1.871,-1.465,-1.64,-1.421,-1.565,-0.17,-1.234,1.068,1.396,1.145,0.965,0.602,0.737,0.927,0.228,0.536,0.723,1.384,0.332,0.801,0.202,-0.774,2.0
-1.029,-1.346,-1.55,-1.776,-1.586,-1.802,-1.028,-0.209,0.585,1.033,0.953,0.378,0.657,0.126,0.415,1.096,0.569,1.239,1.296,1.073,0.503,0.466,-0.207,-0.749,1.0
0.045,-0.265,-0.898,-1.048,-1.139,-1.14,-1.334,-0.598,-0.38,-0.277,0.435,0.298,0.547,0.158,-0.19,-0.766,-0.409,0.026,-0.51,0.706,1.938,2.006,1.193,1.48,1.0
-0.057,-1.024,-0.841,-1.246,-1.014,-1.095,-1.775,-0.358,0.261,1.752,1.796,1.929,1.256,0.766,0.222,-0.028,-0.233,0.38,-0.113,-0.017,0.917,-0.174,0.423,0.173,2.0
-0.986,-1.374,-1.764,-1.714,-1.79,-1.48,-1.135,-0.391,0.6,1.199,1.123,0.688,0.641,0.357,0.408,1.232,0.778,0.795,1.352,1.012,0.212,0.312,-0.023,-0.147,1.0
-1.27,-1.346,-1.531,-1.666,-1.56,-1.513,-0.944,-0.319,-0.194,1.058,1.102,1.334,0.698,0.756,0.497,0.764,1.081,0.69,0.981,0.791,0.633,0.432,0.424,-0.233,1.0
-0.692,0.36,-1.306,-1.561,-1.283,-1.312,-1.83,-0.85,0.326,0.935,1.428,1.326,0.902,0.642,0.84,0.824,0.996,1.15,0.046,0.659,-0.149,0.679,0.001,-0.453,2.0
