@RELATION TwoLeadECG

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE att25 NUMERIC
@ATTRIBUTE att26 NUMERIC
@ATTRIBUTE att27 NUMERIC
@ATTRIBUTE att28 NUMERIC
@ATTRIBUTE att29 NUMERIC
@ATTRIBUTE att30 NUMERIC
@ATTRIBUTE att31 NUMERIC
@ATTRIBUTE att32 NUMERIC
@ATTRIBUTE att33 NUMERIC
@ATTRIBUTE att34 NUMERIC
@ATTRIBUTE att35 NUMERIC
@ATTRIBUTE att36 NUMERIC
@ATTRIBUTE att37 NUMERIC
@ATTRIBUTE att38 NUMERIC
@ATTRIBUTE att39 NUMERIC
@ATTRIBUTE att40 NUMERIC
@ATTRIBUTE att41 NUMERIC
@ATTRIBUTE att42 NUMERIC
@ATTRIBUTE att43 NUMERIC
@ATTRIBUTE att44 NUMERIC
@ATTRIBUTE att45 NUMERIC
@ATTRIBUTE att46 NUMERIC
@ATTRIBUTE att47 NUMERIC
@ATTRIBUTE att48 NUMERIC
@ATTRIBUTE att49 NUMERIC
@ATTRIBUTE att50 NUMERIC
@ATTRIBUTE att51 NUMERIC
@ATTRIBUTE att52 NUMERIC
@ATTRIBUTE att53 NUMERIC
@ATTRIBUTE att54 NUMERIC
@ATTRIBUTE att55 NUMERIC
@ATTRIBUTE att56 NUMERIC
@ATTRIBUTE att57 NUMERIC
@ATTRIBUTE att58 NUMERIC
@ATTRIBUTE att59 NUMERIC
@ATTRIBUTE att60 NUMERIC
@ATTRIBUTE att61 NUMERIC
@ATTRIBUTE att62 NUMERIC
@ATTRIBUTE att63 NUMERIC
@ATTRIBUTE att64 NUMERIC
@ATTRIBUTE att65 NUMERIC
@ATTRIBUTE att66 NUMERIC
@ATTRIBUTE att67 NUMERIC
@ATTRIBUTE att68 NUMERIC
@ATTRIBUTE att69 NUMERIC
@ATTRIBUTE att70 NUMERIC
@ATTRIBUTE att71 NUMERIC
@ATTRIBUTE att72 NUMERIC
@ATTRIBUTE att73 NUMERIC
@ATTRIBUTE att74 NUMERIC
@ATTRIBUTE att75 NUMERIC
@ATTRIBUTE att76 NUMERIC
@ATTRIBUTE att77 NUMERIC
@ATTRIBUTE att78 NUMERIC
@ATTRIBUTE att79 NUMERIC
@ATTRIBUTE att80 NUMERIC
@ATTRIBUTE att81 NUMERIC
@ATTRIBUTE att82 NUMERIC
@ATTRIBUTE target {2.0, 1.0}

@DATA
0.977,0.86,0.768,0.692,0.17,0.614,0.752,0.803,0.532,0.423,0.546,0.354,0.364,0.268,0.252,0.504,0.223,0.328,0.289,0.088,-0.258,0.142,0.26,-0.033,0.255,0.283,0.16,0.046,0.226,0.31,-0.637,-0.69,-1.92,-2.823,-3.033,-2.868,-2.955,-2.573,-1.702,-1.825,-2.072,-1.284,-1.223,-1.184,-0.413,-0.514,-0.484,-0.227,0.28,0.578,0.792,0.367,0.353,0.557,0.221,0.442,0.557,0.657,0.381,0.42,0.675,0.572,0.866,0.829,0.522,0.599,0.55,0.867,0.762,0.791,0.951,0.568,1.136,0.616,0.521,0.862,0.408,0.398,0.103,0.134,0.181,0.185,2.0
-0.293,-0.032,-0.118,-0.052,0.108,0.024,0.171,0.257,0.139,0.174,0.075,0.084,0.025,0.248,-0.082,-0.079,-0.13,-0.072,-0.362,-0.184,-0.369,-0.361,-0.265,-0.246,-0.481,-0.276,-0.147,-0.436,-0.018,1.024,-0.744,-0.465,-0.921,-3.215,-4.091,-2.789,-2.252,-2.256,-1.384,-1.887,-1.703,-1.565,-1.381,-1.122,-1.089,-0.935,-0.193,0.028,0.327,0.449,0.663,0.75,0.722,0.793,0.812,0.867,0.852,0.994,1.055,0.974,0.945,0.794,1.252,1.395,1.355,1.375,1.365,1.235,1.541,1.172,1.06,1.024,0.887,0.741,0.615,0.245,0.635,0.375,0.228,0.065,0.129,0.002,1.0
-0.58,-0.625,-0.485,-0.336,-0.39,-0.105,-0.365,-0.046,-0.208,-0.105,-0.239,-0.473,-0.132,-0.409,-0.284,-0.363,-0.303,-0.312,-0.478,-0.281,-0.101,-0.389,-0.309,-0.307,-0.201,-0.275,-0.387,-0.371,-0.347,-0.635,-0.245,-0.404,-2.603,-2.584,-3.039,-2.089,-2.193,-1.777,-1.737,-1.695,-1.424,-0.888,-0.712,-0.659,-0.07,-0.015,0.117,0.105,0.689,0.306,0.961,0.765,0.809,0.699,0.93,1.156,0.963,1.097,1.277,1.219,1.359,1.342,1.097,1.322,1.52,1.444,1.51,1.378,1.268,2.01,1.153,0.904,0.891,0.683,0.53,0.597,0.633,0.927,0.406,0.288,0.53,0.334,2.0
-0.386,-0.215,-0.291,-0.146,0.441,-0.1,-0.056,-0.079,0.385,0.185,0.074,0.088,-0.141,-0.099,-0.392,-0.485,-0.332,-0.54,-0.344,-0.47,-0.432,-0.327,-0.636,-0.432,-0.549,-0.328,-0.464,-0.339,-0.024,0.1,-0.802,-1.59,-2.143,-2.933,-2.104,-2.404,-1.885,-1.848,-1.889,-1.644,-1.553,-1.384,-1.372,0.133,-0.279,0.851,-0.047,0.867,0.388,0.583,0.719,0.791,0.835,0.866,0.726,0.594,1.055,0.999,1.176,1.206,1.616,1.274,1.298,1.393,1.499,1.429,1.248,1.335,1.147,1.404,1.0,0.96,0.827,0.696,0.616,0.605,0.306,0.556,0.634,0.349,0.174,0.349,1.0
0.437,0.02,-0.022,0.138,-0.026,0.027,0.348,0.1,0.268,0.243,0.252,0.276,0.3,0.155,-0.068,0.075,-0.141,0.001,-0.047,-0.083,-0.066,-0.105,-0.115,-0.239,-0.304,-0.221,-0.304,-0.289,-0.319,-0.36,-0.328,-0.06,0.396,-0.312,-1.006,-1.973,-2.544,-2.577,-2.956,-2.3,-1.982,-1.846,-2.036,-1.727,-1.666,-1.386,-1.125,-1.501,-0.724,-0.294,0.085,0.33,0.478,0.55,0.531,0.619,0.584,0.713,0.903,0.806,0.879,0.921,0.786,1.005,0.615,1.094,1.183,1.233,1.183,1.298,1.348,1.061,1.274,1.213,1.077,1.027,0.838,0.46,0.58,0.325,0.472,0.639,1.0
-0.406,-0.233,-0.499,-0.484,-0.03,-0.337,-0.779,0.35,-0.175,-0.112,-0.009,0.16,-0.01,0.02,-0.051,-0.234,-0.078,-0.15,-0.387,-0.261,-0.273,-0.396,-0.41,-0.464,-0.49,-0.417,-0.428,-0.459,-0.418,-0.343,0.245,-0.099,-0.301,0.175,-0.522,-1.877,-2.467,-2.575,-2.444,-1.35,-2.021,-1.602,-1.464,-1.222,-1.157,-0.968,-0.602,0.364,-0.168,0.026,0.156,0.308,0.912,0.666,0.845,0.764,0.964,0.857,0.921,0.753,1.154,1.344,1.306,1.237,1.376,1.512,1.454,1.566,1.57,1.607,1.603,1.282,1.258,1.111,1.002,0.846,0.754,0.68,0.489,0.419,0.355,0.341,1.0
0.272,0.02,0.16,0.175,0.424,0.357,0.524,0.457,0.342,0.224,0.252,0.334,0.177,0.153,0.08,0.03,0.068,0.044,-0.073,0.053,-0.031,-0.022,-0.043,0.041,-0.036,-0.054,-0.218,0.045,-0.137,-1.007,-2.627,-3.19,-3.034,-2.959,-2.924,-2.126,-2.658,-1.802,-1.606,-1.248,-1.296,-0.369,-0.303,-0.14,0.008,0.169,1.164,0.579,0.526,0.724,0.766,0.916,0.849,0.615,0.873,0.853,1.002,0.927,1.418,1.09,1.17,1.214,1.079,1.263,1.325,1.029,1.044,0.787,0.723,0.563,0.467,0.357,-0.298,0.116,0.101,0.095,-0.091,-0.642,-0.216,-0.257,-0.262,-0.354,2.0
-0.508,-0.554,-0.683,-0.436,-0.406,-0.297,-0.168,-0.189,-0.206,-0.265,-0.405,-0.302,-0.459,-0.074,-0.262,-0.336,-0.106,-0.13,-0.256,-0.343,-0.29,-0.326,-0.272,-0.3,-0.185,-0.089,-0.334,-0.161,-0.216,-0.28,1.369,-0.21,-2.572,-2.233,-2.65,-1.508,-2.531,-2.092,-1.754,-1.621,-1.186,-1.231,-1.079,-1.084,-0.58,0.819,0.1,0.146,0.406,0.595,0.531,0.907,0.801,0.813,0.724,0.904,0.936,0.82,0.991,0.987,1.034,1.189,1.088,1.121,1.225,1.195,1.326,1.459,1.309,1.316,1.559,1.155,1.279,1.03,0.974,0.864,0.654,0.708,0.524,0.586,0.525,0.6,2.0
0.069,-0.016,0.202,0.238,0.21,0.435,0.383,0.474,0.349,-0.086,0.211,0.177,0.329,0.001,0.111,0.002,0.133,-0.09,-0.118,-0.006,-0.155,-0.241,-0.179,-0.1,-0.213,-0.413,-0.189,0.004,0.288,-0.279,-2.308,-2.261,-2.777,-2.878,-2.348,-2.621,-1.877,-2.018,-1.881,-1.536,-1.351,-1.041,-0.478,-0.414,-0.191,0.574,0.2,0.501,0.865,0.416,0.377,0.613,0.628,0.805,0.58,0.75,0.542,0.872,0.988,0.881,0.948,1.057,1.139,1.176,1.176,1.186,1.216,1.117,1.157,1.01,0.807,0.97,0.83,0.649,0.54,-0.016,0.285,0.222,0.214,0.014,-0.071,0.011,1.0
0.975,0.095,-0.085,0.367,0.036,-0.054,-0.127,0.024,0.144,0.113,0.135,0.313,0.189,0.04,-0.086,0.088,0.002,0.26,-0.169,-0.098,-0.124,-0.006,-0.336,-0.221,-0.274,-0.395,-0.313,-0.302,-0.593,-0.193,-0.404,-0.51,-0.987,0.224,-0.345,-1.351,-2.249,-2.365,-2.321,-2.489,-2.379,-2.157,-1.859,-1.821,-1.261,-1.382,-1.39,-1.167,-0.826,-0.55,-0.228,-0.408,0.306,0.648,0.645,0.722,0.774,0.71,0.829,0.829,0.879,0.927,0.963,0.944,1.126,1.229,1.206,1.305,1.56,1.343,1.49,1.212,0.705,1.504,0.843,1.025,0.895,0.702,0.618,-0.144,0.344,0.239,1.0
