@RELATION ECG200

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE att25 NUMERIC
@ATTRIBUTE att26 NUMERIC
@ATTRIBUTE att27 NUMERIC
@ATTRIBUTE att28 NUMERIC
@ATTRIBUTE att29 NUMERIC
@ATTRIBUTE att30 NUMERIC
@ATTRIBUTE att31 NUMERIC
@ATTRIBUTE att32 NUMERIC
@ATTRIBUTE att33 NUMERIC
@ATTRIBUTE att34 NUMERIC
@ATTRIBUTE att35 NUMERIC
@ATTRIBUTE att36 NUMERIC
@ATTRIBUTE att37 NUMERIC
@ATTRIBUTE att38 NUMERIC
@ATTRIBUTE att39 NUMERIC
@ATTRIBUTE att40 NUMERIC
@ATTRIBUTE att41 NUMERIC
@ATTRIBUTE att42 NUMERIC
@ATTRIBUTE att43 NUMERIC
@ATTRIBUTE att44 NUMERIC
@ATTRIBUTE att45 NUMERIC
@ATTRIBUTE att46 NUMERIC
@ATTRIBUTE att47 NUMERIC
@ATTRIBUTE att48 NUMERIC
@ATTRIBUTE att49 NUMERIC
@ATTRIBUTE att50 NUMERIC
@ATTRIBUTE att51 NUMERIC
@ATTRIBUTE att52 NUMERIC
@ATTRIBUTE att53 NUMERIC
@ATTRIBUTE att54 NUMERIC
@ATTRIBUTE att55 NUMERIC
@ATTRIBUTE att56 NUMERIC
@ATTRIBUTE att57 NUMERIC
@ATTRIBUTE att58 NUMERIC
@ATTRIBUTE att59 NUMERIC
@ATTRIBUTE att60 NUMERIC
@ATTRIBUTE att61 NUMERIC
@ATTRIBUTE att62 NUMERIC
@ATTRIBUTE att63 NUMERIC
@ATTRIBUTE att64 NUMERIC
@ATTRIBUTE att65 NUMERIC
@ATTRIBUTE att66 NUMERIC
@ATTRIBUTE att67 NUMERIC
@ATTRIBUTE att68 NUMERIC
@ATTRIBUTE att69 NUMERIC
@ATTRIBUTE att70 NUMERIC
@ATTRIBUTE att71 NUMERIC
@ATTRIBUTE att72 NUMERIC
@ATTRIBUTE att73 NUMERIC
@ATTRIBUTE att74 NUMERIC
@ATTRIBUTE att75 NUMERIC
@ATTRIBUTE att76 NUMERIC
@ATTRIBUTE att77 NUMERIC
@ATTRIBUTE att78 NUMERIC
@ATTRIBUTE att79 NUMERIC
@ATTRIBUTE att80 NUMERIC
@ATTRIBUTE att81 NUMERIC
@ATTRIBUTE att82 NUMERIC
@ATTRIBUTE att83 NUMERIC
@ATTRIBUTE att84 NUMERIC
@ATTRIBUTE att85 NUMERIC
@ATTRIBUTE att86 NUMERIC
@ATTRIBUTE att87 NUMERIC
@ATTRIBUTE att88 NUMERIC
@ATTRIBUTE att89 NUMERIC
@ATTRIBUTE att90 NUMERIC
@ATTRIBUTE att91 NUMERIC
@ATTRIBUTE att92 NUMERIC
@ATTRIBUTE att93 NUMERIC
@ATTRIBUTE att94 NUMERIC
@ATTRIBUTE att95 NUMERIC
@ATTRIBUTE att96 NUMERIC
@ATTRIBUTE target {-1.0, 1.0}

@DATA
-0.125,0.632,0.771,2.366,1.746,0.132,0.352,1.655,0.919,0.293,0.026,-1.071,-0.225,0.123,-0.522,-0.708,-0.239,-0.494,-0.346,-0.569,-0.149,-1.097,-1.296,-1.051,-1.15,-0.85,-1.185,-0.824,-1.206,-1.132,-2.112,-1.653,-1.374,-1.576,-2.209,-1.701,-0.243,-1.841,-3.326,-1.275,-1.552,-1.407,-2.324,0.652,-1.224,-1.204,-0.64,-1.805,-0.434,-0.662,-0.017,0.388,-0.349,0.243,0.128,0.464,0.675,0.493,0.605,0.789,0.571,0.616,0.871,0.679,0.738,0.618,0.834,0.565,1.351,0.377,0.691,0.546,0.615,0.114,0.705,0.032,0.706,0.792,0.679,0.958,0.671,0.839,0.94,0.864,0.866,1.023,0.741,0.773,0.643,0.154,-0.145,0.803,0.485,0.908,0.74,0.424,-1.0
0.249,0.85,0.469,0.4,0.498,-0.144,0.531,-0.372,-1.552,-1.16,-0.788,-0.3,-0.688,-0.774,-1.478,-1.869,-0.677,-1.605,-1.898,-1.021,-1.793,-1.706,-0.805,-1.733,-1.04,-2.262,-2.304,0.184,-1.822,-0.708,-0.541,-0.455,0.099,0.229,0.476,0.723,0.161,1.733,0.369,1.33,1.466,-0.485,0.196,1.141,1.472,0.881,0.817,1.213,1.67,1.005,0.498,0.958,0.407,1.104,0.853,-0.085,0.23,0.071,0.511,0.573,0.618,0.446,0.39,0.137,0.611,0.865,0.644,0.727,0.857,0.546,-0.448,0.033,-0.311,-1.021,-0.493,-0.961,0.126,0.007,-1.059,-0.748,0.439,-0.487,-0.49,-0.625,-0.623,-0.645,-0.524,-0.312,0.191,0.7,2.432,2.822,1.662,-0.033,-1.82,-0.125,1.0
-0.058,-0.293,0.263,-0.238,1.424,2.344,1.963,1.704,1.348,0.153,-0.059,1.518,-0.697,-0.381,0.601,-0.088,-0.361,-0.364,-0.296,-0.318,-1.317,-0.735,-0.873,-1.354,-0.915,-1.178,-1.61,-1.471,-0.785,-1.784,-2.047,-1.641,-1.595,-1.741,-1.738,-2.027,-2.225,-1.936,-1.544,-2.089,-1.87,-1.697,-1.256,-1.845,-0.721,-1.259,0.304,0.153,-0.267,0.122,0.143,-0.76,0.238,0.496,0.187,0.484,0.851,0.526,0.643,0.789,0.641,1.126,0.821,0.807,0.68,1.012,0.726,0.931,0.812,0.486,0.584,0.901,0.737,0.441,0.576,0.826,0.8,0.783,0.572,0.326,0.513,0.526,0.415,0.555,0.39,0.084,0.741,0.185,0.403,0.836,0.667,0.14,0.815,0.757,0.809,0.563,-1.0
1.462,2.166,1.735,1.516,1.684,1.677,0.476,0.403,0.475,0.083,0.437,0.427,0.942,0.326,0.594,-0.644,-0.011,-0.514,-0.233,-0.437,-0.223,-0.447,-0.663,-0.325,-0.033,-0.487,-0.79,-0.506,-0.951,-1.26,-2.011,-1.653,-1.407,-1.711,-1.952,-0.974,-1.006,-0.688,-1.99,-0.751,-1.739,-2.333,-1.959,0.231,-0.288,-1.542,0.585,-0.492,0.509,0.162,-1.156,-1.58,-0.23,0.172,0.261,0.266,0.415,0.464,0.43,0.441,0.51,0.311,0.479,0.481,0.32,0.309,0.086,0.289,0.348,0.249,0.295,0.099,0.337,-0.052,0.608,0.321,0.286,0.391,0.475,0.708,-0.083,0.272,0.142,0.295,0.469,0.115,0.617,0.7,0.453,1.985,3.164,1.505,0.979,1.228,1.287,0.69,-1.0
0.853,0.694,2.681,3.706,1.642,0.661,2.221,0.715,0.7,0.589,0.7,0.423,0.034,-1.125,-0.73,-2.088,-0.932,-1.054,-1.246,-1.331,-1.312,-1.282,-0.77,-1.637,-1.396,-1.321,-1.82,-1.87,-2.203,-1.886,-0.667,-2.554,-1.949,-1.681,-1.793,-0.471,-0.939,0.222,-0.091,0.541,2.852,0.629,1.345,1.386,1.029,1.497,0.68,1.543,0.434,0.723,0.843,0.508,0.664,0.141,0.325,0.454,0.462,0.711,0.21,0.507,0.471,0.328,0.184,0.288,0.279,0.762,0.281,-0.11,0.13,0.125,0.062,0.405,0.646,0.532,0.505,0.637,0.596,0.667,0.08,0.041,-0.027,-0.105,-0.019,0.486,0.166,0.232,-0.214,-0.138,-0.453,0.017,-0.235,-0.208,0.34,-0.507,0.553,0.715,1.0
0.203,0.852,2.205,1.175,4.114,0.753,-2.104,-1.036,0.908,0.055,-0.486,0.778,-0.042,-1.017,-1.574,-1.477,-1.117,-1.14,-1.784,-1.321,-1.885,-1.833,-1.15,-1.539,-1.879,-1.637,-1.232,-1.949,-2.42,-2.295,-0.373,-1.695,-1.825,-1.303,-1.53,-1.197,-0.735,-0.543,-0.19,0.61,0.582,0.426,0.772,1.96,1.934,0.052,0.927,1.035,0.477,0.064,0.796,1.393,0.573,0.432,0.451,0.518,1.116,-0.023,1.102,0.853,0.171,0.875,0.644,1.023,0.08,0.843,0.416,0.71,1.002,0.125,0.518,0.256,0.974,0.948,0.95,1.306,1.323,0.613,0.215,0.751,0.497,0.614,0.342,0.583,0.314,1.09,0.377,0.31,-0.333,0.216,0.542,0.863,0.299,0.251,0.4,0.394,1.0
0.939,2.159,2.385,0.76,2.702,2.927,2.558,0.695,0.367,-0.011,0.633,-0.072,-0.49,0.621,-0.105,0.079,-0.058,0.458,-0.73,-1.337,-0.352,-0.715,-1.033,-0.664,-1.203,-0.412,-0.114,-0.983,-0.777,-0.618,-0.525,-1.263,-2.054,-1.982,-1.922,-2.375,-0.807,-1.918,-1.294,-0.39,-2.633,-2.103,-0.814,-1.5,-1.092,-1.679,-1.488,-0.924,-0.683,-0.854,-0.325,-0.125,-0.114,-0.128,0.267,0.394,0.283,0.367,0.388,0.436,0.532,0.742,0.802,0.48,0.599,0.738,0.498,0.725,0.426,0.247,0.871,0.69,0.751,0.67,1.01,0.094,0.635,0.493,0.659,0.428,0.602,0.802,0.865,1.792,0.929,-0.287,0.394,0.384,-0.089,0.168,0.298,0.656,1.545,0.205,0.148,0.225,-1.0
0.785,0.796,2.946,2.104,2.835,2.421,1.604,1.069,0.527,-0.54,-0.047,0.367,0.021,-0.162,-0.091,-0.01,-0.431,-0.674,-0.471,-0.675,-0.787,-0.705,-0.836,-1.205,-1.132,-0.733,-1.542,-2.349,-1.86,-1.026,-1.995,-3.088,-2.651,-2.165,-1.753,-1.744,-1.794,-0.074,-0.419,-2.446,-0.96,-0.798,-0.444,1.343,0.642,-0.174,0.197,0.438,0.473,0.617,0.299,0.403,0.9,0.539,0.496,0.558,0.642,0.105,0.26,0.506,-0.017,0.579,0.435,0.54,0.583,0.532,1.653,0.595,0.632,1.197,1.094,0.861,0.615,0.386,0.557,0.545,0.813,0.664,0.749,0.454,0.42,0.415,0.221,-0.073,0.634,0.304,0.408,0.493,-0.49,0.413,-1.109,1.076,-0.341,-1.376,0.438,0.067,-1.0
-0.55,1.428,2.55,1.781,1.044,-0.234,-2.283,-0.522,0.105,-0.142,-0.059,0.115,-0.394,-0.874,-0.999,-0.554,-1.7,-0.412,-1.348,-1.185,-1.396,-1.916,-0.763,-1.935,-1.753,-1.496,-1.87,-2.069,-1.835,-1.315,-2.087,-1.624,-2.544,-1.018,-1.904,-1.084,-0.487,-0.118,0.79,-0.054,0.551,-0.191,1.828,1.162,1.0,0.267,2.781,0.966,-0.037,1.054,0.747,0.809,0.599,0.13,0.703,0.754,0.561,0.811,0.663,0.606,0.637,0.827,0.533,0.815,0.77,0.417,0.641,0.164,0.384,0.487,0.641,0.528,0.267,0.924,0.821,1.059,0.71,0.346,0.26,0.522,0.043,0.327,0.596,-0.226,0.325,0.468,-0.052,0.09,-0.365,0.066,-0.557,0.105,0.072,-0.129,0.959,0.112,1.0
1.477,2.954,2.68,2.276,0.001,0.786,-0.505,3.818,2.043,2.406,0.161,0.444,-0.439,-0.875,-0.751,-0.967,-0.78,-0.815,-1.131,-1.261,-1.514,-1.637,-1.483,-1.107,-1.609,-1.335,-1.905,-2.011,-2.491,-1.803,-2.639,-1.252,-2.422,-0.112,-0.958,0.444,-0.68,-0.426,0.521,0.087,0.673,2.05,0.577,1.123,0.806,1.252,-0.752,0.92,0.643,0.57,0.161,0.469,0.674,0.667,0.709,0.633,0.544,0.354,0.806,0.261,0.606,0.398,0.296,0.268,0.172,0.269,0.371,0.096,0.144,0.096,0.288,-0.072,-0.136,0.362,0.483,0.347,0.3,0.714,0.018,0.863,0.137,-0.115,-0.194,-0.168,-0.14,0.321,-0.154,-0.165,0.014,0.533,-0.211,-0.443,-0.569,-0.333,-0.006,0.288,1.0
