@RELATION ItalyPowerDemand

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC

@DATA
0.424,0.302,0.33,0.179,0.114,0.001,0.244,0.058,0.064,0.129,0.197,0.022,0.17,0.278,0.281,0.38,0.117,0.178,0.226,0.192,0.379,0.792,0.309,0.567
0.033,0.353,0.071,0.058,0.08,0.227,0.16,0.325,0.213,0.123,0.448,0.455,0.187,0.059,0.063,0.066,0.709,0.443,0.373,0.355,0.226,0.821,0.929,0.284
0.398,0.098,0.416,0.617,0.189,0.051,0.343,0.679,0.721,0.338,0.706,0.004,0.16,0.131,0.124,0.881,0.355,0.118,1.127,0.039,0.683,0.179,0.34,0.153
0.082,0.535,0.508,0.066,0.246,0.01,0.075,0.557,1.192,0.01,0.057,0.16,0.4,0.11,0.028,0.105,0.292,0.531,0.153,0.967,0.803,0.682,0.446,0.53
0.199,0.115,0.04,0.154,0.07,0.182,0.035,0.606,0.346,0.046,0.43,0.389,0.001,0.321,0.401,0.496,0.237,0.451,0.123,0.001,0.062,0.116,0.184,0.396
0.401,0.085,0.324,0.136,0.002,0.238,0.107,0.204,0.535,0.091,0.565,0.397,0.123,0.057,0.242,0.605,0.226,0.927,0.029,0.867,1.151,0.626,0.746,0.701
0.335,0.515,0.167,0.19,0.276,0.247,0.107,0.626,0.079,0.559,0.029,0.173,0.283,0.081,0.207,0.392,0.701,0.272,0.555,0.331,1.184,0.47,0.43,0.38
0.261,0.003,0.207,0.184,0.474,0.051,0.037,0.442,0.049,0.342,0.146,0.686,0.276,0.151,0.355,0.533,0.166,0.44,0.183,0.111,0.268,0.027,0.262,0.402
0.458,0.242,0.141,0.117,0.017,0.16,0.315,0.706,0.649,0.014,0.092,0.191,0.037,0.125,0.313,0.162,0.311,0.084,0.129,0.792,0.339,0.193,0.749,0.294
0.698,1.079,0.006,0.39,0.427,0.02,0.241,0.052,0.102,0.567,0.789,0.069,0.097,0.216,0.046,0.213,0.033,0.457,0.468,0.281,0.098,1.161,0.251,1.228
0.208,0.73,0.006,0.363,0.174,0.147,0.168,0.341,0.725,0.385,0.422,0.254,0.152,0.132,0.428,0.59,0.605,0.183,0.0,0.144,0.444,0.484,0.066,0.425
0.08,0.762,0.093,0.021,0.535,0.369,0.216,0.015,0.287,0.062,0.666,0.001,0.198,0.026,0.193,0.22,0.078,0.228,0.716,0.757,0.05,0.755,0.316,0.116
1.061,0.067,0.324,0.046,0.368,0.294,0.011,0.14,0.655,1.394,0.61,0.056,0.224,0.601,0.215,0.355,0.112,0.325,0.004,0.443,0.904,0.31,0.541,0.148
0.47,0.617,0.001,0.064,0.143,0.105,0.009,0.589,0.316,0.187,0.049,0.219,0.16,0.351,0.398,0.108,0.242,0.155,0.144,1.052,0.625,0.27,0.328,0.547
0.123,0.307,0.289,0.165,0.053,0.127,0.046,0.234,0.025,0.805,0.141,0.24,0.086,0.336,0.461,0.438,0.403,0.443,0.473,0.464,0.26,0.451,0.258,0.733
1.247,0.037,0.105,0.279,0.079,0.046,0.279,0.861,0.24,0.638,0.06,0.102,0.314,0.422,0.086,0.011,0.031,0.199,0.143,0.211,0.717,0.34,0.642,0.485
0.695,0.088,0.005,0.098,0.072,0.08,0.016,0.628,0.535,0.049,0.192,0.176,0.41,0.207,0.305,0.186,0.473,0.48,0.151,0.395,0.132,0.153,0.465,0.221
