@RELATION SonyAIBORobotSurface1

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC
@ATTRIBUTE att61_err NUMERIC
@ATTRIBUTE att62_err NUMERIC
@ATTRIBUTE att63_err NUMERIC
@ATTRIBUTE att64_err NUMERIC
@ATTRIBUTE att65_err NUMERIC
@ATTRIBUTE att66_err NUMERIC
@ATTRIBUTE att67_err NUMERIC
@ATTRIBUTE att68_err NUMERIC
@ATTRIBUTE att69_err NUMERIC
@ATTRIBUTE att70_err NUMERIC

@DATA
0.116,0.542,1.325,0.014,0.407,0.231,0.588,0.267,0.129,0.131,0.452,0.011,0.812,0.077,0.263,0.334,1.397,0.226,0.275,0.139,0.153,0.365,0.088,0.423,0.017,0.285,0.462,0.967,0.509,0.287,0.182,0.023,0.223,0.317,0.353,0.159,0.402,0.292,0.043,0.629,0.685,0.568,0.745,0.059,1.308,0.741,0.335,1.081,0.491,0.466,0.733,0.762,0.213,0.196,0.54,0.435,0.247,0.151,0.104,0.236,0.339,0.05,0.018,0.063,0.611,0.193,0.323,0.203,0.482,0.184
1.053,0.965,0.537,0.184,1.175,0.605,0.013,0.857,0.146,0.34,0.451,0.353,0.128,0.233,0.207,0.267,0.771,0.145,0.08,0.306,0.063,0.746,0.113,0.958,0.288,0.301,0.021,0.66,0.144,0.225,0.112,0.268,0.015,0.518,0.259,0.478,0.136,0.117,0.7,0.468,0.783,0.433,0.289,0.965,0.025,0.008,0.146,0.306,0.116,1.126,0.192,0.289,0.271,0.061,1.472,0.673,1.134,0.45,0.162,0.188,0.296,0.282,0.014,0.024,0.052,0.133,0.404,0.4,0.025,0.053
0.243,0.081,0.271,1.083,0.162,0.71,0.636,0.572,0.056,0.217,0.313,0.477,0.119,0.174,0.141,0.465,0.14,0.175,0.42,0.278,0.06,0.068,0.128,0.067,0.062,0.504,0.595,0.091,0.115,0.491,0.051,0.428,0.375,0.46,0.025,0.171,0.47,0.125,0.595,0.446,0.063,1.968,0.694,0.911,0.071,0.225,0.102,0.658,0.184,0.537,1.197,0.395,0.336,0.019,0.358,0.734,0.966,0.551,0.287,0.329,0.459,0.15,0.097,0.248,0.302,0.064,0.286,0.602,0.04,0.334
0.827,0.103,0.356,0.381,0.139,1.17,0.273,0.981,0.732,0.566,0.788,0.323,0.511,0.935,0.482,0.465,0.529,0.235,0.3,0.291,0.673,0.497,0.423,0.225,0.007,0.085,0.135,0.194,0.452,0.637,0.053,0.136,0.763,0.556,0.111,0.14,0.559,0.112,0.314,0.338,0.984,1.275,0.006,0.627,0.292,0.762,0.581,0.094,0.761,0.718,0.54,0.383,0.218,0.157,0.126,0.921,0.563,1.342,0.042,0.116,0.387,0.179,0.86,0.217,0.442,0.252,0.492,0.442,0.145,0.637
0.18,0.91,1.116,0.192,0.411,1.188,0.329,0.085,0.556,0.636,0.355,0.472,1.148,0.579,0.262,0.657,0.063,0.407,0.863,0.182,0.033,0.113,0.392,0.168,0.324,0.111,0.393,0.518,0.513,0.32,0.144,0.099,0.305,0.144,0.229,0.429,0.389,0.779,0.337,0.35,1.115,0.246,0.979,0.041,0.026,0.134,0.438,1.035,0.664,0.378,0.78,0.411,0.491,0.379,0.498,1.324,0.292,0.176,0.308,0.077,0.07,0.622,0.002,0.014,0.239,0.077,0.047,0.354,0.845,0.415
0.44,0.286,0.071,0.33,0.242,0.204,0.221,0.115,0.891,0.694,1.245,0.093,0.145,0.288,0.164,0.086,0.237,0.223,1.002,0.307,0.589,0.466,0.192,0.062,0.401,0.525,0.373,0.499,0.236,0.547,0.093,0.254,0.002,0.073,0.294,0.157,0.243,0.381,0.137,0.492,0.028,1.962,0.916,0.663,1.051,0.498,0.044,0.344,0.024,0.449,0.289,0.539,0.143,0.039,0.185,0.025,0.024,0.779,0.346,0.501,0.217,0.033,0.269,0.475,0.307,0.092,0.171,0.29,0.126,0.03
0.634,0.718,0.413,0.826,0.242,0.601,0.284,0.195,0.061,0.159,1.213,0.939,0.912,0.097,0.337,0.174,0.016,0.862,0.377,0.163,0.36,0.441,0.349,0.357,0.215,0.105,0.069,0.508,0.477,0.35,0.578,0.196,0.117,0.324,0.21,0.775,0.434,0.421,0.476,0.256,0.14,1.129,0.083,0.208,0.97,0.278,0.695,0.771,0.298,0.861,1.131,0.29,0.039,0.012,0.146,0.502,0.082,0.728,0.211,0.458,0.474,0.185,0.057,0.127,0.172,0.171,0.3,0.367,0.411,0.449
0.224,0.422,0.076,0.247,1.682,0.09,0.154,0.269,0.39,0.431,0.252,1.406,0.041,0.164,0.072,0.089,0.287,0.333,0.706,0.472,0.067,0.182,0.014,0.932,0.145,0.438,0.532,0.025,0.049,0.079,0.002,0.606,0.243,0.019,0.323,0.743,0.078,0.744,0.463,0.08,0.315,0.779,1.231,0.124,1.421,0.051,0.853,0.395,0.659,0.048,0.652,0.51,0.593,0.485,0.123,0.83,1.647,0.749,0.826,0.133,0.037,0.206,0.196,0.258,0.113,0.054,0.544,0.11,0.032,0.659
0.684,0.03,0.444,0.106,0.592,0.388,0.507,0.763,0.086,0.222,0.315,0.01,1.166,0.533,0.247,0.445,0.046,0.017,0.634,0.305,0.087,0.128,0.591,0.049,0.223,0.155,0.214,0.093,0.043,0.288,0.304,0.723,0.163,0.067,0.374,0.216,0.138,0.376,0.675,0.445,0.404,0.02,0.396,0.845,0.18,0.238,0.519,0.389,0.089,0.679,0.007,0.462,1.187,0.509,0.555,0.114,0.56,1.117,0.024,0.239,0.341,0.656,0.237,0.019,0.155,0.15,0.255,0.031,0.551,0.325
0.23,1.493,0.572,0.448,0.092,0.706,0.341,0.1,0.288,1.19,0.084,0.344,0.79,1.254,0.359,0.077,0.749,0.296,0.31,0.055,0.328,0.337,0.665,0.56,0.306,0.239,0.497,0.231,0.128,0.365,0.283,0.069,0.163,0.306,0.757,0.06,0.527,1.173,0.963,0.437,0.667,1.636,0.871,0.257,1.538,1.336,0.985,0.138,0.04,0.741,0.839,0.206,0.07,0.241,0.179,0.638,0.623,0.128,0.073,0.35,0.606,0.368,0.077,0.26,0.253,0.255,0.107,0.385,0.161,0.933
