@RELATION SonyAIBORobotSurface2

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE att25 NUMERIC
@ATTRIBUTE att26 NUMERIC
@ATTRIBUTE att27 NUMERIC
@ATTRIBUTE att28 NUMERIC
@ATTRIBUTE att29 NUMERIC
@ATTRIBUTE att30 NUMERIC
@ATTRIBUTE att31 NUMERIC
@ATTRIBUTE att32 NUMERIC
@ATTRIBUTE att33 NUMERIC
@ATTRIBUTE att34 NUMERIC
@ATTRIBUTE att35 NUMERIC
@ATTRIBUTE att36 NUMERIC
@ATTRIBUTE att37 NUMERIC
@ATTRIBUTE att38 NUMERIC
@ATTRIBUTE att39 NUMERIC
@ATTRIBUTE att40 NUMERIC
@ATTRIBUTE att41 NUMERIC
@ATTRIBUTE att42 NUMERIC
@ATTRIBUTE att43 NUMERIC
@ATTRIBUTE att44 NUMERIC
@ATTRIBUTE att45 NUMERIC
@ATTRIBUTE att46 NUMERIC
@ATTRIBUTE att47 NUMERIC
@ATTRIBUTE att48 NUMERIC
@ATTRIBUTE att49 NUMERIC
@ATTRIBUTE att50 NUMERIC
@ATTRIBUTE att51 NUMERIC
@ATTRIBUTE att52 NUMERIC
@ATTRIBUTE att53 NUMERIC
@ATTRIBUTE att54 NUMERIC
@ATTRIBUTE att55 NUMERIC
@ATTRIBUTE att56 NUMERIC
@ATTRIBUTE att57 NUMERIC
@ATTRIBUTE att58 NUMERIC
@ATTRIBUTE att59 NUMERIC
@ATTRIBUTE att60 NUMERIC
@ATTRIBUTE att61 NUMERIC
@ATTRIBUTE att62 NUMERIC
@ATTRIBUTE att63 NUMERIC
@ATTRIBUTE att64 NUMERIC
@ATTRIBUTE att65 NUMERIC
@ATTRIBUTE target {2.0, 1.0}

@DATA
-0.889,-1.56,-0.312,0.752,2.384,0.918,-0.498,-2.194,-0.526,1.01,-5.212,6.081,1.443,-1.111,-1.85,-1.603,-1.327,-0.594,-1.242,-0.344,-0.787,-1.033,1.202,0.125,-0.199,1.489,0.602,0.231,0.251,0.273,-0.064,-0.262,-0.496,-0.33,-0.012,0.333,-0.002,0.285,-0.285,0.033,1.108,1.042,-0.656,-0.984,-0.648,-1.064,-0.78,0.463,0.908,2.17,2.677,0.28,-2.365,-0.778,-2.163,-1.554,-1.102,-0.258,-0.212,-2.429,0.194,-0.635,0.506,-0.071,-0.344,2.0
-0.687,0.147,0.985,0.967,3.447,0.477,0.521,-0.289,0.954,-1.402,-1.53,-0.305,1.789,-1.001,-3.303,-2.446,0.109,1.347,2.291,1.741,0.989,0.127,0.046,-0.834,-0.43,-0.349,0.022,-1.004,-0.303,-0.439,-0.594,-0.799,-0.657,-0.667,0.093,0.718,0.28,0.698,0.378,0.246,0.824,-0.363,-0.331,-0.761,-0.074,0.762,0.338,-0.941,-0.721,0.565,1.335,1.768,1.306,-2.043,-2.081,0.645,1.725,-0.321,-2.378,3.591,-3.358,-0.882,0.561,0.216,0.408,1.0
0.042,-0.847,-0.277,-0.771,0.408,2.574,1.424,1.766,0.073,-1.043,1.289,0.249,0.518,2.506,0.153,-1.753,-0.257,-0.366,-0.207,-0.77,-0.016,0.845,-1.614,-1.37,-0.765,-0.184,-0.27,-0.359,-0.176,0.209,-0.004,-0.156,-0.232,-0.118,0.357,0.038,0.725,0.101,-0.233,0.158,-0.362,0.008,-0.908,-1.301,-2.762,-1.864,-0.391,0.225,0.845,2.592,3.392,3.469,-0.833,-1.976,-2.086,-0.966,-1.055,1.583,-0.177,0.759,-2.219,0.854,4.029,0.668,0.565,1.0
-0.083,-0.313,1.237,0.311,-0.669,-2.324,-0.134,1.039,1.925,1.112,0.332,2.777,1.36,0.049,-0.535,-0.508,0.757,0.898,-4.735,-0.007,-0.203,-0.958,-0.773,-1.41,0.895,1.627,-0.951,-0.288,-0.033,0.272,-0.194,-0.52,-0.464,-0.01,0.374,-0.29,-0.3,0.556,-0.094,0.114,-0.644,1.087,-0.069,-1.019,-2.605,-1.918,-0.455,-0.239,1.776,6.193,3.922,2.287,-2.259,-2.768,-1.313,1.758,-0.047,-0.091,-0.703,-0.345,2.382,2.224,1.262,-1.631,0.001,1.0
-0.23,0.035,0.657,-1.108,0.348,0.101,-0.177,-0.517,-0.577,-0.823,-0.189,-0.458,4.073,1.872,2.443,-0.863,-1.643,-0.972,0.535,1.866,2.533,1.261,-0.683,-1.368,-1.867,-1.347,-4.833,-1.212,-0.616,-0.619,-1.124,-1.011,-0.428,-0.324,0.281,0.541,0.417,0.34,0.158,-0.145,0.301,-0.15,0.023,0.802,0.237,0.877,-1.433,0.119,-0.879,0.206,1.915,0.871,-0.343,0.374,-3.456,-0.453,-0.48,1.09,3.661,-4.081,2.272,0.388,-1.599,-1.439,-1.065,2.0
-0.344,0.392,0.063,-0.462,-0.617,0.389,0.622,-0.546,-0.853,-1.029,-0.735,0.078,1.2,-1.789,1.983,-0.177,-0.192,-2.396,0.036,-0.622,-0.448,-0.437,0.696,0.049,0.012,0.24,0.153,-1.826,-0.43,-0.211,0.073,-0.18,-0.334,0.205,-0.095,0.014,-0.499,-0.11,-0.335,-0.535,-0.289,0.889,-1.092,-0.272,1.273,-0.037,-2.085,-1.355,2.043,4.029,2.773,2.283,-0.97,-2.657,-1.716,-0.81,-0.16,0.009,0.274,-0.55,-0.545,1.401,1.355,1.71,-0.371,2.0
-0.106,0.386,0.611,1.677,2.424,1.312,-0.077,-1.32,-1.936,0.362,3.665,2.343,0.517,-0.995,-1.067,-2.272,-0.865,-0.9,-0.883,-0.633,2.508,-1.445,0.196,-0.709,0.051,0.054,0.117,0.506,0.658,-0.125,1.07,0.031,-0.205,-0.206,-0.003,-0.094,0.009,0.29,0.119,-0.597,-1.657,-2.158,-0.819,0.348,1.505,1.484,-0.162,0.137,0.873,2.35,4.789,0.663,-1.148,-2.547,-3.096,-0.509,-1.333,0.425,1.278,0.836,-0.688,-0.028,-0.373,1.112,0.3,2.0
-0.503,-0.417,-0.606,-1.41,0.831,3.338,0.854,0.223,-1.579,-0.556,-1.731,2.779,2.366,-0.707,-4.384,-0.599,-1.662,-1.141,-0.491,-0.864,-2.414,-0.36,-0.837,0.678,0.705,-0.398,0.039,-0.126,-0.149,0.485,0.031,-0.019,0.059,-0.077,-0.462,0.004,0.232,-0.281,-0.039,-0.254,-1.081,-0.083,0.859,-0.48,-0.196,0.646,0.333,-0.305,0.568,2.961,1.716,2.019,0.299,-0.596,-1.409,-1.193,1.128,-0.749,0.634,-1.366,-0.173,-0.421,-0.701,-0.467,0.583,2.0
-0.406,0.196,-0.09,-1.646,-0.762,-1.998,0.051,-0.524,0.608,-0.283,-0.795,0.085,1.284,1.278,-0.967,-2.15,-1.128,-1.289,3.074,1.973,2.035,3.025,0.785,0.745,-0.001,-0.175,-0.749,-1.104,-0.914,-0.857,-0.541,-0.598,-0.761,-0.05,0.149,0.391,0.23,0.447,0.163,0.181,0.124,0.024,-0.039,0.133,0.152,-0.533,0.729,-0.184,0.088,0.581,-0.153,0.047,-3.325,-1.038,-0.954,-0.433,-0.048,1.537,1.838,2.819,2.201,1.517,-1.079,-2.451,-1.184,1.0
-1.107,-0.679,0.503,0.909,1.954,1.788,-0.338,-1.527,-2.001,0.419,2.004,2.067,1.369,1.325,0.429,-1.526,-2.892,-0.725,-0.329,0.416,-0.157,0.58,-1.322,-0.414,-0.46,-0.321,0.754,-1.227,0.344,-0.707,-0.065,0.185,-0.314,-0.298,-0.617,-0.263,0.038,0.015,0.076,0.527,-0.082,-0.456,-0.795,-0.414,-0.038,0.763,-0.576,-1.202,1.724,1.001,1.865,-0.765,-2.587,-1.284,-1.374,-1.585,-0.31,0.511,1.172,1.377,-0.247,-0.253,0.002,0.793,0.229,2.0
