@RELATION UMD

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE att25 NUMERIC
@ATTRIBUTE att26 NUMERIC
@ATTRIBUTE att27 NUMERIC
@ATTRIBUTE att28 NUMERIC
@ATTRIBUTE att29 NUMERIC
@ATTRIBUTE att30 NUMERIC
@ATTRIBUTE att31 NUMERIC
@ATTRIBUTE att32 NUMERIC
@ATTRIBUTE att33 NUMERIC
@ATTRIBUTE att34 NUMERIC
@ATTRIBUTE att35 NUMERIC
@ATTRIBUTE att36 NUMERIC
@ATTRIBUTE att37 NUMERIC
@ATTRIBUTE att38 NUMERIC
@ATTRIBUTE att39 NUMERIC
@ATTRIBUTE att40 NUMERIC
@ATTRIBUTE att41 NUMERIC
@ATTRIBUTE att42 NUMERIC
@ATTRIBUTE att43 NUMERIC
@ATTRIBUTE att44 NUMERIC
@ATTRIBUTE att45 NUMERIC
@ATTRIBUTE att46 NUMERIC
@ATTRIBUTE att47 NUMERIC
@ATTRIBUTE att48 NUMERIC
@ATTRIBUTE att49 NUMERIC
@ATTRIBUTE att50 NUMERIC
@ATTRIBUTE att51 NUMERIC
@ATTRIBUTE att52 NUMERIC
@ATTRIBUTE att53 NUMERIC
@ATTRIBUTE att54 NUMERIC
@ATTRIBUTE att55 NUMERIC
@ATTRIBUTE att56 NUMERIC
@ATTRIBUTE att57 NUMERIC
@ATTRIBUTE att58 NUMERIC
@ATTRIBUTE att59 NUMERIC
@ATTRIBUTE att60 NUMERIC
@ATTRIBUTE att61 NUMERIC
@ATTRIBUTE att62 NUMERIC
@ATTRIBUTE att63 NUMERIC
@ATTRIBUTE att64 NUMERIC
@ATTRIBUTE att65 NUMERIC
@ATTRIBUTE att66 NUMERIC
@ATTRIBUTE att67 NUMERIC
@ATTRIBUTE att68 NUMERIC
@ATTRIBUTE att69 NUMERIC
@ATTRIBUTE att70 NUMERIC
@ATTRIBUTE att71 NUMERIC
@ATTRIBUTE att72 NUMERIC
@ATTRIBUTE att73 NUMERIC
@ATTRIBUTE att74 NUMERIC
@ATTRIBUTE att75 NUMERIC
@ATTRIBUTE att76 NUMERIC
@ATTRIBUTE att77 NUMERIC
@ATTRIBUTE att78 NUMERIC
@ATTRIBUTE att79 NUMERIC
@ATTRIBUTE att80 NUMERIC
@ATTRIBUTE att81 NUMERIC
@ATTRIBUTE att82 NUMERIC
@ATTRIBUTE att83 NUMERIC
@ATTRIBUTE att84 NUMERIC
@ATTRIBUTE att85 NUMERIC
@ATTRIBUTE att86 NUMERIC
@ATTRIBUTE att87 NUMERIC
@ATTRIBUTE att88 NUMERIC
@ATTRIBUTE att89 NUMERIC
@ATTRIBUTE att90 NUMERIC
@ATTRIBUTE att91 NUMERIC
@ATTRIBUTE att92 NUMERIC
@ATTRIBUTE att93 NUMERIC
@ATTRIBUTE att94 NUMERIC
@ATTRIBUTE att95 NUMERIC
@ATTRIBUTE att96 NUMERIC
@ATTRIBUTE att97 NUMERIC
@ATTRIBUTE att98 NUMERIC
@ATTRIBUTE att99 NUMERIC
@ATTRIBUTE att100 NUMERIC
@ATTRIBUTE att101 NUMERIC
@ATTRIBUTE att102 NUMERIC
@ATTRIBUTE att103 NUMERIC
@ATTRIBUTE att104 NUMERIC
@ATTRIBUTE att105 NUMERIC
@ATTRIBUTE att106 NUMERIC
@ATTRIBUTE att107 NUMERIC
@ATTRIBUTE att108 NUMERIC
@ATTRIBUTE att109 NUMERIC
@ATTRIBUTE att110 NUMERIC
@ATTRIBUTE att111 NUMERIC
@ATTRIBUTE att112 NUMERIC
@ATTRIBUTE att113 NUMERIC
@ATTRIBUTE att114 NUMERIC
@ATTRIBUTE att115 NUMERIC
@ATTRIBUTE att116 NUMERIC
@ATTRIBUTE att117 NUMERIC
@ATTRIBUTE att118 NUMERIC
@ATTRIBUTE att119 NUMERIC
@ATTRIBUTE att120 NUMERIC
@ATTRIBUTE att121 NUMERIC
@ATTRIBUTE att122 NUMERIC
@ATTRIBUTE att123 NUMERIC
@ATTRIBUTE att124 NUMERIC
@ATTRIBUTE att125 NUMERIC
@ATTRIBUTE att126 NUMERIC
@ATTRIBUTE att127 NUMERIC
@ATTRIBUTE att128 NUMERIC
@ATTRIBUTE att129 NUMERIC
@ATTRIBUTE att130 NUMERIC
@ATTRIBUTE att131 NUMERIC
@ATTRIBUTE att132 NUMERIC
@ATTRIBUTE att133 NUMERIC
@ATTRIBUTE att134 NUMERIC
@ATTRIBUTE att135 NUMERIC
@ATTRIBUTE att136 NUMERIC
@ATTRIBUTE att137 NUMERIC
@ATTRIBUTE att138 NUMERIC
@ATTRIBUTE att139 NUMERIC
@ATTRIBUTE att140 NUMERIC
@ATTRIBUTE att141 NUMERIC
@ATTRIBUTE att142 NUMERIC
@ATTRIBUTE att143 NUMERIC
@ATTRIBUTE att144 NUMERIC
@ATTRIBUTE att145 NUMERIC
@ATTRIBUTE att146 NUMERIC
@ATTRIBUTE att147 NUMERIC
@ATTRIBUTE att148 NUMERIC
@ATTRIBUTE att149 NUMERIC
@ATTRIBUTE att150 NUMERIC
@ATTRIBUTE target {1.0, 2.0, 3.0}

@DATA
0.057,0.036,0.039,-0.004,0.021,0.045,0.021,0.012,0.008,0.034,0.026,0.029,0.02,0.051,0.008,0.045,-0.035,-0.237,0.461,0.569,0.058,0.875,1.174,1.196,1.496,1.31,0.649,0.15,0.081,0.052,0.07,0.171,0.069,0.014,0.048,0.038,0.015,-0.006,0.036,-0.001,0.033,-0.029,-0.015,0.153,0.045,0.167,-0.125,-0.317,-0.6,-0.837,-0.752,0.223,-1.544,0.115,-0.486,-1.292,-1.639,-1.106,-1.611,-0.998,-1.611,-1.875,-1.561,-0.53,0.071,-1.034,-0.545,-1.159,-1.374,1.902,0.936,-1.725,2.74,-0.82,-0.506,-0.891,-1.746,1.275,-0.828,-0.788,-0.878,1.035,0.808,-0.805,-2.351,-0.956,-2.406,-0.519,-0.304,-0.714,-0.964,2.177,-2.828,-0.198,0.42,-0.135,-0.29,-0.772,-2.325,-0.076,-1.105,-0.591,-1.19,2.985,-0.118,-1.276,-0.181,0.102,-0.202,0.685,0.003,-0.157,0.111,0.072,0.038,-0.399,0.096,0.052,0.387,-0.05,0.051,-2.005,-0.033,-0.414,-0.123,0.037,-0.812,-0.291,-0.762,-0.156,0.064,0.048,0.037,-0.007,0.032,0.053,0.036,0.008,0.062,0.027,0.025,0.047,0.054,0.059,0.067,0.047,0.026,0.043,0.022,0.043,1.0
0.054,0.041,0.05,0.054,0.012,0.055,0.062,0.05,0.048,0.045,0.031,-0.047,0.005,0.019,0.056,0.034,0.027,0.028,-0.586,0.392,0.539,2.16,2.617,0.924,0.905,1.059,1.414,0.87,0.651,0.188,0.4,0.038,0.101,0.065,0.029,0.014,0.002,0.049,0.005,0.053,-0.004,0.071,0.04,0.15,-0.005,-0.129,0.001,-0.196,-0.116,-1.535,-0.415,-1.13,-1.436,-1.733,-1.027,-1.519,-0.315,-1.628,2.396,-1.376,-1.627,-1.68,-4.7,-1.463,-0.737,-0.966,0.384,-1.499,-2.177,-0.362,-0.404,2.209,-0.991,-0.245,-1.838,-1.457,-1.391,-1.476,-1.486,-1.493,-1.319,-0.77,-1.045,-1.457,-1.919,-0.189,-1.135,-0.473,-0.817,-0.549,-1.213,-2.102,-1.181,-1.366,-1.531,-1.552,-3.5,-1.456,-1.47,-1.422,-1.082,-1.327,-1.349,-1.259,-1.248,-1.289,-0.345,-1.34,-1.778,-1.142,-1.375,-0.874,-0.265,-0.093,0.028,-0.296,-0.143,0.008,0.192,0.049,0.016,0.076,-0.144,-0.399,0.29,-0.238,0.098,-0.336,-0.025,-0.308,0.028,0.019,0.05,0.04,0.031,0.014,0.011,0.056,0.024,0.036,0.034,0.028,0.027,0.004,0.015,0.021,0.018,0.044,0.028,0.004,1.0
0.031,0.079,0.051,0.048,0.03,0.032,0.017,0.045,0.044,0.048,0.023,0.016,0.034,0.005,-0.002,-0.041,0.038,0.136,0.696,0.894,0.857,1.012,1.303,1.816,0.856,0.974,0.824,0.033,-0.026,0.173,0.044,0.09,0.02,0.03,0.002,0.043,0.02,0.025,0.036,-0.009,0.017,0.017,0.017,0.099,0.008,0.11,0.057,0.143,0.261,-0.019,-0.385,-0.058,-0.047,-0.124,-1.318,-0.559,-0.91,-1.076,-0.074,-2.016,0.158,-0.737,-2.07,-0.993,-0.809,-0.893,-0.413,-0.782,-0.809,-1.081,-0.879,-4.236,-0.541,-1.232,-0.967,-1.6,-0.78,-1.356,0.451,-1.552,-0.798,1.241,-0.961,-0.567,-1.338,-0.966,-0.782,-1.648,1.357,-1.49,-2.006,-1.003,-0.874,-0.537,-1.258,-0.537,-1.013,-0.531,-1.566,-1.428,-1.995,0.486,-0.13,-0.246,0.079,-0.416,-0.001,0.044,-0.005,0.807,0.019,-0.062,0.525,-0.006,0.065,0.216,0.148,-0.109,0.023,0.297,0.13,0.544,-0.024,0.105,-0.111,-0.003,-0.285,0.034,0.337,-0.239,0.017,-0.38,0.277,-0.004,-0.034,0.02,0.022,0.025,0.036,0.033,0.013,0.051,0.012,0.034,0.009,0.022,0.017,-0.058,0.052,0.043,1.0
0.015,0.019,0.031,0.039,0.053,0.007,0.05,-0.015,0.045,0.042,0.038,0.029,0.029,0.01,0.016,0.046,0.131,-0.115,-0.446,-0.05,0.031,0.344,0.261,-0.288,-0.08,0.233,-0.005,0.047,0.041,0.025,0.034,0.022,0.083,0.005,0.049,0.034,-0.002,0.028,0.017,0.019,0.02,0.043,0.031,0.111,0.025,0.009,0.206,0.206,0.119,-0.123,0.012,-0.26,0.833,-0.771,0.009,0.238,-0.179,1.535,-0.466,-0.553,-0.858,-0.629,-2.036,-0.586,-0.121,0.376,-2.355,-0.141,-0.73,-1.056,-0.389,0.193,-0.732,-0.806,-0.778,-1.522,-2.798,-1.371,-0.3,-0.713,-0.73,0.25,0.395,-1.023,-0.953,-0.806,-0.86,-1.407,-0.757,-0.664,-1.235,-0.208,-0.722,-1.167,-1.003,0.508,-0.781,-0.46,-0.313,-0.733,-0.373,-1.241,-0.023,-0.419,-0.017,0.725,-0.007,-0.846,-0.318,0.019,-1.502,0.044,0.971,0.306,0.159,0.039,0.009,0.03,0.608,0.051,-0.033,-0.198,0.948,0.795,0.844,0.72,0.768,0.791,0.527,-0.368,0.079,0.043,0.048,0.002,0.084,0.041,0.066,0.076,0.038,0.023,0.032,0.008,0.044,0.001,0.052,0.021,0.077,0.014,0.033,-0.002,1.0
0.026,0.005,0.038,0.036,-0.019,0.033,0.021,0.043,0.041,0.049,0.034,0.018,0.021,0.022,0.031,0.008,0.014,-0.226,-0.225,0.024,-0.427,0.246,0.076,-0.097,0.007,0.08,-0.244,0.135,-0.019,-0.005,-0.077,0.042,0.018,0.019,0.041,0.044,0.043,0.006,0.039,0.036,0.02,0.056,-0.005,0.185,0.056,-0.161,-0.018,0.028,0.017,0.084,0.112,-0.082,0.008,-0.435,-0.759,-0.167,-1.55,-1.212,-0.64,-0.939,-2.428,-3.091,-1.67,-2.365,-1.018,0.054,-0.857,-0.98,-0.502,-1.154,-1.403,-1.714,-1.523,-2.144,-0.726,-1.196,-1.831,-0.483,-1.626,-1.281,-1.158,-1.1,0.158,-1.393,-1.003,-0.949,-1.094,-3.35,-1.519,-0.481,-1.188,-1.227,-1.726,-1.479,-1.241,-2.076,-1.153,-1.177,-0.885,-1.212,-1.331,-1.595,-1.274,-1.078,-1.334,-1.574,-1.284,-1.471,-0.844,-0.935,-1.202,-0.471,-0.196,0.347,-0.475,0.027,0.038,0.027,0.064,-0.091,0.307,0.347,0.828,0.18,0.781,1.275,-0.673,0.489,0.819,0.042,0.007,0.033,0.04,-0.016,0.06,0.028,0.011,-0.015,0.013,0.013,0.098,0.045,0.016,0.014,-0.011,0.045,0.045,0.032,0.017,0.048,1.0
0.013,0.014,0.035,-0.013,0.033,0.041,0.033,-0.005,0.01,-0.014,0.063,0.047,0.03,0.023,0.018,0.04,0.077,-0.245,-0.21,0.012,0.372,-0.221,-0.373,0.025,-0.011,0.526,-0.014,0.054,-0.058,-0.059,0.01,0.106,0.078,0.019,0.026,0.035,0.048,0.04,0.01,-0.01,0.038,0.027,-0.006,0.006,-0.169,-0.049,-0.003,0.056,-0.454,-0.216,0.202,-0.199,-0.184,-1.037,-3.92,-0.838,0.749,-2.322,-1.154,-1.143,-0.934,-0.405,-1.883,-1.052,-1.915,-1.088,-1.192,-1.916,-1.208,-2.551,-3.825,-1.498,-1.584,-1.691,0.128,-1.429,-0.601,-2.619,-0.55,-0.342,-0.419,-1.001,-1.07,-2.366,-1.224,-1.416,-2.036,-0.899,-1.845,-0.072,-2.288,-3.505,-2.767,-1.087,-1.257,-2.403,-0.499,-0.153,-0.511,-0.942,-1.335,-1.835,-1.243,-1.653,-1.637,-1.441,-1.297,-2.299,-1.249,-1.222,-0.942,-1.987,-1.512,-0.687,-1.217,-0.361,-0.163,-0.102,-0.041,0.469,0.108,0.468,0.425,-0.163,1.003,1.29,1.104,0.646,-0.008,-0.11,-0.102,0.044,0.162,0.046,0.021,-0.001,0.009,0.01,0.008,-0.0,0.016,0.011,0.037,0.048,0.04,0.032,0.02,0.051,0.0,0.048,1.0
0.048,0.053,0.014,0.041,0.008,0.037,0.029,0.015,0.029,0.046,0.072,0.053,0.031,0.037,0.087,0.037,0.106,0.416,0.809,0.754,1.928,1.551,0.78,1.559,0.88,0.859,0.718,0.587,-0.163,0.071,0.034,0.073,0.021,0.024,0.015,0.018,0.057,0.003,0.023,0.055,0.013,0.021,0.073,-0.081,0.056,0.014,0.108,0.506,0.709,1.213,1.397,-3.177,0.465,0.932,1.249,0.605,-0.601,2.269,4.023,2.257,0.258,-0.598,0.15,1.29,2.039,1.391,1.175,0.83,-1.563,0.931,2.914,-0.311,0.72,1.827,1.751,0.874,-3.413,2.293,1.219,-1.033,0.975,-0.03,1.041,0.493,0.975,1.024,1.342,0.989,0.911,1.305,1.331,0.268,1.507,1.045,0.893,0.751,1.319,1.099,0.35,0.879,1.232,0.427,0.137,1.086,0.918,1.407,0.723,0.395,1.161,-0.604,-0.141,-0.022,0.364,0.343,-0.161,-0.216,-0.037,0.021,0.135,0.079,0.033,0.137,-0.213,0.528,-0.638,0.366,-0.214,-0.166,0.114,0.574,-0.041,-0.184,0.022,-0.019,0.051,-0.041,0.003,0.011,0.039,0.043,0.05,0.024,0.016,-0.016,0.062,0.008,0.002,0.016,-0.002,0.005,1.0
0.06,-0.006,0.026,0.025,0.039,0.016,0.023,0.021,0.04,0.05,-0.018,0.024,0.029,0.027,0.045,0.007,-0.009,0.185,-0.136,0.06,-0.193,-0.931,0.352,-0.185,0.146,0.733,0.484,0.436,0.978,0.916,0.449,0.33,0.106,0.051,0.045,0.06,0.011,0.02,0.014,0.026,0.036,0.098,0.012,0.042,-0.032,-0.003,0.258,-0.517,1.348,-0.283,0.412,-0.298,0.785,0.77,3.267,1.131,1.052,1.028,0.849,1.802,1.492,0.99,3.469,-0.266,3.784,1.734,1.247,2.388,1.245,0.787,0.663,0.833,1.314,1.159,1.62,0.707,0.948,1.012,2.652,0.779,1.006,0.981,1.324,1.918,0.579,0.852,0.587,1.155,0.878,-0.207,1.101,0.571,-0.106,2.764,1.581,1.352,0.75,0.56,0.708,-0.024,0.826,0.268,0.903,1.112,0.881,2.338,0.992,1.767,1.187,1.727,0.614,1.486,0.391,0.613,0.33,0.133,0.117,-0.132,0.197,0.036,0.018,-0.336,-0.168,0.096,0.022,0.258,0.032,0.052,0.002,-0.598,0.096,0.041,0.06,0.093,0.054,0.1,0.005,0.02,0.002,0.022,0.036,0.043,-0.002,0.03,0.005,0.05,0.042,0.052,-0.003,0.05,1.0
0.003,0.051,0.003,-0.001,0.018,0.01,-0.004,0.021,0.04,0.061,0.005,-0.005,0.019,0.001,0.014,0.015,0.011,0.127,0.533,0.445,1.066,1.064,0.87,0.583,0.517,0.238,-0.382,0.018,-0.236,0.03,0.018,0.003,-0.022,0.049,0.053,0.041,0.055,0.054,0.01,0.013,0.017,-0.004,-0.03,0.018,0.143,-0.097,-0.364,-0.104,0.012,0.29,-0.658,0.868,-0.053,0.642,-0.056,-0.267,-0.132,0.989,1.048,0.731,2.027,0.793,1.038,-0.153,1.336,0.999,2.671,0.853,0.632,1.15,1.333,2.44,1.816,1.077,1.3,0.091,2.362,1.047,0.289,-0.85,1.44,-0.179,2.549,0.164,1.151,1.37,0.663,0.466,0.903,1.144,0.889,1.054,-0.836,1.055,1.081,0.63,1.536,1.041,0.818,1.529,0.529,1.071,1.035,0.852,1.078,0.906,1.085,0.95,0.368,0.33,0.035,0.146,0.056,0.527,0.026,0.001,0.288,0.036,0.011,0.366,0.012,-0.707,-0.045,0.268,-0.322,0.1,0.696,-0.571,0.08,-0.074,-0.054,0.036,0.062,0.094,0.048,0.04,0.047,0.015,0.035,-0.011,0.04,0.029,0.042,0.035,0.016,-0.001,0.057,0.001,0.063,0.006,1.0
0.005,0.045,0.004,0.026,0.044,0.044,0.01,0.031,0.012,0.052,0.012,0.06,0.028,0.013,0.045,0.055,-0.131,-0.024,0.022,-0.271,-0.166,-0.158,-0.027,0.125,1.34,0.678,-0.276,0.035,-0.018,0.006,0.051,0.005,-0.002,0.002,0.087,0.023,0.048,0.011,0.045,0.053,0.06,0.026,0.041,0.159,0.032,-0.428,-0.004,0.147,0.057,0.023,0.254,0.543,-0.151,0.404,0.351,0.822,2.534,1.285,-0.336,1.871,0.799,3.16,2.021,4.072,0.655,1.1,-0.19,1.358,1.542,0.676,0.793,0.593,-1.025,1.054,0.485,1.322,0.98,1.845,1.465,3.363,1.064,1.423,0.942,-0.228,5.008,-0.323,2.557,0.544,1.107,-0.207,2.121,1.223,0.74,2.119,1.059,1.103,1.019,0.607,-1.832,1.995,-2.239,1.022,0.034,0.856,1.092,1.431,2.467,0.081,0.139,-0.458,-1.045,-0.128,-0.686,0.163,0.043,0.385,0.408,0.571,0.856,1.095,1.154,1.149,0.767,1.212,1.043,0.872,0.704,0.954,0.738,0.313,0.468,0.124,0.062,0.056,0.006,0.01,0.022,0.012,-0.006,0.005,0.017,0.02,0.029,0.031,0.014,0.004,0.036,0.058,0.015,0.024,1.0
