@RELATION BME

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC
@ATTRIBUTE att61_err NUMERIC
@ATTRIBUTE att62_err NUMERIC
@ATTRIBUTE att63_err NUMERIC
@ATTRIBUTE att64_err NUMERIC
@ATTRIBUTE att65_err NUMERIC
@ATTRIBUTE att66_err NUMERIC
@ATTRIBUTE att67_err NUMERIC
@ATTRIBUTE att68_err NUMERIC
@ATTRIBUTE att69_err NUMERIC
@ATTRIBUTE att70_err NUMERIC
@ATTRIBUTE att71_err NUMERIC
@ATTRIBUTE att72_err NUMERIC
@ATTRIBUTE att73_err NUMERIC
@ATTRIBUTE att74_err NUMERIC
@ATTRIBUTE att75_err NUMERIC
@ATTRIBUTE att76_err NUMERIC
@ATTRIBUTE att77_err NUMERIC
@ATTRIBUTE att78_err NUMERIC
@ATTRIBUTE att79_err NUMERIC
@ATTRIBUTE att80_err NUMERIC
@ATTRIBUTE att81_err NUMERIC
@ATTRIBUTE att82_err NUMERIC
@ATTRIBUTE att83_err NUMERIC
@ATTRIBUTE att84_err NUMERIC
@ATTRIBUTE att85_err NUMERIC
@ATTRIBUTE att86_err NUMERIC
@ATTRIBUTE att87_err NUMERIC
@ATTRIBUTE att88_err NUMERIC
@ATTRIBUTE att89_err NUMERIC
@ATTRIBUTE att90_err NUMERIC
@ATTRIBUTE att91_err NUMERIC
@ATTRIBUTE att92_err NUMERIC
@ATTRIBUTE att93_err NUMERIC
@ATTRIBUTE att94_err NUMERIC
@ATTRIBUTE att95_err NUMERIC
@ATTRIBUTE att96_err NUMERIC
@ATTRIBUTE att97_err NUMERIC
@ATTRIBUTE att98_err NUMERIC
@ATTRIBUTE att99_err NUMERIC
@ATTRIBUTE att100_err NUMERIC
@ATTRIBUTE att101_err NUMERIC
@ATTRIBUTE att102_err NUMERIC
@ATTRIBUTE att103_err NUMERIC
@ATTRIBUTE att104_err NUMERIC
@ATTRIBUTE att105_err NUMERIC
@ATTRIBUTE att106_err NUMERIC
@ATTRIBUTE att107_err NUMERIC
@ATTRIBUTE att108_err NUMERIC
@ATTRIBUTE att109_err NUMERIC
@ATTRIBUTE att110_err NUMERIC
@ATTRIBUTE att111_err NUMERIC
@ATTRIBUTE att112_err NUMERIC
@ATTRIBUTE att113_err NUMERIC
@ATTRIBUTE att114_err NUMERIC
@ATTRIBUTE att115_err NUMERIC
@ATTRIBUTE att116_err NUMERIC
@ATTRIBUTE att117_err NUMERIC
@ATTRIBUTE att118_err NUMERIC
@ATTRIBUTE att119_err NUMERIC
@ATTRIBUTE att120_err NUMERIC
@ATTRIBUTE att121_err NUMERIC
@ATTRIBUTE att122_err NUMERIC
@ATTRIBUTE att123_err NUMERIC
@ATTRIBUTE att124_err NUMERIC
@ATTRIBUTE att125_err NUMERIC
@ATTRIBUTE att126_err NUMERIC
@ATTRIBUTE att127_err NUMERIC
@ATTRIBUTE att128_err NUMERIC

@DATA
0.029,0.008,0.008,0.014,0.005,0.139,0.264,0.07,0.611,0.077,0.02,0.076,0.956,0.836,0.206,0.292,0.252,0.27,0.243,0.063,0.016,0.002,0.021,0.016,0.032,0.027,0.049,0.039,0.004,0.016,0.015,0.02,0.007,0.041,0.105,0.31,0.151,0.864,0.109,0.325,0.681,1.833,0.715,0.703,0.206,0.438,1.138,0.671,2.661,0.259,0.649,1.205,2.836,0.82,0.044,2.06,0.626,0.314,0.495,1.293,0.09,0.413,0.323,1.236,0.599,0.255,2.37,2.274,1.68,0.672,0.737,0.764,0.534,1.391,1.776,0.577,2.52,0.825,1.077,0.719,2.023,1.127,1.483,1.128,1.087,0.35,1.066,1.593,1.354,0.55,0.009,0.731,0.395,0.27,1.253,0.558,0.082,0.513,0.185,0.528,0.138,0.03,0.179,0.19,0.069,0.024,0.183,0.145,0.119,0.671,0.0,0.807,0.305,0.575,0.667,0.251,0.0,0.798,0.371,0.017,0.069,0.019,0.023,0.025,0.054,0.018,0.018,0.02
0.013,0.067,0.016,0.032,0.0,0.104,0.024,0.011,0.221,0.538,0.06,0.009,0.106,0.482,0.301,0.076,0.218,0.131,0.079,0.019,0.016,0.02,0.004,0.021,0.007,0.015,0.014,0.015,0.046,0.016,0.006,0.009,0.037,0.051,0.214,0.283,0.147,0.836,1.325,0.858,1.863,0.401,0.072,0.057,0.792,0.583,2.141,0.383,2.873,1.682,1.881,0.919,1.187,1.067,1.079,1.157,0.404,2.106,1.698,1.076,0.892,0.915,0.428,0.755,1.23,0.704,1.065,1.284,1.035,0.841,0.159,1.538,0.209,2.566,2.12,1.32,3.654,1.424,1.458,0.543,1.448,0.844,1.005,1.646,0.672,0.72,0.852,0.022,0.706,1.743,0.721,0.249,0.397,0.193,0.189,0.727,0.109,1.699,0.653,0.564,0.678,0.043,0.031,0.166,0.029,0.062,0.072,0.123,0.041,0.76,0.218,0.065,0.619,0.108,0.172,0.367,0.149,0.874,0.184,0.102,0.139,0.101,0.007,0.004,0.017,0.002,0.002,0.008
0.006,0.041,0.004,0.048,0.001,0.059,0.271,0.397,0.571,0.305,0.981,0.192,0.248,0.04,0.34,0.018,0.394,0.055,0.29,0.165,0.051,0.015,0.005,0.017,0.027,0.044,0.02,0.026,0.005,0.035,0.017,0.01,0.005,0.115,0.092,0.388,0.599,0.783,0.152,0.611,0.682,0.515,0.187,1.368,1.52,2.013,0.193,1.359,1.449,1.597,0.766,0.266,0.32,2.247,3.384,0.56,1.395,0.954,0.414,0.198,0.794,2.406,1.292,0.279,2.005,0.513,0.119,0.972,1.231,1.971,1.361,4.359,0.385,1.071,2.097,2.156,1.123,0.545,2.017,1.27,2.124,1.975,0.198,0.4,0.42,1.699,0.027,2.21,0.891,0.45,0.728,0.128,0.654,0.824,0.46,0.706,0.248,0.332,0.369,0.574,0.067,0.032,0.162,0.002,0.063,0.017,0.005,0.058,0.101,0.237,0.143,0.43,0.179,0.302,0.259,0.186,0.468,0.197,0.157,0.092,0.122,0.015,0.049,0.021,0.054,0.017,0.003,0.01
0.016,0.015,0.019,0.03,0.004,0.062,0.32,0.081,0.028,0.298,0.294,0.55,0.491,0.782,0.211,0.08,0.595,0.231,0.009,0.005,0.043,0.001,0.014,0.007,0.001,0.019,0.011,0.042,0.015,0.006,0.005,0.001,0.066,0.073,0.302,0.221,0.195,0.027,0.382,0.932,0.529,1.26,0.761,0.042,0.236,2.121,1.917,2.866,0.382,0.055,0.767,0.441,0.998,0.469,0.247,3.429,1.199,0.795,3.009,2.776,2.257,0.38,1.194,0.974,0.178,1.864,1.345,0.436,0.656,2.814,0.436,2.546,1.465,1.251,2.283,0.344,1.559,0.142,1.329,1.712,0.915,1.323,0.364,0.008,1.089,0.081,0.96,0.063,0.403,0.813,0.044,0.137,0.098,0.42,0.024,0.094,0.355,0.228,0.854,0.382,0.943,0.251,0.226,0.035,0.111,0.049,0.085,0.299,0.221,0.013,0.157,0.22,0.404,0.215,0.51,0.29,0.526,0.034,0.393,0.121,0.092,0.127,0.012,0.013,0.027,0.014,0.018,0.007
0.052,0.002,0.027,0.026,0.04,0.021,0.045,0.226,0.32,0.068,0.47,0.445,0.373,1.165,0.026,1.111,0.147,0.474,0.092,0.04,0.07,0.001,0.05,0.011,0.012,0.019,0.029,0.011,0.008,0.002,0.005,0.014,0.03,0.015,0.027,0.473,0.093,0.025,0.405,0.201,0.665,0.58,1.062,0.311,1.78,0.029,0.303,1.713,3.677,0.929,2.07,3.336,0.253,0.064,0.004,1.836,0.248,2.965,1.123,1.072,0.396,0.315,1.98,1.586,0.194,0.204,2.436,0.853,2.992,0.423,1.85,1.273,1.884,0.931,0.842,0.671,1.96,1.357,2.508,1.236,3.584,0.289,1.283,0.224,0.656,0.122,0.901,0.791,1.413,1.095,0.184,0.056,0.775,0.235,0.196,0.281,0.628,0.111,0.077,0.359,0.332,0.554,0.156,0.0,0.071,0.057,0.02,0.091,0.023,0.253,0.387,0.597,1.069,0.688,0.606,0.235,0.333,0.276,0.42,0.178,0.02,0.056,0.03,0.003,0.016,0.014,0.018,0.025
0.021,0.025,0.009,0.002,0.018,0.262,0.574,0.016,0.177,0.596,0.054,0.768,0.505,1.626,0.313,0.95,0.565,0.244,0.036,0.021,0.005,0.016,0.026,0.024,0.003,0.011,0.029,0.018,0.016,0.002,0.041,0.023,0.037,0.053,0.007,0.183,0.347,0.141,0.415,1.381,0.635,0.783,1.508,2.319,0.964,0.285,1.726,0.113,3.397,0.192,1.013,0.371,1.695,1.389,0.76,1.064,0.507,0.11,1.56,1.583,3.367,0.73,1.805,2.724,0.764,1.281,1.11,0.869,1.578,0.524,0.479,0.656,0.469,2.061,1.632,0.427,0.689,2.037,0.161,0.373,2.909,1.813,0.216,2.031,0.251,0.094,1.272,0.759,0.007,0.788,0.214,0.31,1.354,0.543,0.676,0.064,0.095,0.464,0.031,0.333,0.607,0.316,0.346,0.012,0.08,0.083,0.202,0.067,0.6,0.745,0.047,0.681,0.246,0.606,0.044,0.482,0.229,0.208,0.083,0.078,0.028,0.034,0.093,0.024,0.009,0.002,0.029,0.005
0.007,0.028,0.032,0.013,0.042,0.032,0.125,0.28,0.399,0.618,0.057,0.14,0.504,0.25,0.019,0.054,0.124,0.05,0.229,0.078,0.02,0.047,0.008,0.04,0.003,0.007,0.034,0.014,0.02,0.039,0.032,0.016,0.008,0.011,0.192,0.275,0.11,1.045,0.058,0.856,1.899,1.165,0.417,0.907,0.184,1.729,0.327,1.773,2.371,0.913,2.213,1.605,2.35,1.954,0.083,1.276,0.726,1.67,3.323,0.146,1.165,0.91,1.833,0.083,1.178,0.114,1.369,1.476,1.572,0.33,0.788,3.172,0.349,0.82,0.256,2.16,0.658,0.945,2.165,2.585,0.164,2.118,0.469,1.689,1.232,0.897,0.992,0.08,0.658,1.351,0.328,0.137,0.058,0.402,0.473,0.28,0.268,0.673,0.402,0.569,0.517,0.418,0.211,0.018,0.008,0.007,0.099,0.197,0.139,0.157,0.004,0.066,0.106,0.359,0.423,0.221,0.029,0.06,0.294,0.173,0.061,0.008,0.04,0.014,0.008,0.002,0.004,0.0
0.03,0.017,0.023,0.008,0.023,0.179,0.307,0.307,0.22,0.203,0.305,0.195,0.534,0.598,0.164,0.253,0.205,0.487,0.19,0.09,0.046,0.016,0.004,0.019,0.033,0.002,0.036,0.041,0.014,0.047,0.033,0.023,0.015,0.101,0.026,0.155,0.03,1.155,1.172,0.436,0.511,1.262,1.622,0.074,1.135,0.087,0.54,0.365,0.065,2.002,1.186,0.31,0.704,0.817,0.429,0.661,1.659,0.119,2.545,1.417,1.339,0.225,2.653,1.326,0.461,1.165,0.795,2.891,1.448,0.522,0.708,1.572,0.821,0.786,1.406,0.853,0.114,0.525,1.363,0.211,0.876,1.473,0.366,0.066,0.004,0.163,1.786,0.672,0.654,0.94,0.147,0.013,1.186,0.469,1.001,0.561,0.432,0.288,0.397,0.646,0.967,0.307,0.133,0.003,0.101,0.003,0.005,0.055,0.795,0.591,0.276,0.204,0.297,0.823,0.589,0.465,0.158,0.487,0.099,0.233,0.047,0.034,0.013,0.014,0.009,0.007,0.011,0.004
0.024,0.0,0.003,0.027,0.008,0.096,0.028,0.449,0.136,0.452,0.126,0.821,0.681,0.022,0.07,0.392,0.476,0.318,0.157,0.091,0.029,0.004,0.035,0.026,0.015,0.013,0.019,0.016,0.018,0.005,0.015,0.038,0.027,0.138,0.087,0.053,0.197,0.746,0.289,0.284,2.519,0.44,2.227,3.933,0.574,1.31,0.098,0.649,1.156,0.523,0.089,1.019,1.127,0.169,1.11,2.193,0.225,0.368,0.982,2.103,3.603,0.977,1.678,0.294,0.329,2.505,0.26,1.859,0.249,0.17,0.235,1.509,1.062,0.312,2.038,0.853,1.802,0.641,0.651,0.308,2.443,0.697,1.823,1.162,2.099,0.614,0.659,1.742,0.227,0.166,0.557,0.914,0.637,0.855,0.221,0.32,0.92,0.331,0.189,0.388,0.071,0.136,0.693,0.129,0.065,0.005,0.227,0.047,0.066,0.078,0.806,0.366,0.159,0.611,0.126,0.41,0.759,0.015,0.199,0.21,0.174,0.02,0.01,0.019,0.011,0.021,0.001,0.007
0.005,0.012,0.002,0.006,0.01,0.119,0.333,0.358,0.386,0.481,0.516,0.429,0.52,0.087,0.714,0.235,0.154,0.189,0.007,0.142,0.121,0.027,0.026,0.019,0.006,0.009,0.046,0.011,0.01,0.031,0.026,0.02,0.029,0.053,0.021,0.149,0.033,0.145,0.448,1.016,0.594,1.405,0.014,0.253,1.377,2.184,1.393,0.36,1.622,0.283,0.709,0.771,1.696,2.372,2.868,1.899,1.327,0.24,0.81,0.129,1.921,1.456,0.427,0.428,1.242,1.178,1.158,2.574,2.544,3.696,2.101,1.133,4.067,0.568,2.35,0.593,1.379,2.348,0.297,0.08,1.785,1.853,2.05,1.905,1.262,0.77,0.247,0.54,0.767,0.022,0.302,1.244,0.895,0.629,0.74,0.248,0.107,0.157,0.372,0.081,0.068,0.345,0.083,0.016,0.05,0.058,0.116,0.143,0.463,0.373,0.055,0.356,0.417,0.499,1.079,0.659,0.885,0.112,0.158,0.059,0.058,0.151,0.018,0.036,0.011,0.012,0.005,0.013
