@RELATION BME

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE att25 NUMERIC
@ATTRIBUTE att26 NUMERIC
@ATTRIBUTE att27 NUMERIC
@ATTRIBUTE att28 NUMERIC
@ATTRIBUTE att29 NUMERIC
@ATTRIBUTE att30 NUMERIC
@ATTRIBUTE att31 NUMERIC
@ATTRIBUTE att32 NUMERIC
@ATTRIBUTE att33 NUMERIC
@ATTRIBUTE att34 NUMERIC
@ATTRIBUTE att35 NUMERIC
@ATTRIBUTE att36 NUMERIC
@ATTRIBUTE att37 NUMERIC
@ATTRIBUTE att38 NUMERIC
@ATTRIBUTE att39 NUMERIC
@ATTRIBUTE att40 NUMERIC
@ATTRIBUTE att41 NUMERIC
@ATTRIBUTE att42 NUMERIC
@ATTRIBUTE att43 NUMERIC
@ATTRIBUTE att44 NUMERIC
@ATTRIBUTE att45 NUMERIC
@ATTRIBUTE att46 NUMERIC
@ATTRIBUTE att47 NUMERIC
@ATTRIBUTE att48 NUMERIC
@ATTRIBUTE att49 NUMERIC
@ATTRIBUTE att50 NUMERIC
@ATTRIBUTE att51 NUMERIC
@ATTRIBUTE att52 NUMERIC
@ATTRIBUTE att53 NUMERIC
@ATTRIBUTE att54 NUMERIC
@ATTRIBUTE att55 NUMERIC
@ATTRIBUTE att56 NUMERIC
@ATTRIBUTE att57 NUMERIC
@ATTRIBUTE att58 NUMERIC
@ATTRIBUTE att59 NUMERIC
@ATTRIBUTE att60 NUMERIC
@ATTRIBUTE att61 NUMERIC
@ATTRIBUTE att62 NUMERIC
@ATTRIBUTE att63 NUMERIC
@ATTRIBUTE att64 NUMERIC
@ATTRIBUTE att65 NUMERIC
@ATTRIBUTE att66 NUMERIC
@ATTRIBUTE att67 NUMERIC
@ATTRIBUTE att68 NUMERIC
@ATTRIBUTE att69 NUMERIC
@ATTRIBUTE att70 NUMERIC
@ATTRIBUTE att71 NUMERIC
@ATTRIBUTE att72 NUMERIC
@ATTRIBUTE att73 NUMERIC
@ATTRIBUTE att74 NUMERIC
@ATTRIBUTE att75 NUMERIC
@ATTRIBUTE att76 NUMERIC
@ATTRIBUTE att77 NUMERIC
@ATTRIBUTE att78 NUMERIC
@ATTRIBUTE att79 NUMERIC
@ATTRIBUTE att80 NUMERIC
@ATTRIBUTE att81 NUMERIC
@ATTRIBUTE att82 NUMERIC
@ATTRIBUTE att83 NUMERIC
@ATTRIBUTE att84 NUMERIC
@ATTRIBUTE att85 NUMERIC
@ATTRIBUTE att86 NUMERIC
@ATTRIBUTE att87 NUMERIC
@ATTRIBUTE att88 NUMERIC
@ATTRIBUTE att89 NUMERIC
@ATTRIBUTE att90 NUMERIC
@ATTRIBUTE att91 NUMERIC
@ATTRIBUTE att92 NUMERIC
@ATTRIBUTE att93 NUMERIC
@ATTRIBUTE att94 NUMERIC
@ATTRIBUTE att95 NUMERIC
@ATTRIBUTE att96 NUMERIC
@ATTRIBUTE att97 NUMERIC
@ATTRIBUTE att98 NUMERIC
@ATTRIBUTE att99 NUMERIC
@ATTRIBUTE att100 NUMERIC
@ATTRIBUTE att101 NUMERIC
@ATTRIBUTE att102 NUMERIC
@ATTRIBUTE att103 NUMERIC
@ATTRIBUTE att104 NUMERIC
@ATTRIBUTE att105 NUMERIC
@ATTRIBUTE att106 NUMERIC
@ATTRIBUTE att107 NUMERIC
@ATTRIBUTE att108 NUMERIC
@ATTRIBUTE att109 NUMERIC
@ATTRIBUTE att110 NUMERIC
@ATTRIBUTE att111 NUMERIC
@ATTRIBUTE att112 NUMERIC
@ATTRIBUTE att113 NUMERIC
@ATTRIBUTE att114 NUMERIC
@ATTRIBUTE att115 NUMERIC
@ATTRIBUTE att116 NUMERIC
@ATTRIBUTE att117 NUMERIC
@ATTRIBUTE att118 NUMERIC
@ATTRIBUTE att119 NUMERIC
@ATTRIBUTE att120 NUMERIC
@ATTRIBUTE att121 NUMERIC
@ATTRIBUTE att122 NUMERIC
@ATTRIBUTE att123 NUMERIC
@ATTRIBUTE att124 NUMERIC
@ATTRIBUTE att125 NUMERIC
@ATTRIBUTE att126 NUMERIC
@ATTRIBUTE att127 NUMERIC
@ATTRIBUTE att128 NUMERIC
@ATTRIBUTE target {1.0, 2.0, 3.0}

@DATA
0.086,-0.005,0.007,0.019,0.024,0.177,0.817,0.694,1.925,1.053,1.008,0.985,2.069,0.229,0.723,0.499,0.151,0.253,0.367,-0.006,0.04,0.043,0.034,0.073,-0.008,0.085,0.065,0.088,0.051,0.021,0.013,0.004,0.007,0.088,-0.112,-0.139,0.024,0.218,-0.57,-1.145,-1.705,-0.725,-0.752,0.4,-0.593,-0.628,-3.367,-1.246,0.08,-1.221,0.124,-2.917,-0.311,-1.463,-0.984,-1.969,-0.12,-0.876,-0.635,-1.249,-0.842,-0.887,-0.74,-2.109,-0.99,-0.558,-2.155,-1.52,-0.585,-0.889,-0.794,-0.708,-0.883,-0.93,-0.971,-1.163,0.332,0.108,-3.552,-0.221,-3.47,1.057,-2.039,-0.252,1.074,-0.598,0.264,0.721,0.259,-0.524,-0.282,-1.648,-0.599,-0.246,-0.09,0.55,-0.155,-0.294,0.186,-0.065,0.336,0.057,0.276,0.315,0.031,0.027,0.04,0.008,0.13,0.619,0.031,0.377,0.448,-0.229,0.477,-0.001,0.041,-0.24,0.404,0.012,-0.033,0.04,0.021,0.054,0.113,0.029,0.079,0.017,1.0
-0.011,0.063,0.006,0.025,0.037,0.088,0.06,0.312,0.619,-0.197,0.709,0.445,0.164,-0.629,0.086,0.165,-0.05,0.269,0.113,0.035,0.008,-0.0,0.044,0.019,0.018,-0.018,0.035,0.063,0.018,0.002,0.039,0.023,-0.007,-0.015,0.026,-0.296,-0.566,-0.725,-2.838,0.33,1.03,-1.356,-0.916,-0.988,-1.236,-1.087,-1.053,-1.124,0.143,-1.503,-0.127,-1.35,-0.99,-0.59,-1.731,-0.649,-1.011,-3.246,0.487,0.138,-1.579,-0.47,-0.653,-2.12,-0.47,-1.506,-0.917,-1.553,-1.109,-2.275,-0.74,-1.438,-0.73,0.475,-4.99,-0.552,4.694,-3.55,-3.05,-1.049,-2.972,-0.638,0.664,0.95,-0.267,0.706,-0.001,-0.022,-0.267,1.116,0.094,-0.388,-0.312,-0.183,0.083,0.989,-0.041,-0.796,0.505,0.056,0.531,0.03,0.005,-0.063,0.018,0.031,0.068,0.098,0.029,-1.169,0.063,-0.092,0.975,0.064,0.369,-0.244,0.128,0.298,0.336,0.06,0.335,0.068,0.045,0.048,0.023,0.01,0.028,0.015,1.0
0.027,-0.042,0.042,-0.035,0.126,0.282,0.797,0.319,0.741,0.619,1.228,0.409,0.354,0.09,0.066,0.033,0.304,0.124,-0.521,0.325,0.01,0.039,0.008,0.002,0.044,-0.008,0.022,-0.019,0.028,0.063,0.031,0.021,0.011,0.236,-0.027,0.248,0.457,-0.677,0.007,-0.281,-1.099,-0.888,-0.791,0.243,-0.531,-0.148,-0.465,0.169,-0.739,-3.727,-0.849,-0.924,-1.043,-2.411,0.993,-2.042,-0.472,-0.8,-1.237,-1.296,-1.47,-4.188,-1.896,-0.965,-3.56,-0.857,-0.827,-1.155,-2.518,-1.682,-1.913,-1.584,-0.272,-1.019,-0.743,-4.415,-3.134,-0.75,0.286,1.261,2.998,-3.359,-0.493,-0.564,-1.974,1.017,-0.62,-0.209,-0.332,0.098,1.497,-0.013,1.229,0.644,-0.299,0.236,-0.054,-0.104,0.529,-0.98,0.049,0.006,0.108,0.042,-0.069,0.019,0.04,0.118,0.173,-0.034,0.054,-0.179,0.005,0.175,-0.705,0.008,-0.604,-0.087,-0.073,-0.008,0.309,0.011,0.035,0.008,0.052,0.039,0.042,0.039,1.0
0.009,0.04,0.007,-0.039,0.029,0.004,-0.065,0.04,0.347,0.757,0.784,0.875,1.221,-0.03,0.746,0.428,-0.154,0.305,0.067,0.036,0.028,0.033,0.006,-0.003,0.035,-0.0,0.022,0.028,0.006,0.013,0.021,0.052,0.03,-0.044,-0.374,0.115,-0.031,0.008,0.316,-0.172,-0.339,0.118,-0.629,0.692,0.872,-0.305,1.673,2.263,0.831,0.958,1.526,0.26,0.228,0.898,0.86,-2.102,2.404,1.156,1.676,2.55,3.56,1.693,1.61,2.409,0.962,-1.169,0.231,0.502,0.696,1.28,0.541,4.239,3.063,0.249,0.335,1.548,0.519,1.091,-0.559,1.19,0.63,3.136,0.953,1.006,1.126,0.945,-0.712,0.582,0.631,-0.119,0.015,0.197,-0.03,-0.873,0.025,-0.048,0.306,0.16,0.526,-0.173,0.619,0.377,-0.228,0.007,0.165,0.022,-0.154,-0.274,-0.08,0.017,0.001,0.002,-0.072,0.079,-0.028,0.225,0.11,-0.039,-0.42,0.083,0.08,0.24,-0.01,0.019,0.032,0.006,0.007,0.032,1.0
0.07,0.058,0.022,0.05,0.102,0.006,0.022,-0.148,0.099,0.04,0.042,0.379,0.092,-0.577,0.918,0.521,0.815,0.912,0.705,0.275,0.186,0.054,0.131,0.042,0.003,0.058,-0.004,0.017,0.03,-0.001,0.036,0.02,0.008,0.052,-0.01,0.596,0.093,-0.006,-0.019,0.041,-0.884,-0.592,0.584,0.007,0.25,-0.655,-1.045,-0.85,-0.078,-0.652,-0.348,-7.906,-1.051,-0.916,-0.947,1.197,-1.194,-3.149,-0.169,-2.121,-0.954,-1.163,0.477,-1.11,-1.19,-1.011,-1.402,-1.231,-0.612,-0.801,0.604,-2.081,3.487,-0.623,-2.118,-1.366,-3.591,-1.449,-1.327,0.52,-3.078,-1.355,-0.455,-1.13,-1.723,-1.092,-1.344,-0.969,-1.943,-2.921,-1.041,-0.911,-1.494,-1.079,-1.107,-1.024,-0.874,-0.947,-0.899,-0.624,-0.747,-1.095,-0.44,-0.282,-0.231,-0.111,-0.01,0.011,0.038,-0.107,-0.935,0.305,0.692,0.574,1.382,-0.208,0.181,0.107,-0.27,0.116,0.071,0.006,0.031,-0.008,0.026,0.029,0.068,-0.014,1.0
0.026,0.08,0.021,0.042,0.069,-0.014,-1.278,0.015,-0.046,-0.423,0.787,0.239,0.177,-0.248,0.899,1.959,0.657,0.537,0.279,0.164,0.042,0.074,0.114,-0.008,-0.001,0.011,-0.004,0.008,0.035,0.05,0.011,0.047,-0.058,0.001,0.057,0.254,-0.12,-0.006,0.674,0.27,0.403,0.03,-0.289,0.271,0.515,-1.024,1.549,-1.137,-3.405,-0.91,-0.858,-0.918,-1.847,-1.943,-0.952,-0.861,-2.056,-1.071,-2.245,0.612,0.532,-0.969,0.57,-1.122,-0.087,-1.742,-1.484,-0.243,-3.132,-0.15,-0.673,0.476,-0.904,0.188,-2.096,-1.147,-0.327,2.701,-1.148,-1.139,-0.282,-1.032,-0.435,2.583,-0.82,-0.938,-1.078,-1.35,-0.296,0.067,-0.259,-0.273,0.24,0.228,-0.417,0.046,0.072,-0.019,0.033,0.021,-0.211,0.649,-0.03,0.041,-0.063,0.029,0.187,0.031,0.216,-0.424,0.034,-0.333,0.039,-0.348,0.107,0.034,0.275,-0.023,-0.046,0.2,0.037,0.005,0.115,0.071,0.048,0.036,0.08,0.03,1.0
0.052,0.033,0.026,0.032,-0.033,0.047,-0.054,0.496,-0.116,0.099,0.159,0.437,0.731,1.323,0.94,0.937,0.701,0.254,0.256,0.125,0.12,0.084,0.029,0.0,0.037,0.043,0.034,0.015,-0.011,-0.013,0.044,0.026,0.033,0.06,-0.188,0.113,0.122,-1.359,0.038,0.357,-1.459,-0.437,-0.873,-0.241,-1.042,-0.251,-1.422,-0.355,-3.824,0.701,-4.223,-1.031,-2.5,0.73,-1.108,-0.955,-0.906,-0.814,1.588,-0.78,-0.352,-0.326,0.917,-0.971,-1.878,-1.05,-1.058,-3.221,-3.401,-1.158,-0.531,-1.109,-1.511,-1.473,-1.261,-2.138,-0.157,-0.901,-1.514,-1.658,-0.849,-0.049,-0.834,-0.41,0.739,-3.001,1.008,-1.021,-0.955,-1.065,-0.529,-0.942,-0.935,-1.199,-0.75,-1.276,-0.765,-2.432,-0.788,-0.679,-0.606,-0.316,-0.884,-0.264,-0.136,-0.059,-0.1,-0.094,-0.097,0.039,0.032,0.023,0.086,-0.285,0.517,-0.071,0.07,0.005,-0.198,-0.335,-0.08,0.029,0.063,0.055,0.037,0.041,0.026,0.014,1.0
0.009,-0.006,0.001,0.009,-0.014,0.479,-0.103,0.017,0.239,0.524,0.676,0.615,1.015,1.693,0.665,-0.122,-0.141,-0.012,0.099,0.04,0.031,0.027,0.006,0.071,0.056,0.037,-0.007,0.034,0.036,0.043,0.037,0.065,-0.008,-0.095,0.018,-0.042,-0.091,0.5,0.117,-0.827,-1.228,0.595,-2.229,-0.862,-1.081,-0.975,-0.04,-0.982,-1.048,-0.824,0.665,-1.16,-2.26,-1.652,-1.289,-0.424,-2.273,-0.994,-3.836,0.556,-0.078,-1.031,0.668,-3.269,-0.645,-1.544,-1.645,-4.785,-0.538,-1.436,0.507,-1.074,-2.401,-2.107,-2.019,-0.617,-1.208,-1.368,-0.534,-0.794,0.56,-2.573,-1.675,-0.958,-1.015,-1.006,-1.473,-0.238,-0.779,-1.22,0.106,0.018,0.567,0.111,-1.24,0.131,0.311,0.137,0.578,0.012,0.209,0.429,-0.032,0.028,0.168,0.053,0.019,0.032,-1.332,-0.322,0.159,0.144,-0.338,0.998,0.628,0.762,-0.249,-0.071,0.026,-0.062,-0.032,0.044,0.036,0.032,0.039,0.005,0.037,0.04,1.0
0.065,0.025,0.001,0.037,0.039,0.172,0.132,-0.326,0.924,0.917,0.997,1.04,0.806,1.096,1.145,0.626,1.15,1.004,0.648,0.455,0.147,0.054,0.066,0.035,0.0,0.023,0.04,0.027,0.024,0.03,0.011,0.119,-0.032,-0.179,0.08,-0.019,0.139,0.109,0.187,-0.183,-1.218,1.339,2.597,-5.801,0.841,1.695,0.974,0.035,0.689,0.97,0.931,0.117,0.632,1.27,-0.663,0.853,1.079,0.983,0.455,0.929,-4.744,0.577,-0.266,0.921,1.172,1.603,1.624,-1.005,1.047,0.908,1.122,2.517,3.738,1.237,2.936,0.273,-1.043,1.229,1.532,0.854,1.71,1.397,-0.562,1.484,2.095,1.149,0.5,0.081,0.078,-0.045,0.067,-0.935,-0.517,-0.51,0.07,0.042,0.027,0.492,-0.099,0.44,-0.03,-0.035,-1.169,0.041,0.131,0.035,0.014,-0.002,0.073,0.084,-1.013,-0.191,0.087,-1.125,0.102,-0.459,-1.367,0.047,-0.086,-0.101,-0.058,-0.001,0.059,0.056,0.027,0.001,0.033,0.017,1.0
0.036,0.042,0.029,0.039,-0.007,-0.035,-0.213,0.017,0.291,0.761,0.186,1.391,1.527,1.089,0.314,0.172,0.032,0.04,0.042,-0.131,0.046,0.057,-0.013,0.002,0.029,0.016,0.055,0.026,0.026,0.0,0.004,-0.018,0.052,-0.004,0.006,0.043,0.076,-0.266,-0.447,-0.499,0.679,0.615,0.804,0.825,0.553,-0.174,1.662,1.026,2.828,0.678,1.23,1.779,1.881,0.016,-4.463,-1.995,0.897,1.443,-0.078,1.046,4.498,-0.823,0.903,0.939,2.406,0.565,-0.692,-0.846,3.252,4.306,-2.131,-0.195,-3.343,1.049,3.6,0.351,0.86,-3.444,0.669,0.824,5.712,1.243,-0.384,1.88,-2.388,2.608,1.129,0.992,1.949,0.799,0.266,1.847,-0.709,-1.465,-0.042,0.075,0.059,-0.011,0.543,0.031,0.086,0.033,0.044,-0.009,-0.051,-0.013,0.209,0.077,-0.436,0.263,0.033,-0.008,-0.168,0.37,0.807,-0.545,0.536,0.041,0.596,-0.078,-0.055,-0.019,0.04,0.073,0.035,0.0,0.014,0.03,1.0
