@RELATION Chinatown

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE target {1.0, 2.0}

@DATA
703.165,350.953,329.392,211.411,77.67,-24.101,32.627,32.737,35.03,163.362,302.043,942.398,618.21,1249.15,1215.472,855.375,841.677,770.448,657.021,952.316,1247.365,715.083,253.754,-954.542,1.0
328.997,143.24,43.6,170.667,87.114,19.867,19.218,29.811,47.91,212.713,362.882,417.726,1312.102,1327.891,1298.675,1287.596,873.848,1503.87,1802.101,703.165,594.641,670.182,3071.844,398.458,1.0
609.081,309.416,271.903,274.572,103.129,38.501,56.894,16.743,50.764,130.237,435.908,1114.331,1429.361,1524.36,924.925,1475.532,1394.629,462.496,1114.444,1375.713,660.63,838.073,-275.371,417.144,1.0
641.755,306.828,358.323,117.24,67.688,82.986,17.999,8.335,168.483,164.502,395.763,808.944,1624.767,1001.557,1379.425,1914.548,2462.496,1558.729,1033.76,1748.907,772.749,1045.626,1405.817,519.275,1.0
337.972,475.789,256.741,164.063,66.778,41.19,26.855,-26.754,133.984,398.062,327.592,763.035,1324.059,1433.671,1024.517,1723.163,1123.883,973.078,251.411,931.45,26.788,650.138,525.472,449.296,1.0
411.004,-201.211,165.422,208.531,62.899,-4.562,28.385,42.768,117.989,37.895,313.592,412.019,981.974,1082.572,522.746,762.19,515.038,1013.693,1042.452,1224.333,-21.756,897.996,349.332,192.626,1.0
554.914,230.364,222.248,84.058,39.444,37.749,42.317,40.015,140.982,89.284,359.687,608.508,1175.197,1415.162,1289.637,1307.605,1366.491,1340.486,1397.818,1382.547,1439.074,2061.755,1114.208,-266.588,1.0
719.347,401.44,111.065,-332.914,145.686,27.37,41.223,97.155,159.862,160.798,461.452,822.912,1524.318,1619.034,2568.217,1689.061,2099.942,1654.525,1748.287,1905.048,1848.829,1322.048,1336.903,-383.311,1.0
515.543,368.889,383.777,76.476,109.7,69.016,37.929,121.309,214.537,342.421,542.567,726.863,1156.581,935.486,1594.587,1588.142,1163.487,1706.846,1575.119,1876.168,2197.846,2181.244,1651.685,903.711,1.0
760.556,415.908,143.131,-161.703,159.729,39.423,21.013,115.279,37.643,-2.9,310.287,608.949,1019.374,1336.178,1723.592,957.956,1119.963,1132.752,1500.049,1691.751,1654.829,1919.014,2081.035,1067.434,1.0
76.324,118.463,-207.596,16.682,7.383,6.788,-11.451,48.026,128.474,231.13,371.474,630.448,1265.55,1237.091,1204.843,1466.611,1392.567,1244.36,1274.203,1321.705,794.893,1008.233,345.091,355.918,2.0
195.605,20.849,28.802,25.101,10.188,28.578,10.866,111.889,189.417,197.425,496.859,825.091,1449.432,1342.123,1012.124,846.453,810.297,1266.546,1884.571,2232.439,1186.93,1015.622,746.533,461.695,2.0
162.592,7.67,109.053,12.893,7.764,12.721,13.77,75.84,300.211,190.447,99.577,468.286,1067.811,898.911,922.678,762.483,827.147,1029.358,1261.954,1408.792,782.958,1331.051,526.065,340.046,2.0
270.6,-17.575,43.491,52.662,5.91,14.985,16.221,92.851,272.638,336.885,373.631,730.754,981.825,1127.836,1114.487,1067.669,1147.275,1284.878,1261.715,306.841,1328.145,563.169,-142.365,208.459,2.0
330.778,-27.64,-152.289,49.108,43.776,8.229,29.358,-53.754,-94.985,222.59,431.203,918.29,1329.635,1431.483,984.261,651.898,1501.851,1000.163,2114.658,1898.294,1876.592,868.713,888.89,549.461,2.0
331.634,-65.672,182.035,556.068,34.533,26.417,47.094,87.032,-103.481,195.574,344.229,718.4,1422.414,915.843,941.851,1324.761,1259.439,1709.279,1492.165,2122.744,1020.207,961.764,539.274,151.913,2.0
148.597,27.721,224.264,-45.847,23.65,10.719,24.76,95.316,-97.678,210.956,382.104,625.279,1280.998,1227.11,683.6,1045.765,1048.909,1059.913,1115.187,1610.067,1109.985,467.573,493.328,-604.393,2.0
-33.223,99.825,-395.562,106.954,-28.197,38.584,21.208,135.51,161.674,304.096,312.722,416.631,1028.544,1406.444,975.707,860.209,823.581,1330.777,1433.504,1055.139,992.304,1038.203,978.983,-378.597,2.0
298.995,87.164,-12.614,74.723,-54.501,75.945,36.642,114.02,282.412,422.307,320.26,597.412,1072.706,1825.342,819.091,1055.396,1094.272,1031.655,1208.41,1107.162,903.272,833.085,788.215,-547.482,2.0
87.215,-336.297,53.811,53.278,48.155,-2.395,31.637,145.001,183.49,252.771,341.023,508.965,1082.563,872.655,1781.346,821.367,891.317,915.464,932.239,869.808,811.659,233.348,-132.596,522.68,2.0
