@RELATION SmoothSubspace

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC

@DATA
0.49,0.648,0.149,0.147,0.669,0.419,0.542,0.377,0.111,0.087,0.652,0.646,0.227,0.315,0.044
0.124,0.014,0.315,0.051,0.186,0.186,0.122,0.283,0.731,0.085,0.831,0.012,0.237,0.782,0.042
0.626,0.397,0.489,0.278,0.527,0.0,0.08,0.177,0.536,0.052,0.088,0.86,0.668,0.339,0.543
0.217,0.207,0.23,0.218,0.311,0.024,0.22,0.136,0.022,0.113,0.022,0.067,0.175,0.288,0.667
0.55,0.104,0.003,0.073,0.088,0.184,0.853,0.137,0.301,0.484,0.109,0.116,0.081,0.449,0.383
0.118,0.046,0.213,0.663,0.111,0.164,0.003,0.432,0.841,0.19,0.407,0.541,0.668,0.147,0.556
0.16,0.343,0.045,0.272,0.409,0.293,0.232,0.544,0.026,0.081,0.308,0.066,0.389,0.396,0.498
0.988,0.591,0.501,0.08,0.591,1.142,0.504,0.097,0.306,0.753,0.153,0.068,0.012,0.229,0.242
0.351,0.046,0.542,0.01,0.469,0.221,0.236,0.723,0.172,0.202,0.591,0.051,0.398,0.707,0.15
0.686,0.2,0.574,0.219,0.224,0.368,0.282,0.216,0.76,0.497,0.54,0.223,0.301,0.613,0.369
0.093,0.184,0.012,0.529,0.32,1.011,0.036,0.072,0.383,0.069,0.372,0.416,0.347,0.522,0.52
0.056,0.156,0.405,0.182,0.153,0.365,0.967,0.344,0.126,0.177,0.42,0.397,0.026,0.068,0.29
