@RELATION TwoLeadECG

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC
@ATTRIBUTE att61_err NUMERIC
@ATTRIBUTE att62_err NUMERIC
@ATTRIBUTE att63_err NUMERIC
@ATTRIBUTE att64_err NUMERIC
@ATTRIBUTE att65_err NUMERIC
@ATTRIBUTE att66_err NUMERIC
@ATTRIBUTE att67_err NUMERIC
@ATTRIBUTE att68_err NUMERIC
@ATTRIBUTE att69_err NUMERIC
@ATTRIBUTE att70_err NUMERIC
@ATTRIBUTE att71_err NUMERIC
@ATTRIBUTE att72_err NUMERIC
@ATTRIBUTE att73_err NUMERIC
@ATTRIBUTE att74_err NUMERIC
@ATTRIBUTE att75_err NUMERIC
@ATTRIBUTE att76_err NUMERIC
@ATTRIBUTE att77_err NUMERIC
@ATTRIBUTE att78_err NUMERIC
@ATTRIBUTE att79_err NUMERIC
@ATTRIBUTE att80_err NUMERIC
@ATTRIBUTE att81_err NUMERIC
@ATTRIBUTE att82_err NUMERIC

@DATA
0.69,0.527,0.306,0.295,0.857,0.217,0.864,0.043,0.184,0.744,0.004,0.051,0.107,0.03,0.023,0.254,0.106,0.417,0.436,0.388,0.44,0.105,0.363,0.02,0.169,0.031,0.034,0.072,0.29,0.41,1.909,2.421,1.762,3.096,0.117,0.058,1.059,0.017,0.773,1.731,1.29,1.466,0.015,0.218,0.845,1.073,1.003,0.303,0.483,0.607,0.674,0.087,0.301,0.592,0.572,0.076,0.129,0.293,0.422,0.193,0.197,0.126,0.536,0.197,0.276,0.612,0.562,0.098,0.179,0.33,0.236,0.501,0.804,0.289,0.362,0.56,0.119,0.564,0.322,0.347,0.285,0.063
0.907,0.068,0.225,0.017,0.554,0.042,0.082,0.368,0.229,0.215,0.141,0.289,0.356,0.509,0.099,0.139,0.116,0.11,0.224,0.011,0.11,0.154,0.101,0.086,0.44,0.218,0.249,0.282,0.264,1.716,2.151,2.486,2.494,2.008,2.233,0.308,0.334,0.415,1.725,0.322,0.258,0.349,0.59,0.785,2.185,0.785,0.103,0.912,0.271,1.233,0.2,0.58,0.011,0.048,0.06,0.151,0.2,0.053,0.036,0.17,0.505,0.611,0.144,0.255,0.268,0.369,0.008,0.395,0.875,0.208,0.163,0.304,0.26,0.29,0.545,0.732,0.531,0.616,0.65,0.045,0.381,0.054
0.901,0.285,0.643,0.178,0.541,0.52,0.524,0.532,0.398,0.048,0.306,0.616,0.492,0.251,0.343,0.073,0.046,0.538,0.617,0.21,0.606,0.076,0.522,0.115,0.266,0.138,0.385,0.046,0.136,0.863,0.34,1.519,2.138,0.648,1.7,1.074,0.534,0.442,0.144,0.306,0.61,0.173,0.309,0.272,0.516,0.146,0.1,0.755,1.803,0.795,0.933,0.044,0.177,0.38,0.355,0.414,0.101,0.208,0.303,0.044,0.266,0.353,0.713,0.418,0.55,0.11,0.423,0.839,0.009,1.326,0.605,0.126,0.826,0.133,0.769,0.691,0.684,0.67,0.108,0.49,0.296,0.323
0.242,0.106,0.162,0.336,1.279,0.307,0.383,0.305,0.899,0.305,0.117,0.251,0.166,0.209,0.336,0.701,0.223,0.377,0.114,0.24,0.113,0.299,0.592,0.182,0.209,0.602,0.125,0.022,0.431,0.823,1.406,2.073,1.271,1.46,0.7,0.512,0.184,0.144,1.299,1.36,0.192,0.003,0.486,1.812,0.631,2.131,1.161,0.693,0.865,0.746,0.16,0.097,0.038,0.186,0.427,0.46,0.022,0.478,0.056,0.128,0.602,0.196,0.273,0.812,0.002,0.13,0.658,0.291,0.387,1.183,0.204,0.162,0.167,0.244,0.326,0.361,0.465,0.805,0.616,0.14,0.543,0.092
0.926,0.163,0.139,0.38,1.435,0.238,0.401,0.16,0.268,0.225,0.057,0.233,0.083,0.186,0.559,0.347,0.421,0.417,0.102,0.066,0.315,0.125,0.224,0.067,0.621,0.192,0.245,0.476,0.325,0.802,0.028,0.421,1.559,1.014,0.841,0.193,0.007,0.452,0.773,0.71,1.046,0.747,1.312,0.181,0.079,1.717,1.43,0.979,1.245,0.404,0.107,0.216,0.15,0.057,0.109,0.046,0.211,0.181,0.517,0.116,0.412,0.276,0.278,0.133,0.749,0.195,0.276,0.016,0.583,0.128,0.322,0.797,0.024,0.486,0.029,0.383,0.084,0.533,0.013,0.448,0.622,0.573
0.449,0.62,0.398,0.387,0.77,0.222,0.833,0.698,0.112,0.052,0.15,0.564,0.12,0.175,0.151,0.2,0.315,0.358,0.345,0.266,0.061,0.032,0.099,0.014,0.224,0.227,0.179,0.032,0.001,0.407,2.3,0.531,1.961,3.773,3.209,0.791,0.912,0.437,0.5,0.867,0.786,0.7,0.122,0.787,0.501,0.331,0.146,1.228,0.405,0.015,1.161,0.918,0.925,0.011,0.233,0.027,0.431,0.124,0.149,0.631,0.075,0.754,0.207,0.232,0.191,0.224,0.292,0.195,0.079,0.279,0.401,0.23,0.042,0.233,0.034,0.3,0.73,0.07,0.47,0.396,0.294,0.145
0.135,0.879,0.419,0.541,0.012,0.634,0.388,0.207,0.358,0.425,0.135,0.565,0.075,0.055,0.098,0.176,0.26,0.007,0.344,0.142,0.156,0.106,0.007,0.402,0.075,0.211,0.44,0.112,0.565,0.058,0.712,0.589,0.048,0.8,2.712,0.343,0.954,0.75,0.602,0.631,1.321,0.905,0.794,0.004,0.619,1.013,1.56,0.362,0.552,0.489,0.149,0.232,0.313,0.553,0.084,0.149,0.192,0.423,0.445,0.204,0.377,0.223,0.496,0.094,0.149,0.328,0.268,0.542,0.099,0.004,0.099,0.079,1.201,0.506,0.831,0.889,0.24,1.117,0.083,0.127,0.115,0.352
0.793,0.143,0.712,0.182,0.019,0.017,0.177,0.394,0.093,0.032,0.451,0.271,0.22,0.352,0.185,0.086,0.234,0.301,0.024,0.035,0.14,0.047,0.31,0.08,0.144,0.651,0.085,0.346,0.033,0.855,2.556,0.9,4.26,0.568,2.527,1.98,0.349,0.021,0.303,0.579,1.594,0.046,0.424,1.65,0.944,1.931,0.291,0.49,0.02,0.16,0.863,0.099,0.206,0.047,0.237,0.042,0.049,0.245,0.038,0.015,0.166,0.177,0.276,0.623,0.238,0.119,0.332,0.174,0.001,0.187,0.569,0.188,1.3,0.402,0.33,0.294,0.558,0.071,0.307,0.108,0.528,0.465
0.892,0.174,0.334,0.105,0.479,0.106,0.21,0.458,0.109,0.741,0.135,0.457,0.467,0.34,0.112,0.134,0.372,0.09,0.042,0.387,0.147,0.088,0.024,0.157,0.105,0.416,0.084,0.142,0.166,1.055,2.408,1.218,0.111,0.043,0.921,0.726,0.793,0.296,0.393,0.431,1.128,0.64,1.041,0.036,1.935,0.569,0.034,0.124,1.119,0.268,0.753,0.072,0.429,0.377,0.432,0.005,0.519,0.163,0.301,0.762,0.251,0.033,0.259,0.099,0.181,0.087,0.031,0.379,0.02,0.059,0.35,0.593,0.897,0.218,0.182,1.019,0.052,0.078,0.237,0.109,0.678,0.272
0.141,0.84,0.148,0.387,0.341,0.118,0.491,0.22,0.469,0.269,0.191,0.143,0.032,0.533,0.463,0.011,0.042,0.476,0.285,0.154,0.164,0.208,0.314,0.089,0.045,0.381,0.111,0.431,0.357,0.184,0.286,1.851,3.296,1.273,0.087,0.425,0.273,0.436,0.366,0.424,0.951,1.251,0.111,0.191,1.56,0.997,0.118,0.843,0.941,0.478,0.147,0.82,0.044,0.287,0.037,0.244,0.205,0.259,0.063,0.205,0.006,0.305,0.384,0.352,0.023,0.244,0.313,0.079,0.49,0.801,0.295,1.164,1.006,0.562,0.739,0.258,0.341,0.248,0.042,0.451,0.02,0.041
