@RELATION CBF

@ATTRIBUTE att1_err NUMERIC
@ATTRIBUTE att2_err NUMERIC
@ATTRIBUTE att3_err NUMERIC
@ATTRIBUTE att4_err NUMERIC
@ATTRIBUTE att5_err NUMERIC
@ATTRIBUTE att6_err NUMERIC
@ATTRIBUTE att7_err NUMERIC
@ATTRIBUTE att8_err NUMERIC
@ATTRIBUTE att9_err NUMERIC
@ATTRIBUTE att10_err NUMERIC
@ATTRIBUTE att11_err NUMERIC
@ATTRIBUTE att12_err NUMERIC
@ATTRIBUTE att13_err NUMERIC
@ATTRIBUTE att14_err NUMERIC
@ATTRIBUTE att15_err NUMERIC
@ATTRIBUTE att16_err NUMERIC
@ATTRIBUTE att17_err NUMERIC
@ATTRIBUTE att18_err NUMERIC
@ATTRIBUTE att19_err NUMERIC
@ATTRIBUTE att20_err NUMERIC
@ATTRIBUTE att21_err NUMERIC
@ATTRIBUTE att22_err NUMERIC
@ATTRIBUTE att23_err NUMERIC
@ATTRIBUTE att24_err NUMERIC
@ATTRIBUTE att25_err NUMERIC
@ATTRIBUTE att26_err NUMERIC
@ATTRIBUTE att27_err NUMERIC
@ATTRIBUTE att28_err NUMERIC
@ATTRIBUTE att29_err NUMERIC
@ATTRIBUTE att30_err NUMERIC
@ATTRIBUTE att31_err NUMERIC
@ATTRIBUTE att32_err NUMERIC
@ATTRIBUTE att33_err NUMERIC
@ATTRIBUTE att34_err NUMERIC
@ATTRIBUTE att35_err NUMERIC
@ATTRIBUTE att36_err NUMERIC
@ATTRIBUTE att37_err NUMERIC
@ATTRIBUTE att38_err NUMERIC
@ATTRIBUTE att39_err NUMERIC
@ATTRIBUTE att40_err NUMERIC
@ATTRIBUTE att41_err NUMERIC
@ATTRIBUTE att42_err NUMERIC
@ATTRIBUTE att43_err NUMERIC
@ATTRIBUTE att44_err NUMERIC
@ATTRIBUTE att45_err NUMERIC
@ATTRIBUTE att46_err NUMERIC
@ATTRIBUTE att47_err NUMERIC
@ATTRIBUTE att48_err NUMERIC
@ATTRIBUTE att49_err NUMERIC
@ATTRIBUTE att50_err NUMERIC
@ATTRIBUTE att51_err NUMERIC
@ATTRIBUTE att52_err NUMERIC
@ATTRIBUTE att53_err NUMERIC
@ATTRIBUTE att54_err NUMERIC
@ATTRIBUTE att55_err NUMERIC
@ATTRIBUTE att56_err NUMERIC
@ATTRIBUTE att57_err NUMERIC
@ATTRIBUTE att58_err NUMERIC
@ATTRIBUTE att59_err NUMERIC
@ATTRIBUTE att60_err NUMERIC
@ATTRIBUTE att61_err NUMERIC
@ATTRIBUTE att62_err NUMERIC
@ATTRIBUTE att63_err NUMERIC
@ATTRIBUTE att64_err NUMERIC
@ATTRIBUTE att65_err NUMERIC
@ATTRIBUTE att66_err NUMERIC
@ATTRIBUTE att67_err NUMERIC
@ATTRIBUTE att68_err NUMERIC
@ATTRIBUTE att69_err NUMERIC
@ATTRIBUTE att70_err NUMERIC
@ATTRIBUTE att71_err NUMERIC
@ATTRIBUTE att72_err NUMERIC
@ATTRIBUTE att73_err NUMERIC
@ATTRIBUTE att74_err NUMERIC
@ATTRIBUTE att75_err NUMERIC
@ATTRIBUTE att76_err NUMERIC
@ATTRIBUTE att77_err NUMERIC
@ATTRIBUTE att78_err NUMERIC
@ATTRIBUTE att79_err NUMERIC
@ATTRIBUTE att80_err NUMERIC
@ATTRIBUTE att81_err NUMERIC
@ATTRIBUTE att82_err NUMERIC
@ATTRIBUTE att83_err NUMERIC
@ATTRIBUTE att84_err NUMERIC
@ATTRIBUTE att85_err NUMERIC
@ATTRIBUTE att86_err NUMERIC
@ATTRIBUTE att87_err NUMERIC
@ATTRIBUTE att88_err NUMERIC
@ATTRIBUTE att89_err NUMERIC
@ATTRIBUTE att90_err NUMERIC
@ATTRIBUTE att91_err NUMERIC
@ATTRIBUTE att92_err NUMERIC
@ATTRIBUTE att93_err NUMERIC
@ATTRIBUTE att94_err NUMERIC
@ATTRIBUTE att95_err NUMERIC
@ATTRIBUTE att96_err NUMERIC
@ATTRIBUTE att97_err NUMERIC
@ATTRIBUTE att98_err NUMERIC
@ATTRIBUTE att99_err NUMERIC
@ATTRIBUTE att100_err NUMERIC
@ATTRIBUTE att101_err NUMERIC
@ATTRIBUTE att102_err NUMERIC
@ATTRIBUTE att103_err NUMERIC
@ATTRIBUTE att104_err NUMERIC
@ATTRIBUTE att105_err NUMERIC
@ATTRIBUTE att106_err NUMERIC
@ATTRIBUTE att107_err NUMERIC
@ATTRIBUTE att108_err NUMERIC
@ATTRIBUTE att109_err NUMERIC
@ATTRIBUTE att110_err NUMERIC
@ATTRIBUTE att111_err NUMERIC
@ATTRIBUTE att112_err NUMERIC
@ATTRIBUTE att113_err NUMERIC
@ATTRIBUTE att114_err NUMERIC
@ATTRIBUTE att115_err NUMERIC
@ATTRIBUTE att116_err NUMERIC
@ATTRIBUTE att117_err NUMERIC
@ATTRIBUTE att118_err NUMERIC
@ATTRIBUTE att119_err NUMERIC
@ATTRIBUTE att120_err NUMERIC
@ATTRIBUTE att121_err NUMERIC
@ATTRIBUTE att122_err NUMERIC
@ATTRIBUTE att123_err NUMERIC
@ATTRIBUTE att124_err NUMERIC
@ATTRIBUTE att125_err NUMERIC
@ATTRIBUTE att126_err NUMERIC
@ATTRIBUTE att127_err NUMERIC
@ATTRIBUTE att128_err NUMERIC

@DATA
0.048,0.432,1.887,0.096,0.831,0.818,1.539,0.631,0.37,1.336,2.886,0.692,0.324,0.154,1.784,0.652,0.235,1.355,0.618,0.888,3.394,1.188,6.028,1.52,0.825,0.298,3.476,2.57,1.551,0.269,1.725,5.501,3.867,0.7,1.704,0.792,1.684,0.466,0.5,2.68,0.095,0.169,0.665,1.312,0.163,1.6,0.21,0.651,0.85,1.504,0.848,0.065,0.365,2.366,0.266,1.716,2.173,0.211,0.479,0.348,2.132,0.238,0.799,3.262,2.062,2.033,0.477,1.888,1.139,1.05,1.985,1.462,0.79,2.976,1.819,1.442,2.077,0.724,3.079,1.49,3.293,2.556,1.341,1.325,0.733,1.197,0.921,0.729,2.636,1.198,1.592,0.934,2.792,4.631,1.592,0.681,1.053,0.353,2.358,3.179,0.482,0.738,0.676,4.61,0.151,1.347,1.292,1.681,1.449,1.439,0.685,4.448,0.199,0.24,2.087,2.003,0.323,2.35,0.154,3.739,0.644,0.491,0.086,0.663,3.045,1.124,0.248,0.39
0.277,0.491,0.137,1.783,2.587,0.046,1.478,0.671,0.176,0.957,1.233,1.534,1.103,1.577,0.726,1.742,0.364,1.52,0.185,0.73,0.377,1.402,2.375,1.946,2.357,0.743,1.547,1.45,2.221,0.988,0.291,0.56,0.023,0.464,0.558,2.765,0.366,0.871,0.065,0.475,0.118,2.109,1.013,3.673,0.67,0.377,0.278,2.902,1.564,0.224,0.733,0.513,0.229,1.337,1.514,1.702,1.097,1.178,0.992,3.696,0.151,1.412,2.414,3.015,2.485,2.097,0.49,0.139,0.123,0.293,1.165,1.064,1.314,1.489,0.015,0.751,0.395,0.641,0.689,1.277,2.854,0.845,1.606,2.925,1.391,0.202,0.667,0.226,0.741,0.447,0.264,1.339,0.758,0.901,0.513,1.283,1.596,0.138,2.276,3.961,0.29,1.144,1.755,1.622,1.472,0.736,0.081,0.963,0.671,1.076,0.91,0.053,2.551,0.587,1.695,2.854,0.402,1.349,4.129,0.634,1.749,1.229,0.951,2.828,1.527,0.648,2.766,0.744
2.482,1.712,0.19,0.325,0.143,1.249,0.581,0.141,0.295,0.094,1.261,0.837,0.669,0.768,1.417,1.46,1.118,1.483,1.908,1.928,3.162,3.596,3.708,1.799,1.581,3.746,0.646,3.341,2.448,2.282,0.785,1.017,0.396,0.652,1.772,1.625,0.921,1.301,2.371,1.818,0.553,0.655,3.06,2.129,0.023,0.532,1.825,0.19,0.377,0.89,2.183,0.212,0.195,1.787,1.17,0.669,0.342,0.843,1.674,0.73,0.815,0.982,2.192,2.171,2.742,1.884,0.204,1.635,1.27,2.786,0.153,2.424,0.324,1.453,0.674,0.571,3.302,0.844,2.798,1.141,0.671,0.166,2.748,0.014,0.292,3.771,1.574,1.632,3.896,0.862,1.538,0.622,3.715,1.303,1.509,1.865,1.15,1.946,2.473,0.553,0.388,0.674,0.319,0.284,2.062,2.401,0.904,0.441,0.0,0.44,1.398,1.412,0.392,0.231,1.305,1.795,1.595,2.137,1.963,0.856,0.417,1.185,0.672,2.331,0.825,1.379,0.125,0.004
0.122,1.651,0.483,0.691,0.52,0.627,0.812,0.575,0.419,0.227,0.841,0.587,0.024,0.388,0.186,2.06,0.547,0.635,0.33,0.214,1.97,0.803,1.4,1.277,1.046,1.332,1.557,0.251,0.136,2.078,0.382,0.749,0.017,1.923,2.812,1.649,0.921,2.385,0.846,1.13,1.962,0.423,1.809,1.574,3.164,0.323,1.508,0.354,0.944,1.036,0.398,0.286,0.486,1.359,1.437,0.861,0.185,2.15,0.848,1.157,1.785,1.071,0.644,2.988,0.373,1.863,0.064,2.182,0.779,1.425,0.653,0.718,0.342,2.432,0.212,1.678,0.342,0.375,1.683,2.419,2.163,0.655,0.068,3.045,2.803,0.659,2.759,0.068,1.943,1.202,1.42,0.842,0.088,1.236,0.356,0.712,1.126,0.671,0.092,1.609,1.607,2.143,0.857,0.212,0.228,0.934,0.64,1.434,2.928,0.758,3.651,0.309,0.067,3.237,0.211,1.029,3.292,2.453,0.368,1.107,1.209,1.367,0.697,0.952,0.974,0.257,1.88,1.371
0.398,0.98,1.409,0.5,2.635,1.716,1.254,0.414,1.614,0.831,0.035,0.675,0.465,2.032,0.599,0.877,1.19,0.852,0.589,4.715,0.639,0.68,1.097,0.36,2.313,3.743,0.664,3.81,1.289,2.243,1.694,1.092,0.042,3.771,1.838,1.58,0.152,5.469,0.153,4.384,2.185,0.207,3.696,1.958,0.892,0.889,2.445,0.748,1.888,0.518,0.248,0.938,0.064,0.473,0.268,1.276,0.298,0.064,0.586,0.71,1.843,0.797,0.989,3.682,2.979,0.738,2.354,2.177,1.222,0.968,0.35,1.017,2.548,0.971,2.605,1.524,2.09,0.776,2.394,0.163,0.43,0.468,0.069,0.172,1.506,2.652,0.465,1.71,1.343,0.042,0.187,0.31,0.602,2.426,2.55,1.753,0.587,0.605,1.9,1.271,1.236,3.315,0.066,0.733,2.478,3.485,1.094,0.27,0.635,1.428,1.867,0.24,1.456,0.845,2.958,1.447,1.874,0.278,0.545,2.4,0.738,0.513,2.575,1.677,3.655,0.479,0.878,0.133
0.107,1.908,1.166,0.174,1.717,0.196,1.191,0.574,0.454,0.04,2.299,1.217,0.471,0.588,0.321,0.519,1.211,0.572,1.623,0.463,3.305,3.757,3.555,3.309,0.444,3.571,4.185,1.544,4.854,5.173,3.211,2.08,1.327,2.965,0.58,0.726,2.814,1.132,1.682,0.946,1.56,3.181,1.387,0.696,0.009,0.163,1.045,1.052,1.89,0.057,0.385,1.396,3.057,0.284,0.003,0.98,0.535,1.357,1.378,0.357,0.89,0.984,2.517,0.649,2.531,1.26,0.971,2.376,0.485,1.07,0.013,1.313,2.075,0.304,3.089,1.185,3.64,0.319,0.264,0.037,3.766,0.619,0.662,2.363,0.965,0.269,0.885,1.394,1.186,0.821,1.653,2.122,2.39,2.509,0.248,2.988,0.87,0.196,0.616,0.985,3.6,1.218,1.967,1.133,0.223,1.293,0.199,0.419,2.034,0.516,1.503,0.124,1.852,2.452,0.839,1.188,3.587,0.843,1.773,0.204,0.446,3.394,0.199,0.561,1.05,0.808,1.794,0.614
2.105,0.056,1.15,0.829,2.449,0.405,1.493,0.807,0.236,0.912,0.796,0.612,1.507,1.452,2.074,1.291,0.574,0.826,0.899,2.233,1.659,2.454,1.059,1.377,1.848,1.208,1.513,5.18,1.965,1.953,3.418,1.952,1.781,0.848,0.092,0.641,1.745,0.159,1.78,0.889,2.082,0.053,0.228,2.594,1.513,1.495,0.064,0.119,0.647,0.065,0.842,0.223,0.747,0.968,0.168,2.417,0.938,0.244,1.218,0.386,2.272,0.972,0.387,0.339,2.529,0.975,2.154,2.887,0.554,0.203,2.618,0.545,1.223,1.494,1.937,1.577,0.862,0.73,1.149,1.399,0.474,0.535,2.48,4.411,6.275,2.26,0.326,0.875,1.881,1.898,1.58,0.278,1.193,0.305,1.659,0.543,0.906,4.112,2.485,0.282,1.856,1.72,0.986,3.317,2.386,2.126,2.148,1.03,1.428,0.306,4.951,0.34,2.128,1.704,1.55,2.287,0.736,1.094,1.238,0.871,1.648,0.735,0.773,0.265,0.624,1.831,1.071,0.775
0.338,0.092,0.611,1.592,1.311,1.587,0.521,0.515,0.581,0.855,0.299,0.161,0.885,0.723,0.338,0.017,1.27,1.399,2.075,2.334,1.6,1.688,3.604,3.059,3.179,0.819,1.289,0.717,2.099,0.39,2.854,3.417,2.183,1.23,0.193,0.466,0.371,2.422,1.049,2.822,3.646,1.774,0.857,1.432,1.205,0.135,1.938,1.387,0.84,1.514,0.455,0.51,0.355,1.679,0.259,0.5,0.226,1.787,1.136,0.381,1.018,0.557,1.59,0.913,0.064,0.812,0.21,0.475,2.119,0.748,0.258,0.221,1.782,2.849,0.613,2.139,1.433,0.14,0.985,2.718,0.854,0.548,0.84,0.647,2.87,0.089,2.578,1.837,0.546,2.672,0.733,0.86,0.081,1.179,2.772,0.893,3.602,1.188,2.166,0.215,0.651,1.615,1.292,1.465,3.714,1.028,1.643,1.296,0.24,2.998,1.57,1.088,1.468,1.785,2.337,1.075,2.206,0.763,1.016,0.588,0.912,1.76,2.195,0.768,0.627,1.223,0.004,1.56
0.532,0.462,1.526,0.815,0.633,0.164,0.813,1.385,0.553,0.954,1.382,0.244,1.244,0.462,0.154,1.799,0.324,1.255,0.382,1.636,1.062,1.885,1.835,3.925,0.968,2.651,0.484,2.801,0.501,0.225,0.749,3.068,4.78,2.363,2.652,2.663,0.604,1.723,1.946,0.147,0.948,2.144,1.86,0.8,1.211,0.792,2.524,1.054,0.615,0.133,0.002,1.907,0.896,1.0,1.489,2.227,0.888,2.848,0.144,0.922,1.357,0.43,0.153,0.486,1.909,2.417,0.186,2.2,0.708,0.248,0.158,0.044,0.52,0.51,0.564,1.715,2.629,0.046,0.558,0.071,2.06,1.349,2.643,2.493,0.394,2.816,1.357,1.793,0.941,0.888,2.653,0.302,0.311,2.325,0.406,2.916,0.818,0.837,0.363,3.394,0.618,0.619,0.778,2.567,0.075,0.345,2.524,1.44,1.244,0.258,0.193,2.046,0.422,1.392,1.026,0.251,0.838,1.09,0.162,1.009,1.036,1.35,2.085,0.861,1.158,2.443,0.138,1.906
1.62,0.07,0.684,0.227,1.651,0.523,1.152,1.559,1.589,1.736,0.736,1.21,0.801,0.259,0.397,0.22,2.261,1.199,1.492,1.246,0.045,1.9,0.631,0.24,2.359,4.506,2.16,1.095,2.334,4.063,2.042,2.233,1.023,3.557,1.048,0.171,1.616,4.624,1.789,1.38,0.499,1.226,1.579,1.685,3.028,1.045,0.99,2.06,0.892,3.028,0.983,1.813,0.113,2.195,0.017,0.232,0.103,0.341,2.358,0.128,1.488,0.387,0.574,0.711,1.101,3.162,1.957,0.36,1.181,0.003,1.787,1.981,0.713,1.901,1.214,0.099,0.066,1.711,2.504,0.489,1.582,0.047,1.059,1.407,0.951,0.528,0.01,1.699,1.122,0.936,2.058,0.226,0.605,0.915,3.221,0.411,1.892,1.985,0.684,0.672,1.899,2.68,1.409,0.597,0.828,0.222,3.485,0.616,0.872,0.297,1.86,1.424,0.607,1.261,0.753,1.338,1.644,0.911,0.147,0.663,0.651,1.941,1.246,0.741,1.435,0.171,0.382,1.187
