@RELATION SyntheticControl

@ATTRIBUTE att1 NUMERIC
@ATTRIBUTE att2 NUMERIC
@ATTRIBUTE att3 NUMERIC
@ATTRIBUTE att4 NUMERIC
@ATTRIBUTE att5 NUMERIC
@ATTRIBUTE att6 NUMERIC
@ATTRIBUTE att7 NUMERIC
@ATTRIBUTE att8 NUMERIC
@ATTRIBUTE att9 NUMERIC
@ATTRIBUTE att10 NUMERIC
@ATTRIBUTE att11 NUMERIC
@ATTRIBUTE att12 NUMERIC
@ATTRIBUTE att13 NUMERIC
@ATTRIBUTE att14 NUMERIC
@ATTRIBUTE att15 NUMERIC
@ATTRIBUTE att16 NUMERIC
@ATTRIBUTE att17 NUMERIC
@ATTRIBUTE att18 NUMERIC
@ATTRIBUTE att19 NUMERIC
@ATTRIBUTE att20 NUMERIC
@ATTRIBUTE att21 NUMERIC
@ATTRIBUTE att22 NUMERIC
@ATTRIBUTE att23 NUMERIC
@ATTRIBUTE att24 NUMERIC
@ATTRIBUTE att25 NUMERIC
@ATTRIBUTE att26 NUMERIC
@ATTRIBUTE att27 NUMERIC
@ATTRIBUTE att28 NUMERIC
@ATTRIBUTE att29 NUMERIC
@ATTRIBUTE att30 NUMERIC
@ATTRIBUTE att31 NUMERIC
@ATTRIBUTE att32 NUMERIC
@ATTRIBUTE att33 NUMERIC
@ATTRIBUTE att34 NUMERIC
@ATTRIBUTE att35 NUMERIC
@ATTRIBUTE att36 NUMERIC
@ATTRIBUTE att37 NUMERIC
@ATTRIBUTE att38 NUMERIC
@ATTRIBUTE att39 NUMERIC
@ATTRIBUTE att40 NUMERIC
@ATTRIBUTE att41 NUMERIC
@ATTRIBUTE att42 NUMERIC
@ATTRIBUTE att43 NUMERIC
@ATTRIBUTE att44 NUMERIC
@ATTRIBUTE att45 NUMERIC
@ATTRIBUTE att46 NUMERIC
@ATTRIBUTE att47 NUMERIC
@ATTRIBUTE att48 NUMERIC
@ATTRIBUTE att49 NUMERIC
@ATTRIBUTE att50 NUMERIC
@ATTRIBUTE att51 NUMERIC
@ATTRIBUTE att52 NUMERIC
@ATTRIBUTE att53 NUMERIC
@ATTRIBUTE att54 NUMERIC
@ATTRIBUTE att55 NUMERIC
@ATTRIBUTE att56 NUMERIC
@ATTRIBUTE att57 NUMERIC
@ATTRIBUTE att58 NUMERIC
@ATTRIBUTE att59 NUMERIC
@ATTRIBUTE att60 NUMERIC
@ATTRIBUTE target {1.0, 2.0, 3.0, 4.0, 5.0, 6.0}

@DATA
0.912,0.834,0.316,0.612,-0.485,0.588,-0.165,0.03,3.445,-5.257,0.738,-0.611,1.179,0.688,-0.18,-2.095,0.789,1.413,-0.16,-1.457,-2.719,-0.999,2.154,0.048,0.763,0.068,-0.327,0.168,-1.736,-1.221,1.478,-0.752,10.475,-0.118,-0.791,-1.088,-1.044,1.145,1.377,-2.186,1.493,-3.123,-0.285,0.725,0.303,1.091,-8.872,-0.394,-0.57,-3.109,4.009,-2.868,0.01,-0.077,1.198,1.409,-1.995,2.942,-2.038,-1.957,1.0
-5.109,2.335,-0.949,-0.062,-0.231,4.077,-0.817,1.684,-0.863,-0.733,0.143,-1.214,-4.057,-0.794,-1.494,1.023,0.38,-0.392,-0.188,-0.291,-1.012,-0.734,-2.171,-0.107,-1.808,-0.267,0.565,-3.708,0.7,-1.501,0.653,-5.136,4.2,-0.796,1.503,-0.7,-0.552,-4.275,1.239,1.419,-0.183,1.24,-0.88,-1.564,0.244,-0.254,0.345,2.465,1.338,0.598,2.278,-0.822,-0.373,2.924,-3.154,-1.253,2.65,0.118,-1.311,-1.5,1.0
-0.922,-0.169,3.934,0.29,-1.939,-0.892,6.216,1.56,-1.897,5.209,-2.7,-3.917,0.373,1.801,-2.586,-0.314,1.608,-1.815,-0.229,-2.891,-0.551,3.116,1.499,0.532,-1.984,1.452,-2.044,0.779,1.054,0.435,0.878,1.363,3.534,2.076,1.088,1.166,-4.197,0.975,1.037,1.077,-0.277,-1.356,-0.058,-0.264,5.008,-1.991,-0.108,-0.458,0.522,0.49,-5.817,2.068,1.168,-0.976,1.045,-3.776,2.13,2.373,-0.88,0.526,1.0
-0.208,-1.183,-1.621,1.967,-0.11,-0.802,-0.93,1.205,-0.73,-1.601,0.262,1.561,-1.425,0.029,0.706,-0.742,2.166,-2.086,-0.238,0.842,0.509,-0.812,-0.509,-1.804,-0.108,0.151,-0.992,-0.286,1.297,-0.547,-2.819,2.31,5.24,0.718,-0.432,-0.06,-1.844,-1.174,2.282,-1.213,0.047,2.926,1.867,-6.321,0.473,1.442,-1.375,1.051,-0.568,-3.944,-0.421,-2.349,0.061,-0.689,4.165,-0.132,3.303,-3.719,0.084,0.142,1.0
0.267,-0.369,3.968,2.18,-1.998,8.384,1.18,1.069,-0.704,-0.93,-3.969,1.44,-0.898,2.866,-0.601,-1.175,0.439,2.181,0.335,-2.152,4.089,-3.734,-0.635,1.177,1.398,-0.131,-0.7,-2.556,0.529,0.035,1.058,1.116,-0.897,-1.906,-1.217,-0.339,-1.658,-1.346,-1.18,0.561,0.635,0.002,-2.013,0.235,0.673,-0.288,1.995,-1.859,0.652,1.685,3.057,0.777,0.352,-2.27,-0.299,3.837,-5.32,0.636,0.131,1.078,1.0
2.762,2.049,0.391,-1.919,-2.439,-0.862,-4.052,1.334,-1.452,-0.562,4.279,1.318,-1.052,3.222,-2.215,0.248,-2.068,0.67,0.728,-0.243,0.957,-4.415,-2.596,-1.153,-0.449,1.479,-2.768,3.135,1.798,-0.163,-2.253,0.467,0.365,-0.422,-0.772,0.496,-0.889,0.568,1.032,-1.905,-0.663,0.487,-2.757,1.519,-0.461,-1.021,2.861,0.612,3.489,-6.392,-1.168,-1.258,0.2,-1.281,1.23,2.071,3.492,-0.568,-0.499,0.979,1.0
-0.163,-0.027,-0.004,-0.755,-2.137,0.62,-1.367,0.629,-0.889,0.542,1.945,1.136,0.511,0.427,-1.48,-1.178,3.268,2.15,-1.048,0.816,-0.329,4.076,-0.167,0.743,0.796,1.057,0.293,-0.701,-1.214,-1.109,-0.121,0.355,-1.133,0.039,1.057,-1.712,1.509,2.065,0.745,-0.367,-1.384,0.389,3.549,0.349,-10.789,-0.045,-1.243,-1.406,-4.443,-0.564,3.149,0.078,1.716,4.427,-1.708,-2.8,-4.121,-1.155,0.444,2.447,1.0
-4.914,-4.419,-0.907,-0.45,0.577,-1.657,0.029,-1.593,-1.599,0.936,-2.651,2.677,0.514,1.097,1.255,2.581,7.053,-1.225,-1.305,0.91,0.863,-0.244,1.694,-0.07,2.2,-0.456,0.181,-1.182,0.739,-0.719,-1.963,-0.437,-0.707,0.796,-3.537,0.365,-1.616,0.444,-1.263,-2.908,-0.29,-2.862,-0.128,2.767,1.099,2.312,-1.158,8.624,-1.257,-1.201,1.037,-0.832,0.176,-0.4,-2.34,6.453,4.904,0.688,0.184,-1.181,1.0
2.186,-4.194,-5.631,-1.872,1.584,-1.405,-1.087,5.548,-1.423,3.196,-3.493,2.241,-1.779,-0.557,1.92,1.232,0.793,-0.801,2.101,-2.303,-0.407,1.309,-1.648,-0.525,0.706,-0.862,0.552,0.749,0.462,-2.807,0.098,4.546,-2.367,8.977,2.832,0.657,-1.224,-0.092,-2.346,0.392,-0.85,1.6,-1.65,1.492,0.773,1.656,-0.55,0.086,-1.693,-1.383,-1.083,0.691,-1.241,5.407,-0.11,1.014,-2.853,0.13,0.067,1.341,1.0
-1.633,-0.58,-0.54,-0.42,-3.88,0.095,-1.425,1.054,6.13,-0.528,2.757,1.882,-0.516,0.21,1.032,-0.105,1.798,1.922,1.664,-1.365,-0.223,-1.468,1.52,-0.415,-0.535,0.084,-2.418,0.896,-0.415,-0.795,1.887,0.088,-1.541,1.807,1.611,5.613,-0.027,0.578,-0.877,-1.177,-0.402,-0.116,-0.613,0.578,-2.598,1.934,-0.806,-1.836,0.623,0.601,-0.843,-2.566,8.807,1.319,0.454,0.752,-0.006,-0.881,1.681,-1.696,1.0
